"<ID>";"<ENT>N";"<OPT>V";"il y avoir Det N chez N0";"N1 avoir Det N";"N1 éprouver Det N";"N0 V N1";"N0 =: Nhum";"N0 =: Nnr";"N1 =: Nhum";"N1 =: N-hum";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 causer Det N à N1";"N0 procurer Det N à N1";"N0 provoquer Det N chez N1";"Exemple Autre1"
"1";"affliction";"affliger";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"~"
"2";"affolement";"affoler";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"~"
"3";"agacement";"agacer";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"~"
"4";"agitation";"agiter";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"~"
"5";"aigreur";"aigrir";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"~"
"6";"alarmes";"alarmer";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"~"
"7";"angoisse";"angoisser";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"Max a des angoisses"
"8";"animation";"animer";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"~"
"9";"assurance";"assurer";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"~"
"10";"blocage";"bloquer";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"~"
"11";"chagrin";"chagriner";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"~"
"12";"complexe";"complexer";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"~"
"13";"consolidation";"consolider";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"~"
"14";"contentement";"contenter";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"~"
"15";"contrariété";"contrarier";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"~"
"16";"courroux";"courroucer";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"~"
"17";"cuirasse";"cuirasser";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"~"
"18";"déformation";"déformer";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"~"
"19";"dépaysement";"dépayser";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"20";"dépit";"dépiter";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"Max éprouve du dépit (E+de cet échec)"
"21";"déprime";"déprimer";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"22";"dérèglement";"dérégler";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"Ce grain de sable a causé le dérèglement de la machine"
"23";"désappointement";"désappointer";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"~"
"24";"désavantage";"désavantager";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"~"
"25";"déséquilibre";"déséquilibrer";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"~"
"26";"désillusions";"désillusionner";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"~"
"27";"divertissement";"divertir";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"~"
"28";"dynamisme";"dynamiser";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"~"
"29";"égarement";"égarer";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"~"
"30";"émerveillement";"émerveiller";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"~"
"31";"emmerdements";"emmerder";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"~"
"32";"émotion";"émouvoir";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"~"
"33";"engourdissement";"engourdir";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"Max a un certain engourdissement"
"34";"ennui";"ennuyer";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"~"
"35";"enquiquinements";"enquiquiner";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"~"
"36";"enthousiasme";"enthousiasmer";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"~"
"37";"épanouissement";"épanouir";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"~"
"38";"épouvante";"épouvanter";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"Max éprouve de l'épouvante devant ce spectacle"
"39";"équilibre";"équilibrer";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Léa a un certain équilibre"
"40";"essoufflement";"essouffler";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"Max a un certain essoufflement"
"41";"étonnement";"étonner";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"~"
"42";"étourdissement";"étourdir";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"Max éprouve de l'étourdissement devant ce spectacle"
"43";"euphorie";"euphoriser";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"Max a une certaine euphorie"
"44";"exaltation";"exalter";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"Max a une certaine exaltation (E+devant ce spectacle)"
"45";"exaspération";"exaspérer";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"Max (a+éprouve) une certaine exaspération (E+devant ce spectacle)"
"46";"extase";"extasier";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"Max (a+éprouve) une certaine extase devant ce tableau"
"47";"fatigue";"fatiguer";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"Max a une certaine fatigue"
"48";"gêne";"gêner";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"~"
"49";"griserie";"griser";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"~"
"50";"hallucination";"halluciner";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"~"
"51";"handicap";"handicaper";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"~"
"52";"illusion";"illusionner";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"~"
"53";"indignation";"indigner";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"~"
"54";"inhibition";"inhiber";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"~"
"55";"inquiétude";"inquiéter";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"~"
"56";"irritation";"irriter";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"~"
"57";"mécontentement";"mécontenter";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"~"
"58";"névrose";"névroser";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"~"
"59";"obsession";"obséder";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"~"
"60";"ravissement";"ravir";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"~"
"61";"revalorisation";"revaloriser";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"~"
"62";"ride";"rider";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~"
"63";"saisissement";"saisir";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"~"
"64";"satisfaction";"satisfaire";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"~"
"65";"secousse";"secouer";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"~"
"66";"stabilisation";"stabiliser";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"~"
"67";"stress";"stresser";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"~"
