"<ID>";"N0 =: N-hum";"Det =: un-Modif";"Det =: un-de Dnum Nmes";"Det =: du";"Det =: des";"Det =: le";"Det =: <E>";"N0 avoir Det N";"<OPT>Adj";"<ENT>N";"N0 avoir Det N Prép N1";"N0 être Adj Prép N1";"N0 être de Det N Prép N1";"Prép1";"N1 =: Nhum";"N1 =: N-hum";"N1 =: ce Qu P";"N1 =: V0-inf W";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1"
"1";"-";"+";"-";"+";"-";"-";"-";"+";"aboulique";"aboulie";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"2";"-";"+";"-";"+";"-";"-";"-";"+";"actif";"activité";"-";"-";"-";"-";"-";"-";"-";"-";"Max a de l'activité";"~";"~";"~"
"3";"+";"+";"+";"-";"-";"-";"-";"+";"âgé";"âge";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"4";"-";"+";"-";"+";"-";"-";"-";"+";"agoraphobe";"agoraphobie";"-";"-";"-";"-";"-";"-";"-";"-";"Max a (un agoraphobie incroyable+de l'agoraphobie)";"Max est de l'agoraphobie";"~";"~"
"5";"-";"+";"-";"+";"-";"-";"-";"+";"allergique";"allergie";"+";"+";"+";"à";"-";"+";"+";"+";"Léa a une certaine allergie à la poussière";"~";"~";"~"
"6";"-";"+";"+";"+";"-";"-";"-";"+";"ancien";"ancienneté";"+";"+";"+";"dans";"-";"+";"-";"-";"Luc a une ancienneté (E+de 5 ans dans (son entreprise+cet échelon))";"~";"Luc est ancien dans sa boîte";"Luc est un ancien dans sa boîte"
"7";"-";"+";"-";"+";"-";"-";"-";"+";"anémique";"anémie";"-";"-";"-";"-";"-";"-";"-";"-";"Max (a+souffre) l'anémie";"Max est de l'anémie";"~";"~"
"8";"-";"+";"-";"+";"-";"-";"-";"+";"apathique";"apathie";"-";"-";"-";"-";"-";"-";"-";"-";"Léa a de l'apathie pour (ce genre de travail+Luc)";"~";"~";"~"
"9";"-";"+";"-";"+";"+";"-";"-";"+";"apte";"aptitude";"+";"+";"+";"à";"-";"+";"+";"+";"Max a une certaine aptitude (à supporter la douleur+au bonheur)";"~";"Max est apte (à supporter la douleur+au bonheur)";"~"
"10";"-";"+";"-";"-";"-";"+";"-";"+";"assuré";"assurance";"+";"+";"+";"de";"-";"+";"+";"+";"~";"~";"~";"~"
"11";"-";"+";"-";"+";"-";"-";"-";"+";"athée";"athéisme";"-";"-";"-";"-";"-";"-";"-";"-";"Max a un certain athéisme";"~";"~";"~"
"12";"-";"+";"-";"+";"-";"-";"-";"+";"attentif";"attention";"+";"+";"+";"à";"+";"+";"+";"+";"~";"~";"~";"~"
"13";"-";"+";"-";"-";"-";"-";"-";"+";"béat";"béatitude";"-";"-";"-";"-";"-";"-";"-";"-";"Luc a une certaine béatitude";"~";"~";"~"
"14";"-";"+";"-";"-";"-";"-";"-";"+";"bilingue";"bilinguisme";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"15";"-";"+";"-";"-";"-";"-";"-";"+";"cabotin";"cabotinage";"-";"-";"-";"-";"-";"-";"-";"-";"Max a un cabotinage insupportable";"~";"~";"~"
"16";"-";"+";"-";"-";"-";"+";"-";"+";"cafardeux";"cafard";"-";"-";"-";"-";"-";"-";"-";"-";"Luc a le cafard";"~";"~";"~"
"17";"-";"-";"-";"+";"+";"+";"-";"+";"capable";"capacité";"+";"+";"+";"de";"-";"+";"-";"+";"(Max+Ce champagne) a la capacité de saouler l'ivrogne le plus aguerri";"~";"~";"~"
"18";"+";"+";"-";"-";"-";"-";"-";"+";"célèbre";"célébrité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"Cet écrivain est d'une célébrité froide";"~";"~"
"19";"-";"+";"-";"+";"-";"-";"-";"+";"chanceux";"chance";"-";"-";"-";"-";"-";"-";"-";"-";"Luc a de la chance";"~";"~";"~"
"20";"-";"+";"-";"-";"+";"-";"-";"+";"compétent";"compétence";"+";"+";"+";"en";"-";"+";"-";"-";"Max a une grande compétence en linguistique";"~";"~";"Max est une compétence en linguistique"
"21";"-";"+";"-";"+";"-";"+";"-";"+";"confus";"confusion";"+";"+";"+";"de";"-";"+";"+";"+";"~";"Luc est d'une grande confusion d'avoir été découvert";"~";"~"
"22";"-";"+";"-";"-";"-";"+";"-";"+";"conscient";"conscience";"+";"+";"+";"de";"-";"+";"+";"+";"Max a une conscience (E+aigue de ce qu'il court un danger)";"~";"~";"~"
"23";"-";"+";"-";"+";"-";"+";"-";"+";"content";"contentement";"+";"+";"+";"de";"+";"+";"+";"+";"Max a un certain contentement des succès de Luc";"~";"~";"~"
"24";"-";"+";"-";"+";"-";"-";"-";"+";"corpulent";"corpulence";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"25";"-";"+";"-";"-";"-";"-";"-";"+";"coupable";"culpabilité";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"26";"-";"+";"-";"+";"-";"-";"-";"+";"cultivé";"culture";"+";"+";"+";"en";"-";"+";"-";"-";"Max a une grande culture";"Max est d'une grande culture";"Max est cultivé";"~"
"27";"-";"+";"-";"-";"+";"+";"-";"+";"curieux";"curiosité";"+";"+";"+";"de";"-";"+";"-";"+";"~";"~";"~";"~"
"28";"-";"+";"-";"-";"-";"-";"-";"+";"désoeuvré";"désoeuvrement";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"29";"+";"+";"-";"-";"+";"-";"-";"+";"difforme";"difformité";"-";"-";"-";"-";"-";"-";"-";"-";"Max a une certaine difformité du bras";"~";"~";"~"
"30";"-";"+";"-";"+";"-";"-";"-";"+";"éloquent";"éloquence";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"31";"-";"+";"-";"+";"-";"-";"-";"+";"euphorique";"euphorie";"-";"-";"-";"-";"-";"-";"-";"-";"Max a une certaine euphorie";"~";"~";"~"
"32";"-";"+";"-";"+";"-";"-";"-";"+";"expérimenté";"expérience";"+";"+";"+";"en";"-";"+";"-";"-";"Max a de l'expérience (E+dans ce domaine)";"~";"~";"~"
"33";"-";"+";"-";"+";"-";"-";"-";"+";"fébrile";"fébrilité";"-";"-";"-";"-";"-";"-";"-";"-";"Max a une fébrilité certaine";"~";"~";"~"
"34";"+";"+";"-";"-";"-";"-";"-";"-";"fécond";"fécondité";"-";"-";"-";"-";"-";"-";"-";"-";"Léa a une grande fécondité ";"~";"~";"~"
