"<ID>";"N0 =: N-hum";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 avoir Det N";"<OPT>Adj";"<ENT>N";"N0 avoir Det N Prép N1";"N0 être Adj Prép N1";"N0 être de Det N Prép N1";"Prép1";"N1 =: Nhum";"N1 =: N-hum";"N1 =: ce Qu P";"N1 =: V0-inf W";"Qu P être Adj";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";"Exemple Autre2"
"1";"-";"+";"-";"-";"+";"affable";"affabilité";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a une certaine affabilité (E+(avec+envers) Léa)";"~";"Max est affable avec Léa";"~";"~"
"2";"-";"+";"+";"-";"+";"agile";"agilité";"+";"+";"+";"de";"-";"-";"-";"-";"+";"Luc a une grande agilité";"Luc est d'une grande agilité";"Luc est agile de ses mains";"~";"~"
"3";"-";"+";"+";"+";"+";"aimable";"amabilité";"+";"+";"+";"envers";"+";"-";"-";"-";"+";"Max a une grande amabilité de Léa";"Max est d'une grande amabilité de Léa";"~";"~";"~"
"4";"-";"+";"+";"+";"+";"ambitieux";"ambition";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"5";"-";"+";"+";"-";"+";"amer";"amertume";"+";"+";"+";"de";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~"
"6";"-";"+";"+";"-";"+";"anxieux";"anxiété";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a de l'anxiété";"~";"~";"~";"~"
"7";"-";"+";"+";"-";"+";"ardent";"ardeur";"+";"+";"+";"à";"-";"+";"-";"+";"+";"Max a une grande ardeur (E+au travail)";"Max est d'une grande ardeur (E+au travail)";"~";"~";"~"
"8";"-";"+";"-";"-";"+";"arriviste";"arrivisme";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a une certaine arrivisme";"Max est d'une certaine arrivisme";"~";"~";"~"
"9";"-";"+";"+";"+";"+";"artificieux";"artifice";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"10";"+";"+";"+";"-";"+";"ascétique";"ascétisme";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"11";"-";"+";"+";"-";"+";"assidu";"assiduité";"+";"+";"+";"à";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~"
"12";"-";"+";"+";"-";"+";"assuré";"assurance";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"13";"-";"+";"-";"-";"+";"avare";"avarice";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Luc a (une certaine avarice+l'avarice de rogner sur ses dépenses)";"~";"~";"~";"~"
"14";"-";"+";"+";"-";"+";"avide";"avidité";"+";"+";"+";"de";"-";"+";"-";"+";"-";"Luc a une grande avidité de sucrerie";"Luc est d'une grande avidité de tout connaître";"~";"~";"~"
"15";"-";"+";"+";"-";"+";"balourd";"balourdise";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a une balourdise de paysan";"Max est d'une balourdise de paysan";"~";"~";"~"
"16";"-";"+";"-";"-";"+";"belliqueux";"bellicisme";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a un bellicisme réconfortant";"Max est d'un bellicisme réconfortant";"~";"~";"~"
"17";"-";"+";"-";"-";"+";"bête";"bêtise";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Jean a une bêtise incommensurable";"Jean est d'une bêtise incommensurable";"~";"~";"~"
"18";"-";"+";"-";"-";"+";"bigot";"bigoterie";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a une bigoterie insupportable";"Max est d'une bigoterie insupportable";"~";"~";"~"
"19";"-";"+";"+";"-";"+";"bon";"bonté";"+";"+";"+";"envers";"+";"-";"-";"-";"+";"Max a une certaine bonté";"Max est d'une certaine bonté";"~";"~";"~"
"20";"-";"+";"-";"-";"+";"bougon";"bougonnerie";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"21";"-";"+";"-";"-";"+";"boulimique";"boulimie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a une boulimie effrayante";"Max est d'une boulimie effrayante";"~";"~";"~"
"22";"-";"+";"-";"-";"+";"cagot";"cagoterie";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"Max a la cagoterie d'aller à la messe tous les dimanches";"~"
"23";"+";"+";"-";"-";"+";"calme";"calme";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Luc a un certain calme";"Luc est d'un certain calme";"~";"~";"~"
"24";"-";"+";"+";"-";"+";"charitable";"charité";"+";"+";"+";"envers";"+";"-";"-";"-";"+";"Max a de la charité";"~";"~";"~";"~"
"25";"-";"+";"+";"-";"+";"clairvoyant";"clairvoyance";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"26";"+";"+";"+";"-";"+";"clément";"clémence";"+";"+";"+";"envers";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"27";"-";"+";"+";"-";"+";"complaisant";"complaisance";"+";"+";"+";"envers";"+";"-";"-";"-";"+";"Max a une grande complaisance envers tout le monde";"Son mari est d'une certaine complaisance";"~";"~";"~"
"28";"-";"+";"-";"-";"+";"confiant";"confiance";"+";"+";"+";"en";"+";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"29";"+";"+";"-";"-";"+";"con";"connerie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"30";"-";"+";"+";"-";"+";"consciencieux";"conscience";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"31";"-";"+";"-";"-";"+";"continent";"continence";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"32";"-";"+";"+";"-";"+";"couard";"couardise";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"33";"-";"+";"+";"-";"+";"courageux";"courage";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"(Luc+Cette action) est d'un grand courage";"~";"Luc a (eu+perdu+pris) le courage de partir";"~"
"34";"-";"+";"+";"-";"+";"crâne";"crânerie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"35";"-";"+";"+";"-";"+";"crédule";"crédulité";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Jacques a une grande crédulité";"Jacques est d'une grande crédulité";"~";"~";"~"
"36";"-";"+";"+";"-";"+";"culotté";"culot";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a des culots de surloyer Luc";"~";"~";"Max a le culot de surloyer Luc";"~"
"37";"-";"+";"+";"-";"+";"cupide";"cupidité";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Luc a une certaine cupidité";"Luc est d'une certaine cupidité";"~";"~";"~"
"38";"-";"+";"+";"-";"+";"curieux";"curiosité";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"39";"-";"+";"+";"-";"+";"débrouillard";"débrouillardise";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"Max a eu la débrouillardise ";"~"
"40";"-";"+";"-";"-";"+";"dément";"démence";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"Max a eu la démence de vendre tous ses livres";"~"
"41";"-";"+";"+";"-";"+";"détaché";"détachement";"+";"+";"+";"de";"-";"+";"-";"-";"+";"~";"~";"~";"~";"~"
"42";"-";"+";"+";"-";"+";"déterminé";"détermination";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Paul a de la détermination";"~";"~";"~";"~"
"43";"-";"+";"+";"-";"+";"diligent";"diligence";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Luc a une certaine diligence";"~";"~";"~";"~"
"44";"+";"+";"-";"-";"+";"dingue";"dinguerie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"45";"-";"+";"+";"+";"+";"distrait";"distraction";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a une certaine distraction";"Max est d'une certaine distraction";"~";"~";"~"
"46";"-";"+";"+";"-";"+";"docile";"docilité";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Luc a une certaine docilité";"~";"~";"Luc a la docilité de faire cela";"~"
"47";"-";"+";"+";"-";"+";"égoïste";"égoïsme";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a un certain égoïsme";"~";"~";"~";"~"
"48";"-";"+";"+";"-";"+";"émotif";"émotivité";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a de l'émotivité";"Max est d'une certaine émotivité";"~";"~";"~"
"49";"-";"+";"+";"-";"+";"érudit";"érudition";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"50";"-";"+";"+";"-";"+";"étourdi";"étourderie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a une étourderie agaçante";"~";"~";"~";"~"
"51";"-";"+";"+";"-";"+";"exact";"exactitude";"+";"+";"+";"à";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~"
"52";"-";"+";"+";"-";"+";"feignant";"feignantise";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"53";"-";"+";"+";"-";"+";"fidèle";"fidélité";"+";"+";"+";"à";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"54";"-";"+";"+";"-";"+";"fier";"fierté";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"55";"-";"+";"-";"-";"+";"fou";"folie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"Max (a+souffre) de folie"
"56";"-";"+";"+";"+";"+";"fort";"force";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"57";"-";"+";"+";"-";"+";"fourbe";"fourberie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"58";"-";"+";"+";"-";"+";"franc";"franchise";"+";"+";"+";"avec";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"59";"-";"+";"+";"-";"+";"gâteux";"gâtisme";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"60";"-";"+";"+";"-";"+";"génial";"génie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"61";"-";"+";"+";"-";"+";"glouton";"gloutonnerie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"62";"-";"+";"+";"-";"+";"gourde";"gourderie";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"63";"-";"+";"+";"-";"+";"gourmand";"gourmandise";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"64";"-";"+";"+";"-";"+";"haineux";"haine";"+";"+";"+";"envers";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~"
"65";"-";"+";"+";"-";"+";"hargneux";"hargne";"+";"+";"+";"envers";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"66";"-";"+";"+";"-";"+";"hospitalier";"hospitalité";"+";"+";"+";"avec";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
