"<ID>";"N0 =: le fait Qu P";"N0 =: la manière de V-inf W";"N0 =: V-n";"N0 =: N-hum";"<OPT>Adj";"<ENT>N";"N0 avoir Det N (avec+envers) N1";"N0 être de Det N (avec+envers) N1";"N0 être Adj (avec+envers) N1";"Det =: du";"Qu P être de Det N de la part de N0";"N0 être de Det N";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"1";"-";"+";"+";"-";"abstrait";"abstraction";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"2";"+";"+";"+";"+";"académique";"académisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"3";"-";"+";"+";"-";"acerbe";"acerbité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"4";"-";"+";"+";"-";"acrimonieux";"acrimonie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"5";"-";"+";"+";"-";"adroit";"adresse";"-";"-";"-";"+";"+";"+";"Max a de l'adresse";"Max est d'une (E+grande) adresse";"Max est adroit";"~";"~";"~"
"6";"+";"+";"+";"-";"adroit";"adresse";"+";"+";"+";"+";"+";"+";"~";"~";"~";"Il y a une adresse sur l'enveloppe";"Ce restaurant est une bonne adresse";"~"
"7";"+";"+";"+";"-";"affecté";"affectation";"-";"-";"-";"+";"+";"+";"Max a une certaine affectation";"~";"~";"~";"~";"~"
"8";"-";"+";"+";"-";"agressif";"agressivité";"+";"+";"+";"+";"+";"+";"Max a (l'agressivité de filles de Luc+de l'agressivité)";"Max est d'une certaine agressivité";"Max est agressif";"~";"~";"~"
"9";"-";"+";"+";"-";"allègre";"allégresse";"-";"-";"-";"+";"+";"+";"Max a une certaine allégresse";"Max est d'une certaine allégresse";"~";"~";"~";"~"
"10";"-";"+";"+";"-";"altruiste";"altruisme";"+";"+";"+";"-";"+";"+";"Max a un altruisme";"Max est d'un altruisme";"~";"~";"~";"~"
"11";"+";"+";"+";"+";"ambigu";"ambiguïté";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"12";"-";"-";"+";"-";"ambitieux";"ambition";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"13";"+";"+";"+";"-";"ambivalent";"ambivalence";"-";"-";"-";"-";"+";"+";"~";"(Max+Les sentiments de Max) sont d'une certaine ambivalence";"~";"~";"~";"~"
"14";"-";"+";"+";"-";"amène";"aménité";"+";"+";"+";"+";"+";"+";"Les propos de Luc ont de l'aménité";"Les propos de Luc sont d'une certaine aménité";"~";"~";"~";"~"
"15";"+";"+";"+";"+";"amoral";"amoralité";"-";"-";"-";"-";"+";"+";"Léa a eu l'amoralité de tricher";"~";"~";"~";"~";"~"
"16";"-";"+";"+";"-";"angélique";"angélisme";"+";"+";"+";"-";"+";"+";"Léa a un certain angélisme";"Léa est d'un certain angélisme";"~";"~";"~";"~"
"17";"+";"-";"+";"-";"anticlérical";"anticléricalisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"18";"+";"+";"+";"-";"anticonformiste";"anticonformisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"Max (est+est un) anticonformiste";"~"
"19";"-";"-";"+";"-";"apolitique";"apolitisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"20";"+";"+";"+";"-";"arbitraire";"arbitraire";"-";"-";"-";"+";"+";"+";"Cette décision a un certain arbitraire";"Cette décision est d'un certain arbitraire";"~";"~";"~";"~"
