"<ID>";"N0 =: la manière de V-inf W";"N0 =: Qu P";"N0 =: le fait Qu P";"N0 =: N-hum";"<OPT>Adj";"<ENT>N";"Det =: du";"N0 avoir Det N pour N1";"N1 avoir Det N Prép N0";"N0 être Det N pour N1";"N1 avoir le N de V0-inf W";"Exemple Base1";"Exemple Base2";"Exemple Base3"
"1";"+";"+";"+";"+";"actuel";"actualité";"-";"-";"-";"-";"-";"~";"~";"~"
"2";"-";"-";"+";"+";"agrammatical";"agrammaticalité";"-";"-";"-";"-";"-";"~";"~";"~"
"3";"+";"+";"+";"+";"agréable";"agrément";"+";"+";"+";"+";"+";"Cela a un certain agrément (E+pour Luc)";"Cela est d'un certain agrément (E+pour Luc)";"Cela est agrément (E+à Luc)"
"4";"+";"-";"-";"+";"ample";"ampleur";"+";"-";"-";"-";"-";"(Ce geste+Cette robe+Sa pensée) a de l'ampleur";"(Ce geste+Cette Robe+Sa pensée) est d'une certaine ampleur";"~"
"5";"+";"-";"+";"+";"anachronique";"anachronisme";"-";"-";"-";"-";"-";"Cette manière de faire a un certain anachronisme";"Cette manière de faire est d'un certain anachronisme";"Cette manière de faire est anachronique"
"6";"+";"-";"-";"+";"anonyme";"anonymat";"-";"-";"-";"-";"-";"Cette présentation a un certain anonymat";"~";"~"
"7";"+";"+";"+";"+";"anormal";"anormalité";"-";"-";"-";"-";"-";"~";"~";"~"
"8";"+";"+";"+";"+";"antipathique";"antipathie";"+";"-";"+";"-";"-";"~";"~";"~"
"9";"+";"-";"-";"+";"approximatif";"approximation";"-";"-";"-";"-";"-";"Cette manière de calculer a une approximation au 1/100ème";"~";"Cette manière de calculer est approximative"
"10";"+";"-";"+";"+";"archaïque";"archaïsme";"-";"-";"-";"-";"-";"~";"~";"~"
"11";"+";"-";"+";"+";"authentique";"authenticité";"-";"-";"-";"-";"-";"Sa manière de sourire a une certaine authenticité";"~";"~"
"12";"-";"+";"+";"+";"authentique";"authenticité";"-";"-";"-";"-";"-";"~";"~";"~"
"13";"+";"-";"-";"+";"automatique";"automatisme";"-";"+";"-";"+";"+";"~";"~";"~"
"14";"-";"+";"+";"-";"beau";"beauté";"+";"-";"-";"-";"-";"Le visage de Léa a une certaine beauté";"~";"~"
"15";"+";"-";"-";"+";"beau";"beauté";"+";"-";"-";"-";"-";"~";"~";"~"
"16";"-";"+";"+";"-";"bénin";"bénin";"-";"-";"-";"-";"-";"~";"~";"~"
"17";"-";"+";"+";"-";"bien-fondé";"bien-fondé";"-";"-";"-";"-";"-";"~";"~";"~"
"18";"+";"-";"-";"+";"bref";"brévité";"-";"-";"-";"-";"-";"Ce discours a une certaine brièveté";"~";"~"
