"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>N";"<OPT>Adj";"N0 avoir Det N";"N0 avoir Det N Loc N1";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le";"Adj = comme du N";"Adj =: Aug";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"+";"-";"absence";"absent";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max a (une absence+des absences)";"~";"Max est absent";"~"
"2";"-";"+";"accident";"accidenté";"+";"+";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"3";"-";"+";"alcool";"alcoolique";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"4";"+";"-";"amnésie";"amnésique";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Luc a de l'amnésique";"~";"Luc est amnésique";"~"
"5";"+";"+";"angle";"anguleux";"+";"+";"+";"+";"-";"+";"-";"-";"-";"Les traits de son visage ont des angles";"~";"(Son visage est anguleux+Les traits de son visage sont anguleux) ";"~"
"6";"+";"-";"anorexie";"anorexique";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"Jacques est d'une anorexie chronique";"~";"~"
"7";"-";"+";"antimoine";"antimonieux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"8";"+";"-";"aphasie";"aphasique";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"9";"-";"+";"argent";"argentifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"Max a de l'argent";"~";"Ce métal est argenté";"Il y a de l'argent sur ce métal"
"10";"-";"+";"argile";"argileux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"11";"-";"+";"arsenic";"arsénifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"12";"+";"-";"arthrite";"arthritique";"+";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
