"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: Ncoll";"Det =: un-de Dnum Nmes";"il y avoir Det N à N0";"il y avoir Det N Loc N0";"Vsup =: mettre";"Vsup =: faire";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4"
"1";"à côté";"+";"-";"-";"-";"+";"-";"-";"Cette situation a des à-côté désagréables";"~";"~";"~";"~"
"2";"à coup";"+";"-";"-";"-";"+";"-";"-";"Le moteur a des à-coup";"Il y a des à-coup dans le moteur";"~";"~";"~"
"3";"ablatif";"+";"-";"-";"-";"+";"-";"-";"Cette déclinaison a un ablatif";"Il y a un ablatif dans cette déclinaison";"~";"~";"~"
"4";"abrupt";"+";"-";"+";"-";"+";"-";"+";"~";"~";"~";"~";"~"
"5";"absurde";"+";"-";"-";"-";"+";"-";"-";"Cette situation comporte un absurde total";"Il y a un absurde total dans cette situation";"~";"~";"GN =: [l'absurde de cette situation]"
"6";"accéléré";"+";"-";"-";"-";"+";"-";"-";"Ce film a un accéléré";"Il y a un accéléré dans ce film";"~";"~";"~"
"7";"accent";"+";"-";"-";"-";"+";"+";"-";"La syllabe (a+prend+porte+perd) l'accent";"~";"~";"~";"~"
"8";"accès";"+";"-";"-";"-";"+";"+";"-";"Cette maison a deux accès";"~";"~";"~";"~"
"9";"accessoire";"+";"-";"-";"-";"+";"-";"-";"Une voiture a des accessoires";"~";"~";"~";"~"
"10";"accusatif";"+";"-";"-";"-";"+";"-";"-";"Ce mot a un accusatif";"~";"~";"~";"~"
"11";"acmé";"+";"-";"-";"-";"+";"-";"-";"Cette maladie a un acmé";"~";"~";"~";"~"
"12";"acoustique";"+";"-";"-";"-";"+";"-";"-";"Cette salle a une bonne acoustique";"~";"~";"~";"~"
"13";"actant";"+";"-";"-";"-";"+";"-";"-";"Cette phrase a deux actants";"~";"~";"~";"~"
"14";"acteur";"+";"-";"-";"-";"+";"-";"-";"La révolution a eu plusieurs acteurs";"~";"~";"~";"GN =: [un des acteur de la révolution]"
"15";"actif";"+";"-";"+";"-";"+";"-";"-";"~";"~";"Cette entreprise a un actif d'un million de Franc";"~";"~"
"16";"actif";"+";"-";"-";"-";"+";"-";"-";"(Ce verbe+Cette conjugaison) a un actif";"~";"~";"~";"~"
"17";"action";"+";"-";"-";"-";"+";"-";"-";"Ce roman a une action";"~";"~";"~";"~"
"18";"addenda";"+";"-";"-";"+";"-";"+";"-";"Cette annonce a un addenda";"Il y a un addenda à cet ouvrage";"~";"~";"~"
"19";"additif";"+";"-";"-";"+";"-";"+";"-";"Ce budget a un additif";"Il y a des additifs dans ces conserves";"~";"~";"~"
"20";"administration";"+";"+";"-";"-";"+";"-";"-";"Ce pays a une administration";"~";"~";"~";"~"
"21";"adret";"+";"-";"-";"-";"-";"-";"-";"La montagne a un adret";"~";"~";"~";"~"
"22";"affixe";"+";"-";"-";"-";"+";"-";"-";"Ce mot a un affixe";"~";"~";"~";"~"
"23";"affluent";"+";"-";"-";"+";"-";"-";"-";"La seine a des affluents";"~";"~";"~";"La Marne est un affluent de la Seine"
"24";"aigu";"+";"-";"-";"-";"+";"-";"-";"Cet instrument a des aigus (E+agréable)";"~";"~";"~";"~"
"25";"aimantation";"+";"-";"-";"-";"+";"-";"-";"Ce couteau a une légère aimantation";"~";"~";"~";"~"
"26";"ajour";"+";"-";"-";"-";"+";"+";"-";"Cette sculpture a un ajour";"~";"~";"~";"~"
"27";"aléa";"+";"-";"-";"-";"+";"-";"-";"Ce métier a des aléas";"Il y a des aléas dans ce métier";"~";"~";"~"
"28";"alentours";"+";"-";"-";"-";"-";"-";"-";"L'école a des alentours agréables";"~";"~";"~";"~"
"29";"alinéa";"+";"-";"-";"-";"+";"+";"-";"Ce texte a un alinéa";"~";"~";"~";"~"
"30";"altération";"+";"-";"-";"-";"+";"+";"-";"Cette mesure a une altération";"~";"~";"~";"~"
"31";"alternative";"+";"-";"-";"+";"-";"-";"-";"Cette situation comporte une alternative";"~";"~";"~";"~"
"32";"âme";"+";"-";"-";"-";"+";"+";"-";"Ce pays a une âme";"Il y a 1000 âmes dans ce village";"Ce village a 1000 âmes";"~";"~"
"33";"amont";"+";"-";"-";"-";"-";"-";"-";"Le fleuve a un amont";"~";"~";"~";"~"
