"<ID>";"<ENT>N";"Det =: un";"Det =: un-certain";"Det =: des";"Det =: un-de Dnum Nmes";"N1 et N0 être N";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7";"Exemple Autre8";"Exemple Autre9"
"1";"anagramme";"+";"+";"-";"-";"-";"(Cet art+la peinture) a un ABC";"~";"~";"~";"~";"~";"~";"~";"~"
"2";"abords";"-";"-";"+";"-";"-";"~";"~";"Paris a des abords encombrés";"~";"~";"~";"~";"~";"~"
"3";"abscisse";"+";"+";"-";"-";"-";"Le point A a un abscisse";"~";"~";"~";"~";"~";"~";"~";"~"
"4";"accélération";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~";"Cette voiture a de bonnes accélérations";"~";"~";"~"
"5";"accroissement";"-";"+";"-";"+";"-";"L'inflation a eu un accroissement rapide";"~";"~";"~";"~";"~";"~";"~";"~"
"6";"à-coup";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"7";"adepte";"+";"+";"+";"-";"-";"~";"~";"(Ce sport+Max) a des adeptes";"~";"~";"~";"~";"~";"~"
"8";"affidé";"+";"+";"+";"-";"-";"~";"~";"(Cette association+Le syndicat du crime) a des affidés";"~";"~";"~";"~";"~";"~"
"9";"affilié";"+";"+";"+";"-";"-";"~";"~";"Cette association a des affiliés";"~";"~";"~";"~";"~";"~"
"10";"agent";"+";"+";"+";"-";"-";"La crise a un agent";"~";"~";"~";"~";"~";"L'inflation est un agent de la crise";"~";"~"
"11";"algorithme";"+";"+";"+";"-";"-";"Ce problème a un algorithme";"~";"~";"~";"~";"~";"~";"~";"~"
"12";"alphabet";"+";"+";"+";"-";"-";"Cette langue a un alphabet";"~";"~";"~";"~";"~";"~";"~";"~"
"13";"anagramme";"+";"+";"+";"-";"-";"Ce mot a un anagramme";"~";"~";"~";"~";"~";"~";"~";"~"
"14";"analogue";"+";"-";"+";"-";"-";"Cette expérience a un analogue";"~";"~";"~";"~";"~";"~";"~";"~"
"15";"anatomie";"-";"+";"-";"-";"-";"Léa a une belle anatomie";"~";"~";"~";"~";"~";"~";"~";"~"
"16";"anniversaire";"+";"+";"-";"-";"-";"Cet événement a un anniversaire";"~";"~";"~";"~";"~";"~";"~";"~"
"17";"antipode";"+";"-";"-";"-";"-";"Ce point a un antipode";"~";"~";"~";"~";"~";"~";"~";"~"
"18";"antisymétrique";"+";"-";"-";"-";"-";"Ce point a un antisymétrique";"~";"~";"~";"~";"~";"~";"~";"~"
"19";"antonyme";"+";"+";"+";"-";"+";"Ce mot a un antonyme";"~";"~";"~";"~";"~";"~";"~";"~"
