"<ID>";"<ENT>N";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: le";"Qu P être un N pour N0";"Qu P donner Det N à N0";"Vsup =: connaître";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7"
"1";"a priori";"+";"+";"+";"-";"-";"+";"-";"-";"Luc a des a priori ridicules";"~";"~";"~";"~";"~";"~"
"2";"abattage";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"3";"accent";"-";"+";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"4";"absences";"+";"+";"+";"-";"-";"-";"-";"-";"Max a des absences";"Max a eu une absence (E+mentale)";"~";"~";"~";"~";"~"
"5";"action";"+";"+";"+";"-";"-";"-";"-";"-";"Max a des actions chez Michelin";"~";"~";"~";"~";"~";"~"
"6";"activité";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une activité";"~";"~";"~";"~";"~"
"7";"adolescence";"-";"-";"+";"-";"-";"-";"-";"+";"~";"Max a une adolescence (*E+sous problème)";"~";"~";"~";"~";"~"
"8";"adresse";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une certaine adresse";"~";"~";"~";"~";"~"
"9";"adresse";"-";"+";"-";"-";"-";"-";"-";"-";"~";"Max a une adresse";"~";"~";"~";"~";"~"
"10";"affect";"+";"-";"+";"-";"-";"-";"-";"-";"Max a des affects";"~";"~";"~";"~";"~";"~"
"11";"affectivité";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Max a une affectivité (*E+envahissante)";"~";"~";"~";"~";"~"
"12";"affres";"+";"-";"-";"-";"-";"-";"+";"+";"Luc a des affres en ce moment";"~";"~";"~";"~";"~";"~"
"13";"agonie";"-";"-";"+";"-";"-";"-";"-";"+";"~";"Max a eu une très belle agonie";"~";"~";"~";"~";"~"
"14";"alarmes";"+";"-";"-";"-";"-";"-";"+";"-";"Max a des alarmes";"~";"~";"~";"~";"~";"~"
"15";"alcoolémie";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a une alcoolémie de 0,5 grammes";"~";"~";"~";"~";"~"
"16";"allonge";"-";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"17";"âme";"-";"+";"+";"-";"-";"-";"+";"-";"~";"Les hommes ont une âme";"~";"~";"~";"Max est l'âme de la conjuration";"~"
"18";"amorti";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un amorti irrattrapable";"~";"~";"~";"~";"~"
"19";"anglais";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Max a un anglais héritant";"~";"~";"~";"~";"~"
"20";"angles";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"21";"anniversaire";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a (un+son) anniversaire le 1er août";"~";"~";"~";"~";"~"
"22";"antécédents";"+";"-";"-";"-";"-";"-";"-";"-";"Max a des antécédents";"~";"~";"~";"~";"Le mot est l'antécédent de ce pronom";"~"
"23";"appétit";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"24";"appétits";"+";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"25";"arme";"+";"+";"+";"-";"-";"+";"+";"-";"~";"Max a une arme";"~";"~";"~";"~";"~"
"26";"armoiries";"+";"-";"-";"-";"-";"-";"-";"-";"Max a des armoiries";"~";"~";"~";"~";"~";"~"
"27";"arrières";"+";"-";"-";"-";"-";"-";"-";"-";"Max a des arrières";"~";"~";"~";"~";"~";"~"
"28";"art";"-";"-";"+";"+";"+";"+";"+";"-";"~";"Max a un art (*E+bien reconnaissable)";"~";"~";"~";"~";"~"
"29";"ascendance";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a une ascendance terrienne";"~";"~";"~";"~";"~"
"30";"ascension";"-";"-";"+";"-";"-";"+";"-";"+";"~";"Max a eu une ascension fulgurante";"~";"~";"~";"~";"~"
"31";"ataraxie";"-";"-";"+";"-";"-";"-";"-";"+";"~";"Max a une étrange ataraxie";"~";"~";"~";"~";"~"
"32";"attribut";"+";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"Max a de beaux attributs";"Le droit de grâce (est+entre dans) un des attributs du Président de la République";"~"
"33";"aubaine";"+";"+";"+";"-";"-";"+";"-";"-";"~";"Max a une aubaine";"~";"~";"~";"Ceci est une aubaine pour Max";"~"
"34";"auditoire";"+";"+";"+";"-";"-";"-";"-";"-";"~";"Max a eu un auditoire chaleureux";"~";"~";"~";"~";"~"
"35";"avatar";"+";"+";"+";"-";"-";"-";"-";"+";"Max a des avatars";"~";"~";"~";"~";"~";"~"
"36";"avènement";"-";"-";"+";"-";"-";"-";"-";"+";"~";"Le roi a eu un avènement anticipé";"~";"~";"~";"~";"1789 marque l'avènement de la démocratie"
"37";"aventure";"+";"+";"+";"-";"-";"+";"-";"+";"~";"Max a eu une aventure";"~";"~";"~";"~";"~"
"38";"avoir";"-";"+";"+";"-";"-";"-";"-";"-";"Cette compagnie a des avoirs à Wall Street";"Max a un avoir de 1000 francs dans ce magasin";"Max a de l'avoir";"~";"~";"~";"~"
"39";"bagage";"-";"-";"+";"-";"-";"+";"+";"-";"~";"Max a un certain bagage en mathématique";"~";"~";"~";"~";"~"
"40";"bagne";"-";"+";"+";"-";"-";"+";"+";"-";"~";"Max (a+connaît) un bagne actuellement";"~";"~";"~";"~";"~"
"41";"bagout";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"42";"baraka";"-";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~";"Max (a+perd) la baraka";"~";"~";"~"
