"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Vsup =: avoir";"Vsup =: avoir eu";"N0 ne Vsup que Det N W";"N0 éprouver Det N pour N1";"N1 provoquer Det N Prép N0";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: le";"Det =: des";"<ENT>N";"N0 Vsup Det N";"N0 Vsup le N de V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Qu Psubj";"N1 =: V0-inf W";"N0 V son N pour N1";"Prép1 =: envers";"Prép1 =: en faveur de";"Prép1 =: contre";"N0 V (E+avec+sans) N";"Exemple Base1";"Exemple Autre1"
"1";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"admiration";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"affinité";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"3";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"aimant";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Ce gâteau a (de l'aimant+de l'attrait) pour Eva";"~"
"4";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"appétence";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"5";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"appétit";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"6";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"argument";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"Max a (un argument+des arguments) (contre Ida+en faveur d'Ida)";"~"
"7";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"attention";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"8";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"aversion";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~"
"9";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"béguin";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"10";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"combine";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"~";"~"
"11";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"considération";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~"
"12";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"convoitise";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~"
"13";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"coup de foudre";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"14";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"culte";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"15";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"déconsidération";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~"
"16";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"déférence";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"17";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"dépit";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~"
"18";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"désenchantement";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"19";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"désintérêt";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"20";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"dévotion";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"~";"~"
"21";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"disponibilité";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"~";"~"
"22";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"disposition";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"Marie a des dispositions pour la peinture";"~"
"23";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"égards";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"24";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"estime";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"Max a de l'estime pour Jean";"~"
"25";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"faible";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"Max a un faible pour le chocolat";"~"
"26";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"fascination";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"Max éprouve de la fascination devant Léa"
"27";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"favoritisme";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"Max a un certain favoritisme";"~"
"28";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"félicitations";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~"
"29";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"feu sacré";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"30";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"feu vert";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"31";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"flamme";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"Max a de la flamme pour cette cause";"~";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"32";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"geste";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~"
