"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Vsup =: avoir";"Vsup =: avoir eu";"Det =: un";"Det =: un-Modif";"Det =: des";"Det =: du";"Det =: Poss0";"Det =: <E>";"<ENT>N";"N0 Vsup Det N";"Prép1 =: en";"Prép1 =: envers";"Prép1 =: contre";"Prép1 =: auprès de";"Prép1 =: entre";"Prép1 =: devant";"Prép1 =: Loc";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Exemple Base1";"Exemple Autre1"
"1";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"abri";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"2";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"agrégation";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"3";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"animosité";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"~";"~"
"4";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"arme";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"Max a une arme (E+contre Luc)";"~"
"5";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"armement";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"~";"~"
"6";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"armure";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"~";"~"
"7";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"asile";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"~";"~"
"8";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"autodéfense";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"~";"~"
"9";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"base";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~"
"10";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"blindage";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"~";"~"
"11";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"blocage";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~"
"12";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"bonne presse";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~"
"13";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"carapace";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"~";"Max a une carapace d'insensibilité"
"14";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"classement";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~"
"15";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"crédit";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"~";"~"
"16";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"cuirasse";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"~";"~"
"17";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"dent";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"Max a une dent contre Luc";"~"
"18";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"dette";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~"
"19";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"diplôme";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"20";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"doctorat";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"21";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"échappée";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~"
"22";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"embranchement";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~"
"23";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"emploi";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~"
"24";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"extension";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"(Cette langue+Le commerce) a ici une grande extension"
"25";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"immunité";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"~";"~"
"26";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"implication";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~"
"27";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"inclinaison";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~"
