"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Vsup =: avoir";"Vsup =: avoir eu";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: <E>";"Det =: le";"Det =: les";"le N de N0 =: son";"N0 Vsup Det N de Nc sur N1";"Det =: un-de Dnum Nmes";"<ENT>N";"N0 Vsup Det N";"N1 =: Nhum";"N1 =: N-hum";"N1 =: N0";"N1 =: la façon de V-inf W";"N1 =: le fait Qu P";"N1 =: ce(ci+la)";"N1 =: la dessus";"N0 V son N sur N1";"Prép1 =: dans";"Exemple Base1";"Exemple Autre1"
"1";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"abattement";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~"
"2";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"accent";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"~";"~"
"3";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"action";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~"
"4";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"ambitions";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"~";"~"
"5";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"antériorité";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"~";"~"
"6";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"aperçu";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~"
"7";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"apitoiement";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"~";"~"
"8";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"argument";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"~";"Max a (donné+fourni) un bon argument"
"9";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"argumentation";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"~";"~"
"10";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"ascendant";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"Max a un certain ascendant sur Léa";"~"
"11";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"assurance";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"12";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"assurance";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~"
"13";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"atout";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"~";"~"
"14";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"autorité";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"15";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"avance";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"~";"~"
"16";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"avance";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"~";"~"
"17";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"avantage";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"Faire ceci (a pour+donne à) Max un certain avantage sur (faire cela+Paul)";"~"
"18";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"avis";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~"
"19";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"barre";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
