"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"N0 =: Nplur";"<OPT>Adj";"<ENT>N";"Prép1 (être Adj)";"Prép1 (avoir Det N)";"N1 =: Nhum";"N1 =: N-hum";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Base4";"Exemple Autre1"
"1";"+";"-";"-";"+";"ami";"amitié";"avec";"avec";"+";"-";"Léa a eu une amitié avec Luc";"Luc et Léa ont eu une longue amitié";"~";"~";"~"
"2";"-";"+";"+";"+";"analogue";"analogie";"à";"avec";"-";"+";"~";"~";"~";"~";"~"
"3";"-";"+";"-";"+";"antagonique";"antagonisme";"à";"avec";"-";"+";"~";"~";"~";"~";"~"
"4";"-";"+";"+";"-";"antérieur";"antériorité";"à";"sur";"-";"+";"~";"~";"~";"~";"~"
"5";"-";"+";"+";"+";"compatible";"compatibilité";"avec";"avec";"-";"+";"Cette théorie a une bonne compatibilité avec celle-là";"~";"~";"~";"~"
"6";"-";"+";"+";"+";"complémentaire";"complémentarité";"de";"avec";"-";"+";"~";"~";"~";"~";"Les économies de la Suisse et du Luxembourg sont en complémentarité partielle"
"7";"-";"+";"+";"+";"conforme";"conformité";"à";"avec";"-";"+";"~";"~";"~";"~";"~"
"8";"+";"+";"-";"+";"contemporain";"contemporanéité";"de";"avec";"+";"+";"~";"~";"Ces événements sont d'une certaine contemporanéité";"Ces événements sont contemporains";"~"
"9";"-";"+";"-";"+";"contigu";"contiguité";"à";"avec";"-";"+";"~";"~";"~";"~";"~"
"10";"+";"+";"+";"+";"identique";"identité";"à";"avec";"+";"+";"~";"~";"~";"~";"~"
"11";"+";"+";"+";"-";"inférieur";"infériorité";"à";"sur";"+";"+";"~";"~";"~";"~";"~"
"12";"-";"+";"-";"+";"interdépendant";"interdépendance";"avec";"avec";"-";"+";"~";"~";"~";"~";"~"
"13";"+";"-";"-";"+";"intime";"intimité";"avec";"avec";"+";"-";"~";"~";"~";"~";"~"
"14";"-";"+";"-";"+";"miscible";"miscibilité";"avec";"avec";"-";"+";"~";"~";"~";"~";"~"
"15";"-";"+";"-";"+";"mitoyen";"mitoyenneté";"avec";"avec";"-";"+";"~";"~";"~";"~";"~"
"16";"-";"+";"+";"+";"parallèle";"parallélisme";"à";"avec";"-";"+";"~";"~";"~";"~";"~"
"17";"+";"-";"+";"+";"parent";"parenté";"avec";"avec";"+";"-";"~";"~";"~";"~";"~"
"18";"-";"+";"+";"-";"postérieur";"postériorité";"à";"sur";"-";"+";"~";"~";"~";"~";"~"
"19";"-";"-";"+";"-";"réciproque";"réciprocité";"avec";"avec";"-";"-";"~";"~";"~";"~";"~"
"20";"+";"-";"-";"+";"rival";"rivalité";"de";"avec";"+";"-";"~";"~";"~";"~";"~"
"21";"-";"+";"+";"+";"simultané";"simultanéité";"à";"avec";"-";"+";"~";"~";"~";"~";"~"
"22";"+";"-";"-";"+";"solidaire";"solidarité";"de";"avec";"+";"-";"~";"~";"~";"~";"~"
"23";"+";"+";"+";"-";"supérieur";"supériorité";"à";"sur";"+";"+";"~";"~";"~";"~";"~"
"24";"-";"+";"+";"+";"symétrique";"symétrie";"de";"avec";"-";"+";"~";"~";"~";"~";"~"

