"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"<ENT>N";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: un, Vsup =: perdre";"Det =: des, Vsup =: perdre";"Det =: du, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1"
"1";"-";"+";"-";"à coup";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"~"
"2";"+";"-";"+";"abnégation";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"~"
"3";"-";"+";"-";"abords";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"4";"+";"-";"-";"accueil";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"~"
"5";"+";"-";"-";"acquis";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"Ce syndicat a des acquis"
"6";"+";"+";"-";"adepte";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~"
"7";"-";"+";"-";"adhérent";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~"
"8";"+";"+";"-";"adversaire";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"~"
"9";"+";"+";"-";"allié";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~"
"10";"+";"+";"-";"ami";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~"
"11";"+";"-";"+";"amour propre";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"~"
"12";"+";"-";"-";"appétit";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"~"
"13";"+";"+";"-";"auditeur";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~"
"14";"+";"+";"-";"client";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"~"
"15";"+";"+";"-";"clientèle";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"~"
"16";"+";"-";"-";"coeur d'or";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"~"
"17";"+";"-";"-";"coeur de pierre";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"~"
"18";"+";"+";"-";"contradicteur";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"~"
"19";"+";"-";"-";"copain";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~"
"20";"-";"+";"-";"débouché";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"~"
"21";"+";"-";"+";"désintéressement";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"~"
"22";"+";"-";"-";"disciple";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~"
"23";"+";"-";"-";"disponibilités";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"Max a des disponibilités"
"24";"+";"-";"-";"domestique";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"~"
"25";"+";"-";"+";"éducation";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"~"
"26";"+";"+";"-";"électeur";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"Jean a des électeurs"
"27";"+";"+";"-";"élève";"+";"+";"+";"-";"+";"+";"-";"- +";"+";"-";"+";"-";"-";"+";"+";"+";"+";"Max a des élèves"
"28";"+";"+";"-";"ennemi";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"Luc a un ennemi"
"29";"+";"+";"-";"épigone";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"~"
"30";"+";"-";"-";"esclave";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"Max a un esclave"
"31";"+";"+";"-";"escorte";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"Le président (a une+dispose d'une) escorte"
"32";"+";"-";"-";"fortune";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"~"
