"<ID>";"<ENT>N";"Det =: le, Vsup =: avoir";"Det =: un-normal, Vsup =: avoir";"Det =: le-normal, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: tout Poss0, Vsup =: avoir";"Det =: <E>, Vsup =: perdre";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: (<E>+tout) Poss0, Vsup =: perdre";"Det =: <E>, Vsup =: garder";"Det =: le, Vsup =: garder";"Det =: un-normal, Vsup =: garder";"Det =: le-normal, Vsup =: garder";"Det =: du, Vsup =: garder";"Det =: des, Vsup =: garder";"Det =: (<E>+tout) Poss0, Vsup =: garder";"Det =: le, Vsup =: retrouver";"Det =: tout Poss0, Vsup =: retrouver";"Det =: Poss0, Vsup =: retrouver";"N1nr donner Det N à N0";"N0 être sans Det N";"Exemple Base1"
"1";"appétit";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"~"
"2";"bon sens";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"~"
"3";"conscience";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~"
"4";"couleurs";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"~"
"5";"courage";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"~"
"6";"équilibre";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"Léa a un certain équilibre"
"7";"espoir";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~"
"8";"esprit(s)";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~"
"9";"facultés";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"Max a des facultés immenses"
"10";"foi";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"Max a la foi"
"11";"forces";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"~"
"12";"forme";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~"
"13";"jugement";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~"
"14";"mémoire";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"~"
"15";"moral";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"~"
"16";"moyens";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"~"
"17";"odorat";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"~"
