"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>N";"Det =: <E>, Vsup =: avoir";"Det =: <E>-Modif, Vsup =: avoir";"Det =: le, Vsup =: avoir";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"N0 et N1 (avoir+perdre) Det N";"il y avoir Det N entre N0 et N1";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1"
"1";"+";"-";"accès";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"Loc";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~"
"2";"+";"-";"accointance";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"Max a des accointances douteuses (avec+parmi+dans) les hommes politiques"
"3";"+";"-";"accommodement";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"Max (a+trouve) un accommodement avec les douanes"
"4";"+";"-";"adoration";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"~"
"5";"+";"+";"appétence";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"~"
"6";"+";"-";"assurance";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"de";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~"
"7";"+";"-";"attirance";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"~"
"8";"+";"-";"attrait";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"~"
"9";"+";"-";"béguin";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"pour";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"~"
"10";"+";"+";"carence";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"en";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max (a une+souffre d'une) carence en calcium"
