"<ID>";"<ENT>N";"N0hum avoir le N de N1";"N0-hum avoir le N de N1";"N0hum perdre le N de N1";"N0-hum perdre le N de N1";"Det =: <E>, Vconv =: avoir";"Det =: un-Modif, Vconv =: avoir";"Det =: des, Vconv =: avoir";"Det =: du, Vconv =: avoir";"Prép0";"N1 être de Det N Prép N0";"N1 être sans Det N Prép N0";"N1 avoir le N de V0-inf W";"Exemple Base1"
"1";"admiration";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"-";"+";"-";"~"
"2";"affection";"+";"-";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"+";"~"
"3";"amitié";"+";"-";"+";"-";"-";"+";"-";"+";"pour";"+";"-";"-";"~"
"4";"amour";"+";"-";"+";"-";"-";"+";"-";"+";"pour";"-";"-";"-";"~"
"5";"animosité";"+";"-";"+";"-";"-";"+";"-";"+";"envers";"+";"+";"+";"~"
"6";"antipathie";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"-";"~"
"7";"attachement";"+";"-";"+";"-";"-";"+";"-";"+";"pour";"+";"-";"-";"~"
"8";"attention";"+";"+";"+";"-";"-";"+";"+";"+";"pour";"+";"+";"-";"~"
"9";"aversion";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"-";"-";"-";"~"
"10";"bienveillance";"+";"+";"+";"+";"-";"+";"-";"+";"pour";"+";"+";"+";"Max a une certaine bienveillance (pour+envers+à l'égard de) Luc"
"11";"clémence";"+";"+";"+";"+";"-";"+";"-";"+";"pour";"+";"-";"+";"~"
"12";"commisération";"+";"+";"+";"+";"-";"+";"-";"+";"pour";"+";"-";"-";"~"
"13";"compassion";"+";"+";"+";"+";"-";"+";"-";"+";"pour";"+";"-";"-";"~"
"14";"complaisance";"+";"+";"+";"-";"-";"+";"+";"+";"pour";"+";"+";"+";"~"
"15";"complicité";"+";"+";"+";"+";"-";"+";"+";"+";"pour";"+";"-";"-";"~"
"16";"compréhension";"+";"+";"+";"+";"-";"+";"-";"+";"pour";"+";"-";"+";"~"
"17";"confiance";"+";"+";"+";"-";"+";"+";"-";"+";"pour";"+";"-";"+";"~"
"18";"considération";"+";"+";"+";"+";"-";"+";"-";"+";"pour";"-";"+";"-";"~"
"19";"dédain";"+";"+";"+";"-";"-";"+";"+";"+";"pour";"-";"+";"-";"~"
"20";"déférence";"+";"-";"+";"-";"-";"+";"-";"+";"pour";"+";"-";"+";"~"
"21";"dégoût";"-";"+";"-";"-";"-";"+";"-";"+";"pour";"-";"+";"-";"~"
"22";"dévotion";"+";"-";"+";"-";"-";"+";"-";"+";"pour";"+";"-";"+";"~"
"23";"dévouement";"+";"+";"+";"+";"-";"+";"+";"+";"pour";"+";"+";"+";"~"
"24";"dilection";"+";"-";"+";"-";"-";"+";"-";"+";"pour";"-";"-";"-";"~"
"25";"égards";"+";"+";"+";"-";"-";"-";"+";"-";"pour";"+";"+";"-";"~"
"26";"estime";"+";"+";"+";"+";"-";"+";"-";"+";"pour";"-";"+";"-";"Max a de l'estime pour Jean"
"27";"ferveur";"+";"-";"+";"-";"-";"+";"-";"+";"pour";"+";"-";"-";"~"
"28";"fidélité";"+";"+";"+";"-";"-";"+";"-";"+";"envers";"+";"-";"+";"~"
"29";"haine";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"-";"~"
"30";"hostilité";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"-";"+";"+";"~"
"31";"inimitié";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"-";"-";"-";"~"
"32";"mansuétude";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"+";"~"
"33";"méfiance";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"+";"~"
"34";"mépris";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"+";"~"
"35";"miséricorde";"+";"+";"+";"+";"-";"+";"-";"+";"pour";"+";"+";"+";"~"
"36";"pitié";"+";"+";"+";"-";"+";"+";"-";"+";"pour";"+";"+";"-";"~"
"37";"prédilection";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"-";"-";"-";"~"
"38";"préférence";"+";"+";"+";"-";"-";"+";"+";"-";"pour";"-";"+";"-";"~"
"39";"reconnaissance";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"-";"~"
"40";"respect";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"-";"~"
"41";"soins";"+";"+";"+";"-";"-";"-";"+";"-";"pour";"+";"-";"-";"~"
"42";"sollicitude";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"-";"~"
"43";"sympathie";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"-";"~"
"44";"tendresse";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"+";"+";"~"
"45";"vénération";"+";"+";"+";"-";"-";"+";"-";"+";"pour";"+";"-";"-";"~"

