"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>N";"Det =: le, Vsup =: avoir";"Det =: les, Vsup =: avoir";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: Poss1, Vsup =: avoir";"Det =: le, Vsup =: perdre";"Det =: les, Vsup =: perdre";"Det =: Poss1, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"N0 être sans Det N";"Vconv =: accorder";"Vconv =: adresser";"Vconv =: donner";"Vconv =: prêter";"Det =: <E>, Vconv";"Det =: un, Vconv";"Det =: un-Modif, Vconv";"Det =: des, Vconv";"Det =: du, Vconv";"Det =: Poss1, Vconv"
"1";"+";"+";"accord";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"2";"+";"-";"accréditation";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-"
"3";"-";"+";"adhésion";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"4";"+";"+";"agrément";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"5";"+";"+";"aide";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+"
"6";"+";"-";"aide";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-"
"7";"+";"-";"allocation";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-"
"8";"+";"+";"approbation";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"9";"+";"+";"appui";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+"
"10";"-";"+";"arbitrage";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+"
"11";"-";"+";"assentiment";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"12";"+";"+";"assistance";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+"
"13";"+";"+";"attention";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-"
"14";"+";"+";"aval";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"15";"+";"+";"bénédiction";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+"
"16";"+";"-";"bonjour";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+"
"17";"+";"-";"bonnes grâces";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"18";"+";"+";"caution";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"19";"+";"-";"compagnie";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"20";"+";"+";"consensus";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"21";"+";"+";"consentement";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"22";"-";"+";"contribution";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+"
"23";"+";"+";"coopération";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+"
"24";"+";"-";"délégation";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"25";"-";"+";"écho";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-"
"26";"+";"-";"écoute";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-"
"27";"+";"+";"éloge";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+"
"28";"+";"+";"encouragement";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+"
"29";"+";"-";"exhortation";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+"
"30";"+";"+";"faveur";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+"
"31";"+";"-";"faveurs";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"32";"+";"+";"garantie";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+"
"33";"+";"-";"gratification";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-"
"34";"+";"+";"habilitation";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"35";"+";"-";"indemnité";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-"
"36";"+";"-";"investiture";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"37";"+";"-";"louange";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+"
"38";"+";"-";"mandat";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-"
"39";"+";"-";"oreille";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-"
"40";"-";"+";"pardon";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+"
"41";"-";"+";"participation";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+"
"42";"-";"+";"patronage";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+"
"43";"+";"-";"pension";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-"
"44";"+";"-";"prêt";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-"
