"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"N0 =: Dislocation";"<ENT>N";"Det =: <E>, Vsup =: avoir";"Det =: le, Vsup =: avoir";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N0hum perdre Det N de V0-inf W";"N0-hum (avoir+perdre) le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1 causer Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1";"Exemple Autre1"
"1";"+";"-";"+";"+";"à propos";"-";"-";"-";"+";"-";"+";"-";"+";"+";"Loc";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"2";"+";"-";"-";"-";"acharnement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"3";"+";"-";"-";"-";"acharnement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"4";"+";"-";"-";"-";"acquis";"-";"-";"-";"+";"+";"+";"-";"+";"+";"en";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"5";"+";"-";"-";"-";"affliction";"-";"-";"-";"+";"-";"+";"-";"+";"+";"de+devant";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"~";"~"
"6";"+";"-";"-";"-";"affolement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"devant";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"~";"~"
"7";"+";"-";"-";"-";"agacement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"de+devant";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~"
"8";"+";"-";"+";"-";"ambition";"-";"+";"-";"+";"-";"-";"+";"+";"+";"de";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"9";"+";"-";"+";"-";"ambition";"-";"-";"-";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"10";"+";"-";"-";"-";"angoisse";"-";"+";"-";"+";"-";"+";"+";"+";"+";"de+devant";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~"
"11";"+";"-";"-";"-";"antenne";"-";"-";"+";"+";"+";"-";"-";"+";"+";"Loc";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"12";"+";"-";"-";"-";"appétit";"-";"-";"-";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"13";"+";"-";"-";"-";"application";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
