"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"<ENT>N";"Det =: <E>-Modif, Vsup =: (avoir+prendre)";"Det =: le, Vsup =: (avoir+prendre)";"Det =: un, Vsup =: (avoir+prendre)";"Det =: un-Modif, Vsup =: (avoir+prendre)";"Det =: des, Vsup =: (avoir+prendre)";"Det =: du, Vsup =: (avoir+prendre)";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Det =: du, Vsup =: perdre";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1";"Exemple Autre1";"Exemple Autre2"
"1";"-";"+";"-";"à côté";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"Cette situation a des à-côté désagréables";"~";"~"
"2";"+";"-";"-";"abattage";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~"
"3";"+";"-";"-";"abord";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"4";"+";"-";"-";"académie";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"5";"-";"+";"-";"accélération";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~";"~"
"6";"+";"-";"-";"accent";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"7";"-";"+";"-";"accent";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"~";"~";"~"
"8";"-";"+";"-";"acception";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~"
"9";"-";"+";"-";"accroissement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"L'inflation a eu un accroissement rapide";"~";"~"
"10";"-";"+";"-";"acoustique";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"11";"-";"+";"-";"agencement";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"12";"-";"+";"-";"aimantation";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"13";"+";"+";"-";"air";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"14";"+";"+";"-";"allant";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"15";"+";"-";"-";"allonge";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"16";"+";"+";"-";"allure";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"17";"-";"+";"-";"allure";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"18";"-";"+";"-";"altitude";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"19";"-";"+";"-";"ambiance";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"20";"-";"+";"-";"amplitude";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"21";"-";"+";"-";"animation";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"22";"+";"-";"-";"anonymat";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"23";"+";"-";"-";"aplomb";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"Max a de l'aplomb";"Max est d'un certain aplomb";"~"
"24";"-";"+";"-";"aplomb";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~"
"25";"-";"+";"+";"apparat";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"Ce dîner a un certain apparat";"~";"~"
"26";"+";"+";"+";"apparence";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"(Max a une apparence gaie+La maison a une apparence misérable)";"Max est d'une apparence gaie";"~"
"27";"+";"-";"-";"appas";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"28";"+";"-";"-";"appétit";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~"
"29";"+";"+";"+";"aspect";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"((Max+Cet objet) a un aspect bizarre+Ce papier a un aspect rugueux
+Ce verbe a un aspect accompli)";"Max est d'un aspect bizarre";"~"
"30";"+";"+";"-";"assiette";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"Ce cavalier a une bonne assiette";"~";"~"
"31";"+";"-";"-";"bagou";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Marie a du bagou";"~";"~"
"32";"+";"-";"-";"bajoue";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"Marie a des bajoues";"~";"~"
"33";"+";"-";"-";"baratin";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"Max a du baratin";"~";"~"
"34";"-";"+";"+";"base";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"Les Russes ont une base à Kiev";"~";"~"
"35";"+";"-";"-";"bedon";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"Max a du bedon";"~";"~"
"36";"+";"-";"-";"bégaiement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"37";"+";"-";"-";"boitement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"38";"+";"+";"+";"bon sens";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~";"~";"~"
"39";"+";"-";"-";"bougeotte";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"40";"-";"+";"-";"bouquet";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"Ce vin a du bouquet";"~";"~"
"41";"+";"-";"-";"bredouillement";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"42";"+";"+";"+";"brillant";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"Cet élève a du brillant";"~";"~"
"43";"+";"+";"+";"brio";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"(Cette étude+Ce pianiste) a du brio";"~";"~"
"44";"+";"+";"+";"cachet";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"Ce village a un certain cachet";"~";"Il y a un certain cache à ce village"
"45";"+";"-";"-";"cadence";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"Le débit de Max a une certaine cadence";"~";"~"
"46";"-";"+";"-";"cadence";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"~";"~";"~"
"47";"-";"+";"-";"cambrure";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"48";"+";"+";"-";"cap";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"Max a un cap";"~";"~"
"49";"+";"-";"-";"caquet";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"Max a du caquet";"~";"~"
"50";"+";"-";"-";"caractère";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Cette immeuble a du caractère";"~";"~"
"51";"-";"+";"+";"caractère";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"52";"+";"+";"+";"caractéristique";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"Ce moteur a des caractéristiques";"~";"~"
"53";"+";"+";"-";"carnation";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"Marie a une belle carnation";"~";"~"
"54";"+";"-";"-";"charisme";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
