"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"<ENT>N";"Det =: le, Vsup =: (avoir+prendre)";"Det =: un, Vsup =: (avoir+prendre)";"Det =: un-Modif, Vsup =: (avoir+prendre)";"Det =: des, Vsup =: (avoir+prendre)";"Det =: du, Vsup =: (avoir+prendre)";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"N0 et N1 (avoir+perdre) Det N";"il y avoir Det N entre N0 et N1";"il y avoir Det N Loc N0";"Vsup =: exercer";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1 donner Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1"
"1";"+";"-";"-";"accoutumance";"-";"+";"+";"-";"+";"-";"+";"+";"à";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"2";"-";"+";"-";"accoutumance";"-";"+";"+";"-";"-";"-";"+";"+";"à";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"3";"+";"+";"+";"action";"-";"+";"+";"-";"+";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"~"
"4";"+";"+";"-";"affinité";"-";"+";"+";"+";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"5";"+";"-";"-";"agrément";"-";"-";"+";"-";"+";"-";"+";"-";"à";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"~"
"6";"+";"-";"-";"amusement";"-";"-";"+";"-";"+";"-";"+";"-";"à";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"~"
"7";"-";"+";"+";"articulation";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"~"
"8";"+";"-";"-";"ascendant";"-";"+";"+";"-";"+";"-";"+";"+";"sur";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"Max a un certain ascendant sur Léa"
"9";"-";"+";"-";"assonance";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~"
"10";"+";"-";"-";"carapace";"-";"+";"+";"-";"-";"-";"+";"+";"contre";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~"
