"<ID>";"N0 =: N-hum";"donner = accorder";"donner = adresser";"donner = apporter";"donner = faire";"donner = passer";"donner = flanquer";"<ENT>N";"<OPT>V";"Det figé";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = encourir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = percevoir";"recevoir = prendre";"recevoir = tenir";"recevoir = toucher";"Exemple Base1";"Exemple Autre1";"Exemple Autre2"
"1";"-";"+";"-";"-";"-";"-";"-";"abri";"abriter";"-";"<E>";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"2";"-";"+";"-";"-";"-";"-";"-";"absolution";"absoudre";"la";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"3";"-";"+";"-";"-";"-";"-";"-";"absolution";"absoudre";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"4";"-";"-";"-";"+";"-";"-";"-";"acceptation";"accepter";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"5";"-";"-";"-";"-";"-";"-";"-";"accolade";"accolader";"-";"la";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"6";"-";"-";"-";"+";"-";"-";"-";"accommodement";"accommoder";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"7";"-";"-";"-";"-";"+";"-";"-";"accompagnement";"accompagner";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"8";"-";"+";"-";"-";"-";"-";"-";"accréditation";"accréditer";"-";"Poss2";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"9";"+";"-";"-";"+";"-";"-";"-";"achèvement";"achever";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"10";"-";"-";"+";"-";"-";"-";"-";"acquiescement";"acquiescer";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"11";"-";"+";"-";"-";"-";"-";"-";"acquittement";"acquitter";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"12";"-";"-";"-";"-";"+";"-";"-";"adaptation";"adapter";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"13";"-";"-";"-";"+";"-";"-";"-";"adhésion";"adhérer";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
