"<ID>";"N0 =: N-hum";"donner = accorder";"donner = adresser";"donner = apporter";"donner = faire";"donner = passer";"donner = flanquer";"<ENT>N";"Det figé";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = encourir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = percevoir";"recevoir = prendre";"recevoir = tenir";"recevoir = toucher";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"-";"+";"-";"-";"-";"-";"-";"accessit";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"2";"-";"-";"-";"-";"-";"-";"-";"accord";"-";"Poss0";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"3";"-";"-";"-";"+";"+";"-";"-";"additif";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"4";"-";"+";"-";"+";"-";"-";"-";"affection";"-";"Poss0";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"5";"-";"+";"-";"-";"+";"-";"-";"affidavit";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"~";"~";"~"
"6";"-";"-";"-";"+";"-";"-";"-";"alibi";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"7";"-";"+";"-";"-";"-";"-";"-";"aman";"le";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"8";"-";"-";"-";"-";"-";"-";"+";"amende";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~"
"9";"+";"-";"-";"+";"-";"-";"-";"apaisements";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"10";"+";"-";"-";"+";"-";"-";"-";"aperçu";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"11";"-";"-";"-";"-";"+";"-";"-";"appréciation";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"12";"-";"-";"-";"-";"-";"-";"-";"apprentissage";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"13";"-";"-";"-";"-";"-";"+";"+";"arquebusade";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"14";"-";"-";"-";"+";"-";"-";"-";"arrhes";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~"
"15";"-";"+";"-";"-";"-";"-";"-";"asile";"-";"<E>";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"16";"-";"-";"+";"-";"-";"-";"-";"assentiment";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"17";"+";"-";"-";"+";"-";"-";"-";"assurances";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"18";"+";"-";"-";"+";"-";"-";"-";"atout";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"19";"-";"+";"-";"+";"+";"-";"-";"attention";"-";"Poss0";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"20";"-";"-";"-";"-";"-";"-";"-";"attributions";"-";"Poss2";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"21";"-";"-";"-";"-";"-";"-";"-";"aubade";"la";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
