"<ID>";"<ENT>N";"Det figé";"autre Det";"N0 =: N-hum";"donner = accorder";"donner = adresser";"donner = apporter";"donner = attribuer";"donner = flanquer";"donner = passer";"Det =: un";"Det =: des";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = obtenir";"recevoir = percevoir";"recevoir = prendre";"recevoir = toucher"
"1";"absolution publique";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"2";"accord de principe";"-";"Poss1";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-"
"3";"accord verbal";"-";"Poss1";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-"
"4";"affectation spéciale";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"5";"aide alimentaire";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+"
"6";"aide économique";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+"
"7";"aide militaire";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+"
"8";"aide pécuniaire";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+"
"9";"aide technique";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+"
"10";"allocations familiales";"-";"les";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+"
"11";"amende publique";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-"
"12";"amnistie générale";"-";"la";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"13";"année sabbatique";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"14";"appellation contrôlée";"-";"la";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-"
"15";"appointements fixes";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+"
"16";"approbation tacite";"-";"Poss0";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-"
"17";"appui aérien";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-"
"18";"appui moral";"-";"Poss0";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-"
"19";"appui tactique";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-"
"20";"asile diplomatique";"-";"le";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"21";"asile politique";"-";"le";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"22";"assistance financière";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+"
"23";"assistance judiciaire";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"24";"assistance médicale";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"25";"assistance technique";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+"
"26";"atténuation de peine";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"27";"attributions administratives";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"28";"attributions politiques";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"29";"attributions universitaires";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"30";"autonomie administrative";"-";"la";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-"
"31";"autonomie interne";"-";"la";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-"
"32";"avantage fiscal";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"33";"avantages en nature";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+"
"34";"avantages sociaux";"-";"les";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+"
"35";"avis de décès";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"36";"avis défavorable";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"37";"avis favorable ";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"38";"baiser de paix";"le";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-"
"39";"ballon d'oxygène";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-"
"40";"baptême de l'air";"le";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"41";"baptême du feu";"le";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"42";"baptême du sang";"le";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"43";"bâton de maréchal";"-";"Poss1";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"44";"bénédiction des morts";"la";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"45";"bénédiction épiscopale";"la";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"46";"bénédiction nuptiale";"la";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"47";"bénédiction papale";"la";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"48";"bénédiction paternelle";"la";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"49";"bénéfice brut";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+"
"50";"bénéfice net";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+"
"51";"blanc-seing";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"52";"bon conseil";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-"
"53";"bon exemple";"le";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-"
"54";"bon point";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"55";"bonne adresse";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-"
"56";"bonne éducation";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"57";"bonne fessée";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-"
"58";"bonne note";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-"
"59";"bonne nouvelle";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
