"<ID>";"<ENT>N";"<OPT>V";"<OPT>Adj";"N0 =: Nhum";"N0 =: N-hum";"exercer = avoir";"exercer = éprouver";"exercer = faire";"exercer = pratiquer";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: Poss0";"Prép1 =: à l'égard de";"Prép1 =: contre";"Prép1 =: sur";"N1 =: Nhum";"N1 =: N-hum";"N0 V N1";"N0 être Adj Prép N1";"subir = essuyer";"subir = être sous";"subir = faire l'objet de";"Exemple Base1";"Exemple Base2";"Exemple Autre1"
"1";"acharnement";"<E>";"<E>";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"~";"~";"~"
"2";"action";"agir";"<E>";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"~";"~";"~"
"3";"agressivité";"<E>";"agressif";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~";"~"
"4";"animosité";"<E>";"<E>";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~"
"5";"arrogance";"<E>";"arrogant";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"~";"~";"~"
"6";"ascendant";"<E>";"<E>";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"Max a un certain ascendant sur Léa"
"7";"attirance";"attirer";"attirant";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~"
"8";"attraction";"<E>";"<E>";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"9";"attrait";"<E>";"attrayant";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"10";"autocratie";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~"
"11";"autoritarisme";"<E>";"autoritaire";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"12";"autorité";"<E>";"autoritaire";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"~";"~";"~"
"13";"barbarie";"<E>";"barbare";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"~";"~";"~"
"14";"charme";"charmer";"<E>";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"15";"coercition";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~"
"16";"colère";"<E>";"<E>";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"~";"~";"~"
"17";"contrainte";"contraindre";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"~";"~";"~"
"18";"courroux";"courroucer";"<E>";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"~";"~";"~"
"19";"cruautés";"<E>";"cruel";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"~";"~";"~"
"20";"despotisme";"<E>";"despotique";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"21";"dictature";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"~";"~";"~"
"22";"domination";"dominer";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"~";"~";"~"
"23";"effet";"<E>";"<E>";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"~";"~";"~"
"24";"empire";"<E>";"<E>";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"25";"emprise";"<E>";"<E>";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"26";"enchantement";"enchanter";"<E>";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"27";"ensorcellement";"ensorceler";"<E>";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"~";"Léa subit un ensorcellement ";"~"
"28";"envoûtement";"envoûter";"<E>";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"Ce livre exerce un envoûtement sur Léa";"~";"~"
"29";"exploitation";"exploiter";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"~";"~"
"30";"fanatisme";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"~";"~";"~"
"31";"fascination";"fasciner";"<E>";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"32";"férocité";"<E>";"féroce";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"~";"~";"~"
"33";"fureur";"<E>";"<E>";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"~";"~";"~"
"34";"furie";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"~";"~";"~"
"35";"haine";"haïr";"<E>";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"~";"~";"~"
"36";"hargne";"<E>";"<E>";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"~";"~";"~"
