"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un-Modif";"un N Modif être fait par N0 W";"Det =: un";"Det =: des";"Det =: du";"Det =: Artg =: le";"Det =: Artg =: les";"Det =: <E>";"Det N être fait W par N0";"il être fait Det N W par N0"
"1";"32r";"bachoter";"bachotage";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"2";"31h";"boursicoter";"boursicotage";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"3";"32cl";"boxer";"boxe";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"4";"32r";"braconner";"braconnage";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"5";"32c";"bricoler";"bricolage";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"6";"32r";"brocanter";"brocante";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"7";"31h";"caboter";"cabotage";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"8";"31h";"camper";"camping";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"9";"31h";"canoter";"canotage";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"10";"31h";"cascader";"cascade";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"11";"32r";"chanter";"chant";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"12";"32";"courir";"course";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"13";"32a";"cuisiner";"cuisine";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+"
"14";"6 ";"dactylographier";"dactylographie";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+"
"15";"32r";"danser";"danse";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"16";"4";"démoraliser";"démoralisation";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"17";"31h";"herboriser";"herborisation";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"18";"32cv";"jardiner";"jardinage";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"19";"36dt";"marauder";"maraude";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"20";"31h";"marcher";"marche";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"21";"35l";"naviguer";"navigation";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"22";"2";"patiner";"patin";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+"
"23";"2";"patiner";"patinage";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"24";"35r";"poser";"pose";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"25";"32h";"pouponner";"pouponnage";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"26";"2";"sauter";"saut";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"27";"2";"skier";"ski";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"28";"32cv";"terrasser";"terrassement";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+"
"29";"32cv";"thésauriser";"thésaurisation";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+"
"30";"32cv";"tricoter";"tricot";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+"

