"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un-Modif";"un N Modif être fait par N0 W";"Det =: un";"Det =: des";"Det =: du";"Det =: Artg =: le";"Det =: Artg =: les";"Det =: <E>";"Det N être fait W par N0";"il être fait Det N W par N0"
"1";"35l";"accoster";"accostage";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"2";"35l";"alunir";"amerrir";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"3";"   2";"amerrir";"amerrissage";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"4";"   2";"s'arrêter";"arrêt";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"5";"   2";"arriver";"arrivée";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"6";"32h";"assassiner";"assassinat";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"7";"   2";"atterrir";"atterrissage";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"8";"38l";"balader";"balade";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"9";"   8";"balancer";"balancement";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"10";"35r";"banqueter";"banquet";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"11";"31h";"bivouaquer";"bivouac";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"12";"   2";"bondir";"bond";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"13";"31h";"boulonner";"boulot";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+"
"14";"35s";"bridger";"bridge";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"15";"31h";"cabrioler";"cabriole";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+"
"16";"31h";"cavalcader";"cavalcade";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
"17";"36dt";"chaparder";"chapardage";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+"
"18";"35l";"choir";"chute";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+"
