"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un-Modif";"un N Modif être fait par N0 W";"Det =: un";"Det =: des";"Det =: du";"Det =: Artg =: le";"Det =: Artg =: les";"Det =: <E>";"Det N être fait W par N0";"il être fait Det N W par N0";"Exemple Base1"
"1";"5";"apparaître";"apparition";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~"
"2";"38l";"biberonner";"biberonnage";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~"
"3";"35r";"blaguer";"blague";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"~"
"4";"35r";"capituler";"capitulation";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~"
"5";"32r";"chipoter";"chipotage";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"~"
"6";"35s";"contraster";"contraste";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~"
"7";"2";"courir";"course";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"~"
"8";"31h";"débuter";"début";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"9";"38l";"échouer";"échouage";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~"
"10";"6";"écrire";"écriture";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"~"
"11";"4";"embrouiller";"embrouillamini";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"~"
"12";"35r";"empiéter";"empiètement";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"~"
"13";"2";"entrer";"entrée";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Le visiteur a fait (son+une) entrée dans le salon"
"14";"37e";"exorciser";"exorcisme";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Max fait des exorcismes"
"15";"35l";"farfouiller";"farfouillage";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"~"
"16";"35s";"guerroyer";"guerre";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~"
"17";"36s";"guetter";"guet";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"~"
"18";"1";"hâter";"hâte";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~"
"19";"31";"lézarder";"lézard";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Luc fait le lézard sur la plage"
"20";"31h";"mésallier";"mésalliance";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~"
"21";"38r";"muer";"mue";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"22";"38l";"pisser";"pipi";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"~"
"23";"31h";"poireauter";"poireau";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~"
"24";"5";"primer";"prime";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"~"
"25";"32h";"prendre";"prise";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"~"
"26";"31h";"rechuter";"rechute";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~"
"27";"31h";"récidiver";"récidive";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~"
"28";"7";"recourir";"recours";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"~"
"29";"31r";"relâcher";"relâche";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~"
"30";"2";"rentrer";"rentrée";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"31";"6";"renvoyer";"renvoi";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"~"
"32";"7";"résister";"résistance";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"~"
"33";"36dt";"resquiller";"resquille";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"~"
"34";"38l";"saliver";"salive";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"~"
"35";"35st";"séjourner";"séjour";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~"
"36";"38ld";"semer";"semailles";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~"
"37";"-";"surenchérir";"surenchère";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"~"
"38";"31h";"temporiser";"temporisation";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"~"
"39";"38l";"téter";"tétée";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~"
"40";"7";"travailler";"travail";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"~"
"41";"35l";"trifouiller";"trifouillage";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"~"
"42";"31h";"vagabonder";"vagabondage";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~"
"43";"32cv";"versifier";"versification";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~"
"44";"9";"vocaliser";"vocalise";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~"

