"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N Prép N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1";"Prép N1 =: Qu Pind";"Qu Pind = de V0-inf W";"Prép N1 =: de ce Qu Pind";"Prép N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"Det N être fait W par N0";"Exemple Base1";"Exemple Base2";"Exemple Autre1";"Exemple Autre2";
"1";"6";"analyser";"analyse";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"2";"9";"annoncer";"annonce";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"3";"6";"arbitrer";"arbitrage";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"4";"6";"authentifier";"authentification";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"5";"9";"avouer";"aveu";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"6";"6";"boycotter";"boycott";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"7";"6";"calculer";"calcul";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"Max fait le calcul qu'Ida voudra à 6h";"~";"~"
"8";"6";"choisir";"choix";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"~";"~";"~";"~"
"9";"6";"commémorer";"commémoration";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"10";"9";"commenter";"commentaire";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"11";"9";"communiquer";"communication";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"12";"9";"concéder";"concession";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"~";"Max fait à Marie la concession qu'elle a écrit une bêtise dans son bouquin";"~";"~"
"13";"9";"confesser";"confession";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"14";"6";"conjecturer";"conjecture";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"15";"6";"constater";"constat";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"16";"6";"constater";"constatation";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"17";"6";"contrôler";"contrôle";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"18";"6";"déchiffrer";"déchiffrage";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"19";"6";"déclamer";"déclamation";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"20";"9";"déclarer";"déclaration";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"~";"Max a fait à Ida la déclaration qu'elle viendrait";"~";"~"
"21";"6";"découvrir";"découverte";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"22";"9";"définir";"définition";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"23";"9";"demander";"demande";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~";"~"
"24";"9";"démontrer";"démonstration";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"25";"9";"décrire";"description";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"26";"6";"détecter";"détection";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"27";"9";"développer";"développement";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"28";"6";"diagnostiquer";"diagnostic";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"29";"6";"ébaucher";"ébauche";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"30";"9";"économiser";"économie";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"31";"6";"enregistrer";"enregistrement";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"32";"9";"enseigner";"enseignement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
