"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N de N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1";"Exemple Base1";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"37m";"accentuer";"accentuation";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"2";"37m";"amidonner";"amidonnage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"3";"37m";"amorcer";"amorçage";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"4";"4";"anesthésier";"anesthésie";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"5";"4";"animer";"animation";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"6";"35r";"anticiper";"anticipation";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"7";"38l";"arracher";"arrachage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"~";"~"
"8";"37m";"arroser";"arrosage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"9";"2";"ascensionner";"ascension";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"10";"37m";"asphalter";"asphaltage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"11";"32ra";"assainir";"assainissement";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"12";"37m";"assaisonner";"assaisonnement";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"~";"~"
"13";"32ra";"assécher";"assèchement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"14";"32c";"astiquer";"astiquage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"15";"37m";"aurifier";"aurification";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"16";"32h";"ausculter";"auscultation";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"17";"32h";"autopsier";"autopsie";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"~";"~"
"18";"37m";"badigeonner";"badigeonnage";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"19";"37m";"baguer";"bagage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"20";"37e";"balayer";"balayage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"21";"37m";"baliser";"balisage";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"22";"32c";"bêcher";"bêchage";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"23";"37m";"bétonner";"bétonnage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"24";"37e";"biner";"binage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"25";"37m";"biseauter";"biseautage";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"26";"32ra";"blanchir";"blanchissage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"27";"37m";"blinder";"blindage";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"28";"32cv";"bobiner";"bobinage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"29";"37m";"boiser";"boisage";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
