"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N de N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1";"Exemple Base1"
"1";"36sl";"adapter";"adaptation";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"2";"32ra";"agrandir";"agrandissement";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"3";"32r";"arranger";"arrangement";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"4";"38r";"calquer";"calque";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"5";"32r";"caricaturer";"caricature";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"Max a fait la caricature de Luc"
"6";"32r";"condenser";"condensé";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"7";"32r";"copier";"copie";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"8";"12";"critiquer";"critique";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"~"
"9";"32a";"croquer";"croquis";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"~"
"10";"38r";"décalquer";"décalque";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"11";"32a";"dessiner";"dessin";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"12";"32a";"éditer";"édition";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"~"
"13";"6";"filmer";"film";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"14";"36s";"harmoniser";"harmonisation";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"15";"32r";"imiter";"imitation";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"~"
"16";"38r";"interpréter";"interprétation";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"17";"38l";"mouler";"moulage";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"18";"6";"orchestrer";"orchestration";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"19";"38r";"paraphraser";"paraphrase";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"~"
"20";"32r";"parodier";"parodie";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"~"
"21";"32r";"pasticher";"pastiche";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"~"
"22";"32r";"photocopier";"photocopie";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"23";"32r";"photographier";"photographie";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"24";"32r";"plagier";"plagiat";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"25";"32r";"polycopier";"polycopie";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"26";"32cv";"programmer";"programme";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"27";"38l";"projeter";"projection";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"28";"32c";"psychanalyser";"psychanalyse";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"29";"32c";"radiographier";"radiographie";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"~"
"30";"32pl";"recenser";"recensement";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"~"
"31";"38r";"reconstituer";"reconstitution";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"32";"32c";"réduire";"réduction";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"33";"10";"relever";"relevé";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"34";"32r";"répéter";"répétition";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"35";"32r";"reproduire";"reproduction";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"~"
"36";"32cv";"schématiser";"schéma";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"37";"32a";"synthétiser";"synthèse";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"38";"32a";"tracer";"tracé";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"39";"38r";"traduire";"traduction";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"~"
"40";"38r";"transcrire";"transcription";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"

