"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N de N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1";"Exemple Base1";"Exemple Autre1"
"1";"37e";"accoucher";"accouchement";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"2";"36dt";"acquérir";"acquisition";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"3";"37m";"approvisionner";"approvisionnement";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"4";"37m";"atteler";"attelage";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"5";"32h";"baptiser";"baptême";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"6";"32h";"canoniser";"canonisation";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"7";"32h";"capturer";"capture";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"8";"32pl";"collecter";"collecte";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"9";"32pl";"collectionner";"collection";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"10";"32pl";"compter";"compte";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"~";"~"
"11";"6";"conquérir";"conquête";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"~";"~"
"12";"11";"consommer";"consommation";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"13";"32pl";"décompter";"décompte";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"~"
"14";"38l";"déduire";"déduction";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"~";"~"
"15";"38l";"défalquer";"défalcation";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"~";"~"
"16";"37m";"délimiter";"délimitation";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"17";"11";"dépenser";"dépense";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"18";"11";"éduquer";"éducation";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"19";"39";"élire";"élection";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"Les électeurs font l'élection du député";"~"
"20";"38l";"élider";"élision";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"Max fait l'élision de e";"~"
"21";"38l";"enlever";"enlèvement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"Max fait l'enlèvement des ordures";"~"
