"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un-Modif";"N0 faire un N Modif";"N0 faire un N";"Det =: des";"N0 faire des N";"Det =: du";"N0 faire du N";"Det =: Artg =: le";"N0 faire le N";"N0 faire le N de V0-inf W";"N0 faire le N de V1-inf W à N1";"Det =: <E>";"N0 faire (bon+mauvais) N Prép N1";"N0 faire N de V1-inf W";"N1 =: N-hum";"Prép1 =: à";"Prép1 =: contre";"GN =: le N de N0 à N1";"GN =: les N de N0 à N1";"GN =: le N de N0 contre N1";"Exemple Base1";"Exemple Base2";"Exemple Autre1";
"1";"38l";"accueillir";"accueil";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"~";"~";"~"
"2";"13";"admonester";"admonestation";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"3";"4";"agacer";"agacerie";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"4";"32r";"attaquer";"attaque";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~"
"5";"32h";"baratiner";"baratin";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Max fait du baratin à Eve";"~";"~"
"6";"32cl";"bécoter";"bécot";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"7";"32h";"bluffer";"bluff";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"~"
"8";"4";"brimer";"brimade";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"Léa essuie des brimades (de+de la part de) Max"
"9";"32h";"brocarder";"brocard";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~"
"10";"32cl";"brutaliser";"brutalité";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"~";"~";"~"
"11";"9";"cafarder";"cafardage";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~"
"12";"32h";"cajoler";"cajolerie";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"13";"32h";"câliner";"câlinerie";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"Max fait des câlineries à Ida";"~";"~"
"14";"32h";"calomnier";"calomnie";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"Max a dit des calomnies sur Ida"
"15";"37m";"canarder";"canardage";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~"
"16";"37e";"censurer";"censure";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~"
"17";"4";"chagriner";"chagrin";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"18";"13";"chapitrer";"chapitre";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"19";"4";"charmer";"charme";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Ida fait du charme à Max";"~";"~"
"20";"13";"chicaner";"chicane";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"Max fait des chicanes à quelqu'un";"~";"~"
"21";"13";"complimenter";"compliment";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"22";"32r";"concurrencer";"concurrence";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~"
"23";"13";"congratuler";"congratulation";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"24";"6";"contester";"contestation";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~"
"25";"32h";"contrattaquer";"contrattaque";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~"
"26";"32h";"courtiser";"cour";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"~"
"27";"13";"créditer";"crédit";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"28";"12";"critiquer";"critique";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~";"~"
"29";"32r";"dénigrer";"dénigrement";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~"
"30";"4";"déshonorer";"déshonneur";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"31";"4";"diffamer";"diffamation";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"Max fait de la diffamation (E+contre Léa)";"~"
"32";"37m";"doter";"dot";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"~"
"33";"4";"embêter";"embêtement";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"34";"4";"emmerder";"emmerdement";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Léa fait des emmerdements à Jean";"~";"~"
"35";"37";"empoisonner";"empoisonnement";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"36";"4";"ennuyer";"ennui";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
