"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: le fait Qu P";"Det =: <E>";"N0 faire très N à N1";"N0 faire grand N à N1";"N0 faire fort N à N1";"N0 faire (E+Modif) N";"Det =: un-Modif";"N0 faire un N Modif";"N0 faire un N";"N0 faire des N";"Det =: du";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"Det N être fait W par N0";"il être fait Det N W par N0";"GN =: le N de N0 à N1";"GN =: le N de N1"
"1";"4";"apeurer";"peur";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+"
"2";"19";"apitoyer";"pitié";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+"
"3";"4";"chagriner";"chagrin";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+"
"4";"4";"choquer";"choc";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-"
"5";"4";"émotionner";"émotion";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+"
"6";"19";"entraver";"entrave";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-"
"7";"4";"honorer";"honneur";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+"
"8";"4";"horrifier";"horreur";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+"
"9";"4";"illusionner";"illusion";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+"
"10";"4";"impressionner";"impression";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+"
"11";"4";"injurier";"injure";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-"
"12";"4";"offenser";"offense";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-"
"13";"4";"outrager";"outrage";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-"
"14";"4";"peiner";"peine";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+"

