"<ID>";"<ENT>N";"Genre masculin";"N0 =: Nhum";"N0 =: le fait Qu P";"Det =: <E>";"N0 faire très N à N1";"N0 faire grand N à N1";"N0 faire fort N à N1";"N0 faire (E+Modif) N";"Det =: un-Modif";"N0 faire un N Modif";"N0 faire un N";"N0 faire des N";"Det =: du";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"Det N être fait W par N0";"il être fait Det N W par N0";"GN =: le N de N0 à N1";"GN =: le N de N1"
"1";"bien";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-"
"2";"chaud";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-"
"3";"coup";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-"
"4";"effet";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-"
"5";"envie";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+"
"6";"frisson";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+"
"7";"froid";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+"
"8";"honte";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+"
"9";"mal";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+"
"10";"plaisir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+"
"11";"souci";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+"

