"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un";"N0 faire un N Prép N1 de (le+ce+son) N2";"N0 faire Det N Prép N1 de N2";"N0 faire un N";"Det =: des";"N0 faire des N";"Det =: du";"N0 faire du N";"Prép1 =: à";"Prép1 =: sur";"Prép1 =: dans";"Prép1 =: contre";"N1 =: Nhum";"N1 =: N-hum";"N0-hum faire Det N à N1";"GN =: le N de N0";"GN =: le N de N0 Prép N1";"GN =: le N de N1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"38r";"abriter";"abri";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"2";"37m";"accompagner";"accompagnement";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"~";"~";"~"
"3";"37m";"accoutrer";"accoutrement";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"4";"37m";"affubler";"affublement";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"5";"32ra";"agrandir";"agrandissement";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"Luc fait des agrandissements (à+dans) sa maison";"~";"~"
"6";"37m";"ajourer";"ajour";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"7";"32a";"aménager";"aménagement";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"8";"4";"amender";"amendement";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"~";"~";"~";"~"
"9";"37e";"amputer";"amputation";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"10";"37m";"annoter";"annotation";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~";"~";"~"
"11";"32ra";"arrondir";"arrondi";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"~";"~";"~";"~"
"12";"37m";"asperger";"aspersion";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"13";"37m";"asphalter";"asphaltage";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"14";"37m";"assaisonner";"assaisonnement";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"~";"Max fait l'assaisonnement à la salade";"~";"Max fait l'assaisonnement de la salade"
"15";"37m";"attifer";"attifement";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"16";"37m";"auréoler";"auréole";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"Ce produit a (fait+mis) des auréoles sur la robe";"~";"Ce produit a (fait+mis) une auréole blanche autour de la tâche";"~"
"17";"37m";"badigeonner";"badigeonnage";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"18";"37m";"bâillonner";"bâillon";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"19";"37m";"balafrer";"balafre";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"20";"37m";"bander";"bandage";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"~";"~";"~";"~"
"21";"37m";"barbouiller";"barbouillage";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~";"~"
"22";"37m";"barioler";"bariolage";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"Paul fait du bariolage sur cette couverture";"~";"~";"~"
"23";"37m";"barricader";"barricade";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"~";"~";"~"
"24";"38l";"biffer";"biffure";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~";"~";"~"
"25";"37m";"bigarrer";"bigarrure";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"26";"37m";"biseauter";"biseautage";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"27";"37m";"blesser";"blessure";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"28";"37m";"blinder";"blindage";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"29";"37m";"border";"bordure";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"~";"Max a fait (une bordure à ce col+la bordure de ce col)";"~";"~"
"30";"37m";"bosseler";"bosselure";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"31";"37m";"boucler";"boucle";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"32";"37m";"bouffir";"bouffissure";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"33";"37m";"boursoufler";"boursouflure";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"Le gel a fait des boursouflure sur les doigts de Max";"~";"~";"~"
"34";"37m";"boutonner";"boutonnage";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"~";"~";"~"
"35";"32c";"bricoler";"bricolage";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~";"~"
"36";"32c";"briser";"brisure";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"Le choc a fait quelques brisures à ce vase";"~";"~"
"37";"37m";"broder";"broderie";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"Paul fait des broderies sur cette nappe";"~";"~";"~"
"38";"37m";"brûler";"brûlure";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
