"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"Prép2 =: à";"Prép2 =: en";"Prép2 =: par";"Prép2 =: entre";"Prép2 =: sur";"Prép2 =: contre";"Prép2 =: dans";"N0 faire un N Prép N2";"Exemple Base1";"Exemple Autre1"
"1";"36sl";"accrocher";"accrochage";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"2";"36sl";"adapter";"adaptation";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"3";"38l";"adjoindre";"adjonction";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"4";"36dt";"affecter";"affectation";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"5";"38l";"afficher";"affichage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"~";"~"
"6";"38l";"aiguiller";"aiguillage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"~";"~"
"7";"10";"ajouter";"ajout";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"8";"36dt";"allouer";"allocation";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"9";"38l";"annexer";"annexion";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"10";"38l";"appliquer";"application";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"~";"~"
"11";"36dt";"apporter";"apport";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"12";"36sl";"arrimer";"arrimage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"13";"32pl";"assembler";"assemblage";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"14";"36sl";"brancher";"branchement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"~";"~"
"15";"38l";"cadrer";"cadrage";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"~";"~"
"16";"32pl";"centrer";"centrage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~"
"17";"32pl";"centraliser";"centralisation";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"18";"38l";"changer";"change";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"Luc fait le change de ses dollars (contre+pour) des marks";"~"
"19";"32pl";"classer";"classement";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"20";"32pl";"classifier";"classification";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"21";"32pl";"comptabiliser";"comptabilisation";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"22";"38pl";"concasser";"concassage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
