"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: Nnr";"N0 faire Det N de N1 avec N2";"N0 faire le N de N1 avec N2";"N0 faire un N Modif de N1 avec N2";"N0 faire Det N de N1 et de N2";"N0 faire le N de N1 et de N2";"N0 faire un N Modif de Det1 N1 et de Det2 N2";"N0 faire un N Modif du N1 et de N2";"N0 faire un N Modif de N1 et de N2";"N0 faire Det N entre N1 et N2";"N0 faire le N entre N1 et N2";"N0 faire un N entre N1 et N2";"N0 faire Det N de N1 et N2 entre eux";"N0 faire le N de N1 à N2";"N0 faire un N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N2 =: Nhum";"N2 =: N-hum";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"1";"36s";"additionner";"addition";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"~";"~";"~"
"2";"36sl";"agrafer";"agrafage";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"~";"~";"~"
"3";"36sl";"ajuster";"ajustement";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"~";"~";"~"
"4";"36s";"allier";"alliage";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"~";"~";"~"
"5";"36s";"amalgamer";"amalgame";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"6";"36sl";"articuler";"articulation";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"~";"~";"~"
"7";"36s";"assimiler";"assimilation";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"8";"36s";"associer";"association";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"9";"10";"combiner";"combinaison";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"~";"~";"~"
"10";"36s";"commuter";"commutation";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~";"~"
