"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"Det =: un";"Det =: un-Modif";"N0 faire un N Modif Prép N1";"N0 faire un N Modif Prép N2";"N0 faire un N Modif";"un N Modif être fait par N0";"N0 faire des N";"Det =: du";"N0 faire du N Prép N1";"N0 faire du N Prép N2";"N0 faire du N";"Det =: <E>";"Det =: <E>-Modif";"N0 faire N Modif Prép N1";"N0 faire N Modif Prép N2";"N0 faire N Modif";"Prép1 =: (sur+au sujet de)";"Prép1 =: de";"Prép1 =: contre";"N1 =: Nhum";"N1 =: N-hum";"Prép2 =: avec";"Prép2 =: auprès de";"Exemple Autre1"
"1";"8";"abuser";"abus";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"2";"14";"accorder";"accord";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"~"
"3";"35r";"anticiper";"anticipation";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~"
"4";"35r";"badiner";"badinage";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"~"
"5";"31h";"bouffonner";"bouffonnerie";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"~"
"6";"15";"commérer";"commérage";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"~"
"7";"35s";"commercer";"commerce";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"8";"15";"comploter";"complot";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"~"
"9";"7";"conspirer";"conspiration";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"~"
"10";"6";"contester";"contestation";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~"
