"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 faire le N de N1";"N1 =: Nhum";"N1 =: N-hum"
"1";"4";"abasourdir";"abasourdissement";"+";"+";"-"
"2";"4";"affliger";"affliction";"+";"+";"-"
"3";"4";"affoler";"affolement";"+";"+";"-"
"4";"4";"agacer";"agacement";"+";"+";"-"
"5";"4";"ahurir";"ahurissement";"+";"+";"-"
"6";"4";"aigrir";"aigreur";"+";"+";"+"
"7";"4";"amuser";"amusement";"+";"+";"-"
"8";"4";"angoisser";"angoisse";"+";"+";"-"
"9";"4";"animer";"animation";"+";"+";"+"
"10";"4";"apaiser";"apaisement";"+";"+";"-"
"11";"4";"appauvrir";"appauvrissement";"+";"+";"-"
"12";"4";"asphyxier";"asphyxie";"+";"+";"+"
"13";"4";"attendrir";"attendrissement";"+";"+";"-"
"14";"4";"aveugler";"aveuglement";"+";"+";"-"
"15";"4";"bloquer";"blocage";"+";"+";"+"
"16";"4";"bouleverser";"bouleversement";"+";"+";"-"
"17";"4";"chagriner";"chagrin";"+";"+";"-"
"18";"13";"consoler";"consolation";"+";"+";"-"
"19";"4";"consterner";"consternation";"+";"+";"-"
"20";"4";"contenter";"contentement";"+";"+";"-"
"21";"4";"contrarier";"contrariété";"+";"+";"-"
"22";"4";"corrompre";"corruption";"+";"+";"+"
"23";"4";"courroucer";"courroux";"+";"+";"-"
"24";"4";"décevoir";"déception";"+";"+";"-"
"25";"4";"déchaîner";"déchaînement";"+";"+";"-"
"26";"4";"déchirer";"déchirement";"+";"+";"-"
"27";"4";"déclasser";"déclassement";"+";"+";"-"
"28";"4";"déconfire";"déconfiture";"+";"+";"-"
"29";"13";"dégoûter";"dégoût";"+";"+";"-"
"30";"4";"dégrader";"dégradation";"+";"+";"+"
"31";"4";"délabrer";"délabrement";"+";"-";"+"
"32";"13";"délasser";"délassement";"+";"+";"-"
"33";"4";"délecter";"délectation";"+";"+";"-"
"34";"4";"démoraliser";"démoralisation";"+";"+";"-"
"35";"4";"dépayser";"dépaysement";"+";"+";"-"
"36";"4";"dépiter";"dépit";"+";"+";"-"
"37";"4";"dépraver";"dépravation";"+";"+";"-"
"38";"4";"désappointer";"désappointement";"+";"+";"-"
"39";"4";"désavantager";"désavantage";"+";"+";"-"
"40";"4";"désenchanter";"désenchantement";"+";"+";"-"
"41";"4";"déséquilibrer";"déséquilibre";"+";"+";"+"
"42";"13";"désespérer";"désespoir";"+";"+";"-"
"43";"4";"déshonorer";"déshonneur";"+";"+";"+"
"44";"4";"désillusionner";"désillusion";"+";"+";"-"
"45";"4";"désoler";"désolation";"+";"+";"-"
"46";"4";"dévaloriser";"dévalorisation";"+";"+";"+"
"47";"4";"discipliner";"discipline";"+";"+";"-"
"48";"4";"disgracier";"disgrâce";"+";"+";"-"
"49";"4";"distraire";"distraction";"+";"+";"-"
"50";"13";"divertir";"divertissement";"+";"+";"-"
"51";"4";"ébahir";"ébahissement";"+";"+";"-"
"52";"4";"éblouir";"éblouissement";"+";"+";"-"
"53";"4";"édifier";"édification";"+";"+";"-"
"54";"4";"effarer";"effarement";"+";"+";"-"
"55";"4";"effaroucher";"effarouchement";"+";"+";"-"
"56";"4";"effrayer";"effroi";"+";"+";"-"
"57";"4";"emballer";"emballement";"+";"+";"-"
"58";"13";"embarrasser";"embarras";"+";"+";"-"
"59";"4";"émerveiller";"émerveillement";"+";"+";"-"
"60";"4";"émotionner";"émotion";"+";"+";"-"
"61";"4";"émouvoir";"émotion";"+";"+";"-"
"62";"4";"enchanter";"enchantement";"+";"+";"-"
"63";"4";"encroûter";"encroûtement";"+";"+";"-"
"64";"4";"énerver";"énervement";"+";"+";"-"
"65";"4";"enivrer";"enivrement";"+";"+";"-"
"66";"4";"enliser";"enlisement";"+";"+";"+"
"67";"4";"ennuyer";"ennui";"+";"+";"-"
"68";"4";"ensorceler";"ensorcellement";"+";"+";"-"
"69";"4";"enthousiasmer";"enthousiasme";"+";"+";"-"
"70";"4";"envoûter";"envoûtement";"+";"+";"-"
"71";"4";"épouvanter";"épouvante";"+";"+";"-"
"72";"4";"équilibrer";"équilibre";"+";"+";"+"
"73";"4";"exaspérer";"exaspération";"+";"+";"-"
"74";"4";"exciter";"excitation";"+";"+";"-"
"75";"4";"fasciner";"fascination";"+";"+";"-"
"76";"4";"gêner";"gêne";"+";"+";"-"
"77";"13";"glorifier";"gloire";"+";"+";"+"
"78";"4";"griser";"griserie";"+";"+";"-"
"79";"4";"handicaper";"handicap";"+";"+";"-"
"80";"4";"hanter";"hantise";"+";"+";"-"
"81";"4";"hébéter";"hébétude";"+";"+";"-"
"82";"4";"honorer";"honneur";"+";"+";"-"
