"<ID>";"<ENT>N";"N0 faire le N de N1";"N1 =: Nhum";"N1 =: N-hum"
"1";"admiration";"+";"+";"-"
"2";"affaire";"+";"+";"-"
"3";"allure";"+";"+";"+"
"4";"astuce";"+";"-";"+"
"5";"autorité";"+";"+";"+"
"6";"beauté";"+";"+";"+"
"7";"bonheur";"+";"+";"-"
"8";"caractère";"+";"+";"+"
"9";"charme";"+";"+";"+"
"10";"confusion";"+";"+";"+"
"11";"délices";"+";"-";"+"
"12";"désolation";"+";"-";"+"
"13";"dignité";"+";"+";"+"
"14";"drame";"+";"+";"+"
"15";"enchantement";"+";"-";"+"
"16";"ennui";"+";"-";"+"
"17";"faiblesse";"+";"+";"+"
"18";"force";"+";"+";"+"
"19";"grandeur";"+";"+";"+"
"20";"intérêt";"+";"+";"+"
"21";"inutilité";"+";"+";"+"
"22";"jeu";"+";"+";"-"
"23";"joie";"+";"+";"-"
"24";"laideur";"+";"+";"+"
"25";"malheur";"+";"+";"-"
"26";"mépris";"+";"+";"-"
"27";"misère";"+";"+";"-"
"28";"noblesse";"+";"+";"+"
"29";"personnalité";"+";"+";"-"
"30";"plaisir";"+";"+";"-"
"31";"poids";"+";"+";"+"
"32";"portée";"+";"-";"+"
"33";"salut";"+";"+";"-"
"34";"scandale";"+";"-";"+"
"35";"splendeur";"+";"+";"+"
"36";"succès";"+";"+";"+"
"37";"talent";"+";"+";"-"
"38";"tristesse";"+";"-";"+"
"39";"vitalité";"+";"+";"+"

