"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"1";"+ ";"-";"125";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"2";"+";"-";"250";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"3";"+";"-";"500";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"4";"+";"-";"750";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5";"+";"+";"accordéon";"-";"-";"-";"+";"-";"-";"iste";"-";"-";"+"
"6";"+";"+";"accordéon de concert";"-";"-";"+";"+";"1";"-";"iste";"-";"-";"+"
"7";"+";"+";"accordéon électrique";"-";"-";"+";"+";"1";"-";"iste";"-";"-";"+"
"8";"+";"+";"acousmonium";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"9";"+";"+";"aéroglisseur";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"10";"+";"+";"aérophone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"11";"+";"+";"aérostat";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"12";"+";"+";"aetherophone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"13";"+";"+";"aile volante";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14";"+";"+";"aile-delta";"-";"-";"-";"+";"2";"a";"iste";"-";"-";"-"
"15";"+";"+";"albisophone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"16";"+";"+";"alphon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"17";"+";"+";"alto";"-";"-";"-";"+";"-";"o";"iste";"-";"-";"+"
"18";"+";"+";"alto-basso";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"19";"+";"+";"altobasso";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"20";"+";"+";"ambira";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"21";"+";"+";"anche en ruban";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"22";"+";"+";"anneaux";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23";"+";"+";"arbalète";"-";"-";"-";"+";"-";"e";"rier";"-";"-";"-"
"24";"+";"+";"arc";"-";"-";"-";"+";"-";"-";"her";"-";"-";"-"
"25";"+";"+";"arc à calebasse";"-";"-";"-";"+";"-";"-";"her";"-";"-";"+"
"26";"+";"+";"arc en bouche";"-";"-";"-";"+";"-";"-";"her";"-";"-";"+"
"27";"+";"+";"arc en terre";"-";"-";"-";"+";"-";"-";"her";"-";"-";"+"
"28";"+";"+";"arc musical";"-";"-";"-";"+";"-";"-";"her";"-";"-";"+"
"29";"+";"+";"archiluth";"-";"-";"-";"+";"-";"-";"iste";"-";"-";"+"
"30";"+";"+";"armes d'okinawa";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"31";"+";"+";"arpanette";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"32";"+";"+";"arpeggione";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"33";"+";"+";"automate sonore";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"34";"+";"+";"automobile";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"35";"+";"+";"aviron";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"36";"+";"+";"bag-pipe";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"37";"+";"+";"bagpipe";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"38";"+";"+";"balafon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"39";"+";"+";"balalaïka";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"40";"-";"+";"ballon";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+"
"41";"+";"+";"ballon dirigeable";"-";"+";"+";"+";"2";"-";"niste";"-";"-";"-"
"42";"+";"+";"bandonéon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"43";"+";"+";"banjo";"-";"-";"-";"+";"-";"-";"ïste";"-";"-";"+"
"44";"+";"+";"banjolélé";"-";"-";"-";"+";"-";"lélé";"ïste";"-";"-";"+"
"45";"+";"+";"barque";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"46";"+";"-";"barre fixe";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"47";"-";"+";"barres asymétriques";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"48";"+";"-";"barres parallèles";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"49";"+";"+";"basse";"-";"-";"-";"+";"-";"e";"iste";"-";"+";"+"
"50";"+";"+";"basse à pistons";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"51";"+";"+";"basse de flandre";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"52";"+";"+";"basse de viole";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"53";"+";"+";"basson";"-";"-";"-";"+";"-";"-";"iste";"-";"-";"+"
