"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: un, faire = fabriquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"1";"+";"+";"accro-gymnastique";"-";"-";"+";"-";"+";"2";"ie";"e";"-";"-";"-"
"2";"+";"+";"acrobatie";"-";"-";"-";"-";"+";"-";"ie";"e";"-";"-";"-"
"3";"+";"+";"acrobatie au sol";"-";"-";"-";"+";"+";"1";"ie";"e";"-";"-";"-"
"4";"+";"+";"acrobatie en eaux vives";"-";"-";"-";"-";"+";"1";"ie";"e";"-";"-";"-"
"5";"+";"+";"animation";"-";"-";"-";"-";"+";"1";"ion";"eur";"+";"-";"-";;;;;;;;;;;;;;;
"6";"+";"+";"anneau-tennis";"-";"-";"-";"-";"+";"2";"-";"man";"-";"-";"-"
"7";"+";"+";"anno-tennis";"-";"-";"-";"-";"+";"2";"-";"man";"-";"+";"-"
"8";"+";"-";"arraché";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"9";"+";"+";"baby-foot";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"10";"+";"+";"badminton";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"11";"+";"+";"balle aki";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"12";"+";"-";"bandy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13";"+";"-";"base-ball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"14";"+";"-";"base-ball gallois";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"15";"+";"-";"baseball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"16";"+";"-";"baseball gallois";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"17";"+";"+";"basket";"-";"-";"-";"-";"+";"-";"-";"teur";"-";"+";"-"
"18";"+";"-";"basket professionnel";"-";"-";"-";"+";"+";"1";"-";"teur";"-";"+";"-"
"19";"+";"+";"basket-ball";"-";"-";"-";"-";"+";"1";"-";"teur";"-";"+";"-"
"20";"+";"-";"basket-ball professionnel";"-";"-";"-";"-";"+";"1";"-";"teur";"-";"+";"-"
"21";"+";"-";"basteball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"22";"+";"-";"biathlon";"-";"-";"-";"-";"+";"-";"-";"ien";"-";"-";"-"
"23";"+";"+";"billard";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"24";"+";"+";"billard américain";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"25";"+";"+";"billard anglais";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"26";"+";"+";"billard chinois";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"27";"+";"+";"billard électrique";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"28";"+";"+";"billard français";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"29";"+";"+";"billard hollandais";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"30";"+";"+";"billard japonais";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"31";"+";"+";"billard russe";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"32";"+";"+";"broderie";"-";"-";"-";"-";"+";"-";"-";"eur";"+";"-";"-"
"33";"+";"+";"catch";"-";"-";"-";"-";"+";"-";"-";"eur";"+";"-";"-"
"34";"+";"+";"chasse";"-";"-";"-";"-";"+";"-";"-";"ur";"+";"-";"-"
"35";"+";"+";"comédie";"-";"-";"-";"-";"+";"-";"-";"n";"-";"-";"+"
"36";"+";"+";"concours complet";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"37";"+";"+";"course";"-";"-";"-";"-";"+";"-";"se";"eur";"+";"-";"-"
"38";"+";"+";"course attelée";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"39";"+";"+";"course auto";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"40";"+";"+";"course automobile";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"41";"+";"+";"course à pied";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"42";"+";"+";"course cycliste";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"43";"+";"+";"course d'automobiles";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"44";"+";"+";"course de bicyclettes";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"45";"+";"+";"course de chevaux";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"46";"+";"+";"course de côte";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"47";"+";"+";"course de demi-fond";"-";"-";"-";"-";"+";"1";"se";"eur";"+";"-";"-"
"48";"+";"+";"course de haies";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"49";"+";"+";"course de moto";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"50";"+";"+";"course de plat";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"51";"+";"+";"course de poursuite";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"52";"+";"+";"course de relais";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
