"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>Dnum";"<ENT>N"
"1";"+";"+";"cinq mille";"mètres"
"2";"+";"+";"deux cents";"mètres"
"3";"+";"-";"deux mille";"mètres"
"4";"-";"+";"deux mille cinq cents";"mètres"
"5";"+";"+";"dix mille";"mètres"
"6";"+";"+";"huit cents";"mètres"
"7";"+";"+";"mille";"mètres"
"8";"+";"+";"mille cinq cents";"mètres"
"9";"+";"+";"mille deux cents";"mètres"
"10";"+";"+";"quatre cents";"mètres"
"11";"+";"+";"quatre-vingts";"mètres"
"12";"+";"+";"quinze cents";"mètres"
"13";"+";"+";"soixante";"mètres"
"14";"+";"+";"trois mille";"mètres"
"15";"+";"-";"vingt mille";"mètres"
"16";"+";"+";"cent";"yards"
"17";"+";"+";"cinq cents";"yards"
"18";"+";"+";"quatre cent quarante";"yards"
"19";"+";"+";"soixante";"yards"

