"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>Dnum";"<ENT>N";"<ENT>Nc";"<ENT>Adjc"
"1";"+";"+";"cent";"mètres";"brasse";"-"
"2";"+";"+";"cinquante";"mètres";"brasse";"-"
"3";"+";"+";"deux cents";"mètres";"brasse";"-"
"4";"+";"+";"cent";"mètres";"crawl";"-"
"5";"+";"+";"cinquante";"mètres";"crawl";"-"
"6";"+";"+";"deux cents";"mètres";"crawl";"-"
"7";"-";"+";"huit cents";"mètres";"crawl";"-"
"8";"+";"-";"mille cinq cents";"mètres";"crawl";"-"
"9";"+";"-";"quatre cents";"mètres";"crawl";"-"
"10";"+";"+";"quinze cents";"mètres";"crawl";"-"
"11";"+";"+";"cent";"mètres";"dos";"-"
"12";"+";"+";"cinquante";"mètres";"dos";"-"
"13";"+";"+";"deux cents";"mètres";"dos";"-"
"14";"-";"+";"cent";"mètres";"haie";"-"
"15";"+";"-";"cent dix";"mètres";"haie";"-"
"16";"+";"+";"quatre cents";"mètres";"haie";"-"
"17";"-";"+";"trois cent vingts";"mètres";"haie";"-"
"18";"+";"+";"deux cent cinquante";"mètres";"haie";"-"
"19";"+";"+";"cinquante";"yards";"haie";"-"
"20";"+";"-";"cinquante";"kilomètres";"marche";"-"
"21";"+";"-";"trente";"kilomètres";"marche";"-"
"22";"+";"-";"vingt";"kilomètres";"marche";"-"
"23";"+";"+";"cinq mille";"mètres";"marche";"-"
"24";"-";"+";"deux mille";"mètres";"marche";"-"
"25";"+";"+";"dix mille";"mètres";"marche";"-"
"26";"+";"+";"trois mille";"mètres";"marche";"-"
"27";"+";"+";"cent";"mètres";"libre";"-"
"28";"+";"+";"cinquante";"mètres";"libre";"-"
"29";"+";"+";"deux cents";"mètres";"libre";"-"
"30";"-";"+";"huit cents";"mètres";"libre";"-"
"31";"+";"-";"mille cinq cents";"mètres";"libre";"-"
"32";"+";"-";"quatre cents";"mètres";"libre";"-"
"33";"+";"+";"quinze cents";"mètres";"libre";"-"
"34";"+";"+";"cent";"mètres";"nage";"libre"
"35";"+";"+";"cinquante";"mètres";"nage";"libre"
"36";"+";"+";"deux cents";"mètres";"nage";"libre"
"37";"+";"+";"huit cents";"mètres";"nage";"libre"
"38";"+";"+";"mille cinq cents";"mètres";"nage";"libre"
"39";"+";"+";"quatre cents";"mètres";"nage";"libre"
"40";"+";"+";"quinze cents";"mètres";"nage";"libre"
"41";"+";"+";"cent";"mètres";"papillon";"-"
"42";"+";"+";"cinquante";"mètres";"papillon";"-"
"43";"+";"+";"deux cents";"mètres";"papillon";"-"
"44";"+";"-";"deux mille";"mètres";"steeple";"-"
"45";"+";"-";"mille cinq cents";"mètres";"steeple";"-"
"46";"+";"-";"quinze cents";"mètres";"steeple";"-"
"47";"+";"+";"trois mille";"mètres";"steeple";"- "
"";;;;;;
