"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: Poss0";"Det =: un-Modif, faire = pratiquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"1";"+";"+";"acoustique";"-";"-";"+";"-";"-";"+";"-";"que";"cien";"-";"-";"-"
"2";"+";"+";"aérobic";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"3";"+";"+";"aéromodélisme";"-";"-";"+";"-";"-";"+";"-";"me";"te";"-";"-";"-"
"4";"+";"+";"aéronautique";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5";"+";"+";"aérostation";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"6";"+";"+";"aïki-budo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"7";"+";"+";"aïki-do";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"8";"+";"+";"aïki-jitsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"9";"+";"+";"aïkibudo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"10";"+";"+";"aïkido";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"11";"+";"+";"aïkido yoshinkan";"-";"-";"+";"-";"+";"+";"1";"-";"ka";"-";"-";"-"
"12";"+";"+";"alchimie";"-";"-";"+";"-";"-";"+";"-";"e";"ste";"-";"-";"-"
"13";"+";"+";"algèbre";"-";"-";"+";"-";"-";"+";"-";"e";"iste";"-";"-";"-"
"14";"+";"+";"allemand";"-";"-";"+";"-";"-";"+";"-";"-";"germaniste";"-";"-";"-"
"15";"+";"+";"alpinisme";"-";"-";"+";"-";"-";"+";"-";"me";"te";"-";"-";"-"
"16";"+";"+";"anglais";"-";"-";"+";"-";"-";"+";"-";"ais";"iciste";"-";"-";"-"
"17";"+";"+";"aquaplane";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"18";"+";"+";"architecture";"-";"-";"+";"-";"-";"+";"-";"ure";"e";"-";"-";"-"
"19";"+";"+";"arts appliqués";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20";"+";"+";"arts martiaux";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21";"+";"+";"astrologie";"-";"-";"+";"-";"-";"+";"-";"ie";"ue";"-";"-";"-"
"22";"+";"+";"astronomie";"-";"-";"+";"-";"-";"+";"-";"ie";"e";"-";"-";"-"
"23";"+";"+";"athlétisme";"-";"-";"+";"-";"-";"+";"-";"étisme";"ète";"-";"-";"-"
"24";"+";"+";"athlétisme en salle";"-";"-";"+";"-";"+";"+";"1";"étisme";"ète";"-";"-";"-"
"25";"+";"+";"auto-cross";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26";"+";"+";"bhakti-yoga";"-";"-";"+";"-";"-";"+";"2";"a";"i";"-";"-";"-"
"27";"+";"+";"bhaktiyoga";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-"
"28";"+";"-";"balai-ballon sur glace";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
