"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"<ENT>N";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"de Nhum = à Nhum";"Exemple Base1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"+";"-";"-";"à la manière de";"-";"+";"+";"-";"+";"-";"-";"~"
"2";"+";"-";"-";"abdominaux";"-";"-";"-";"-";"+";"-";"-";"Max fait des abdominaux"
"3";"+";"-";"-";"ablutions";"Poss0";"-";"-";"-";"+";"-";"-";"~"
"4";"+";"-";"-";"abréviation";"-";"+";"+";"-";"+";"-";"-";"~"
"5";"+";"-";"-";"abstraction";"-";"-";"+";"+";"-";"-";"-";"~"
"6";"+";"-";"-";"abstrait";"-";"-";"+";"+";"-";"-";"-";"~"
"7";"+";"-";"-";"académie";"-";"+";"+";"+";"+";"-";"-";"~"
"8";"+";"-";"-";"acrobatie";"-";"+";"+";"+";"+";"+";"-";"~"
"9";"+";"-";"-";"acte";"-";"-";"+";"-";"-";"+";"-";"~"
"10";"+";"-";"-";"acting out";"-";"+";"+";"+";"+";"-";"-";"~"
"11";"+";"-";"-";"affabulation";"-";"-";"+";"+";"-";"-";"-";"~"
"12";"+";"-";"-";"agapes";"-";"-";"-";"-";"+";"-";"-";"~"
"13";"+";"-";"-";"agitation";"-";"-";"+";"+";"-";"-";"-";"Max fait de l'agitation"
"14";"+";"-";"-";"anémie";"-";"-";"+";"+";"-";"-";"-";"~"
"15";"-";"+";"-";"angles";"-";"-";"-";"-";"+";"-";"-";"Les traits de son visage font des angles"
"16";"+";"-";"-";"antijeu";"-";"-";"+";"+";"-";"-";"-";"~"
"17";"+";"-";"-";"aparté";"-";"+";"+";"-";"+";"-";"-";"~"
"18";"+";"-";"-";"à-peu-près";"-";"-";"+";"+";"-";"-";"-";"~"
"19";"+";"-";"-";"aquarelle";"-";"+";"+";"+";"+";"-";"-";"~"
"20";"+";"+";"-";"argent";"-";"-";"+";"+";"-";"-";"-";"~"
"21";"+";"-";"-";"arlequinades";"-";"-";"-";"-";"+";"-";"-";"~"
