"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"<ENT>N";"<ENT>Adj";"autre Det";"Adj permut obl";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"de Nhum = à Nhum"
"1";"+";"-";"-";"acte";"gratuit";"-";"-";"+";"+";"-";"+";"+";"-"
"2";"+";"-";"-";"acte";"manqué";"-";"-";"+";"+";"-";"+";"-";"-"
"3";"+";"-";"-";"action";"politique";"-";"-";"-";"+";"+";"-";"-";"-"
"4";"+";"-";"-";"affaire";"bonne";"la";"+";"+";"+";"-";"+";"+";"-"
"5";"+";"-";"-";"affaire";"mauvaise";"-";"+";"+";"+";"-";"+";"+";"-"
"6";"+";"-";"-";"bavure";"policière";"-";"-";"+";"+";"-";"+";"+";"-"
"7";"+";"-";"-";"besogne";"belle";"-";"+";"+";"+";"+";"-";"-";"-"
"8";"+";"-";"-";"besogne";"grosse";"la";"+";"+";"+";"-";"+";"-";"-"
"9";"+";"-";"-";"besogne";"lourde";"-";"+";"+";"+";"-";"+";"+";"-"
"10";"+";"-";"-";"besogne";"rude";"-";"+";"+";"+";"+";"-";"-";"-"
"11";"+";"-";"-";"besogne";"sale";"la";"+";"+";"+";"-";"-";"+";"+"
"12";"+";"-";"-";"besognes";"basses";"les";"+";"+";"+";"+";"-";"+";"-"
"13";"+";"-";"-";"bille";"drôle de";"-";"+";"+";"+";"-";"-";"-";"-"
"14";"+";"-";"-";"binette";"drôle de";"-";"+";"+";"+";"-";"-";"-";"-"
"15";"+";"-";"-";"bobine";"drôle de";"-";"+";"+";"+";"-";"-";"-";"-"
"16";"+";"-";"-";"bouille";"drôle de";"-";"+";"+";"+";"-";"-";"-";"-"
"17";"+";"-";"-";"buffet";"dînatoire";"-";"-";"+";"+";"-";"+";"-";"-"
"18";"+";"-";"-";"calcul";"faux";"-";"+";"+";"+";"-";"-";"-";"-"
"19";"+";"-";"-";"calcul";"mauvais";"le";"+";"+";"+";"-";"-";"-";"-"
"20";"+";"-";"-";"camping";"sauvage";"-";"-";"-";"+";"+";"-";"-";"-"
"21";"+";"-";"-";"capitalisme";"sauvage";"-";"-";"-";"+";"+";"-";"-";"-"
"22";"+";"-";"-";"carnet";"rose";"le";"-";"-";"+";"-";"+";"-";"+"
"23";"+";"-";"-";"choix";"bon";"le";"+";"+";"+";"-";"-";"-";"-"
"24";"+";"-";"-";"conduite";"automobile";"-";"-";"-";"+";"+";"-";"-";"-"
"25";"+";"-";"-";"confusion";"mentale";"-";"-";"-";"+";"+";"-";"-";"-"
"26";"+";"-";"-";"connaissance";"nouvelle";"-";"+";"+";"+";"-";"+";"-";"-"
"27";"+";"-";"-";"couche";"fausse";"-";"+";"+";"+";"-";"+";"-";"-"
"28";"+";"-";"-";"coup";"droit";"-";"-";"+";"+";"-";"+";"-";"-"
"29";"+";"-";"-";"coup";"franc";"-";"-";"+";"+";"-";"+";"-";"-"
"30";"+";"-";"-";"coup";"fumant";"-";"-";"+";"+";"-";"+";"+";"-"
"31";"+";"-";"-";"coup";"mauvais";"-";"+";"+";"+";"-";"+";"+";"-"
"32";"+";"-";"-";"coup";"sale";"-";"+";"+";"+";"-";"+";"+";"-"
"33";"+";"-";"-";"cours";"magistral";"-";"-";"+";"+";"-";"+";"-";"-"
"34";"+";"-";"-";"cuisine";"drôle de";"-";"+";"+";"+";"+";"-";"-";"-"
"35";"+";"-";"-";"cuisine";"électorale";"-";"-";"-";"+";"+";"-";"-";"-"
"36";"+";"-";"-";"cuisine";"parlementaire";"-";"-";"-";"+";"+";"-";"-";"-"
"37";"+";"-";"-";"cure";"marine";"-";"-";"+";"+";"-";"+";"-";"-"
"38";"+";"-";"-";"cure";"thermale";"-";"-";"+";"+";"-";"+";"-";"-"
"39";"+";"-";"-";"danse";"macabre";"-";"-";"+";"+";"-";"+";"-";"-"
"40";"+";"-";"-";"déjeuner";"petit";"-";"+";"+";"+";"-";"+";"-";"-"
"41";"+";"-";"-";"départ";"faux";"-";"+";"+";"+";"-";"+";"-";"-"
"42";"+";"-";"-";"dépense";"folle";"-";"+";"+";"+";"-";"+";"+";"-"
"43";"+";"-";"-";"dépense";"menue";"-";"+";"+";"+";"-";"+";"+";"-"
"44";"+";"-";"-";"dépense";"nerveuse";"-";"-";"-";"+";"+";"-";"-";"-"
"45";"+";"-";"-";"dépense";"somptuaire";"-";"-";"+";"+";"-";"+";"-";"-"
"46";"+";"-";"-";"dérapage";"contrôlé";"-";"-";"+";"+";"+";"+";"-";"-"
"47";"+";"-";"-";"dictée";"musicale";"-";"-";"+";"+";"+";"+";"-";"-"
"48";"+";"-";"-";"diner";"fin";"-";"-";"+";"+";"-";"+";"-";"-"
"49";"+";"-";"-";"écart";"grand";"le";"+";"+";"+";"-";"+";"-";"-"
"50";"+";"-";"-";"école";"buissonnière";"la";"-";"-";"+";"-";"-";"-";"-"
"51";"+";"-";"-";"erreur";"judiciaire";"-";"-";"+";"+";"-";"+";"-";"-"
"52";"+";"-";"-";"escroquerie";"intellectuelle";"-";"-";"+";"+";"+";"+";"+";"-"
"53";"+";"-";"-";"exécution";"capitale";"-";"-";"+";"+";"-";"+";"-";"-"
"54";"+";"-";"-";"exercices";"spirituels";"-";"-";"-";"-";"-";"+";"-";"-"
"55";"+";"-";"-";"explication";"littéraire";"-";"-";"+";"+";"+";"+";"-";"-"
"56";"+";"-";"-";"fait";"haut";"-";"+";"+";"+";"-";"+";"+";"-"
"57";"+";"-";"-";"faute";"professionnelle";"-";"-";"+";"+";"-";"+";"+";"-"
"58";"+";"-";"-";"feu";"roulant";"-";"-";"+";"+";"-";"+";"-";"-"
"59";"+";"-";"-";"feux";"croisés";"-";"-";"-";"-";"-";"+";"-";"-"
"60";"+";"-";"-";"figure";"drôle de";"-";"+";"+";"+";"-";"-";"-";"-"
"61";"+";"-";"-";"film";"muet";"-";"-";"+";"+";"+";"+";"-";"-"
"62";"+";"-";"-";"film";"noir";"-";"-";"+";"+";"+";"+";"-";"-"
"63";"+";"-";"-";"fin";"belle";"-";"+";"+";"+";"-";"-";"-";"-"
"64";"+";"-";"-";"fondu";"enchainé";"-";"-";"+";"+";"+";"+";"-";"-"
"65";"-";"-";"+";"fraude";"électorale";"-";"+";"+";"+";"+";"-";"-";"-"
"66";"+";"-";"-";"fraude";"fiscale";"-";"-";"+";"+";"+";"-";"-";"-"
"67";"+";"-";"-";"garde";"judiciaire";"-";"-";"-";"-";"+";"-";"-";"-"
"68";"+";"-";"-";"geste";"beau";"-";"+";"+";"+";"-";"+";"-";"-"
"69";"+";"-";"-";"geste";"oratoire";"-";"-";"+";"+";"-";"+";"-";"-"
"70";"+";"-";"-";"grève";"perlée";"la";"-";"+";"+";"-";"+";"-";"-"
"71";"+";"-";"-";"grève";"tournante";"la";"-";"+";"+";"-";"+";"-";"-"
"72";"+";"-";"-";"gueule";"drôle de";"-";"+";"+";"+";"-";"-";"-";"-"
"73";"+";"-";"-";"heure";"supplémentaire";"-";"-";"+";"+";"-";"+";"-";"+"
"74";"+";"-";"-";"jeu";"ouvert";"-";"-";"+";"+";"-";"-";"-";"-"
"75";"+";"-";"-";"jeux";"gymniques";"-";"-";"-";"-";"-";"+";"-";"-"
"76";"+";"-";"-";"journal";"intime";"-";"-";"+";"+";"-";"+";"-";"-"
"77";"+";"-";"-";"liquidation";"judiciaire";"-";"-";"+";"+";"-";"-";"-";"-"
"78";"+";"-";"-";"maçonnerie";"grosse";"la";"+";"+";"+";"+";"-";"-";"-"
"79";"+";"-";"-";"maçonnerie";"petite";"la";"+";"+";"+";"+";"-";"-";"-"
"80";"+";"-";"-";"magie";"blanche";"-";"-";"-";"+";"+";"-";"-";"-"
"81";"+";"-";"-";"manipulation";"électorale";"-";"-";"+";"+";"-";"+";"-";"-"
"82";"+";"-";"-";"manoeuvre";"fausse";"-";"+";"+";"+";"-";"+";"-";"-"
"83";"+";"-";"-";"manoeuvres";"dilatoires";"-";"-";"-";"-";"-";"+";"-";"-"
"84";"+";"-";"-";"manoeuvres";"électorales";"-";"-";"+";"+";"-";"+";"-";"-"
"85";"+";"-";"-";"manoeuvres";"grandes";"les";"+";"-";"-";"-";"+";"-";"-"
"86";"+";"-";"-";"manoeuvres";"militaires";"-";"-";"-";"-";"-";"+";"-";"-"
"87";"+";"-";"-";"mariage";"beau";"-";"+";"+";"+";"-";"+";"-";"-"
"88";"+";"-";"-";"mariage";"riche";"-";"+";"+";"+";"-";"+";"-";"-"
"89";"+";"-";"-";"matinée";"grasse";"la";"+";"+";"+";"-";"+";"-";"-"
"90";"+";"-";"-";"métier";"manuel";"-";"-";"+";"+";"-";"-";"-";"-"
"91";"+";"-";"-";"monnaie";"fausse";"-";"+";"-";"+";"+";"-";"-";"-"
"92";"+";"-";"-";"mot";"bon";"-";"+";"+";"+";"-";"+";"-";"-"
"93";"+";"-";"-";"mots";"croisés";"-";"-";"-";"-";"-";"+";"-";"-"
"94";"+";"-";"-";"mouvement";"faux";"-";"+";"+";"+";"-";"+";"-";"-"
"95";"+";"-";"-";"mouvements";"respiratoires";"-";"-";"-";"-";"-";"+";"-";"-"
"96";"+";"-";"-";"nature";"morte";"-";"-";"+";"+";"+";"+";"-";"-"
"97";"+";"-";"-";"nez";"drôle de";"-";"+";"+";"+";"-";"-";"-";"-"
"98";"+";"-";"-";"nez";"long";"-";"+";"+";"+";"-";"-";"-";"-"
"99";"+";"-";"-";"nez";"long d'une aune";"-";"-";"+";"+";"-";"-";"-";"-"
"100";"+";"-";"-";"nez";"sale";"-";"+";"+";"+";"-";"-";"-";"-"
"101";"+";"-";"-";"nez";"triste";"-";"+";"+";"+";"-";"-";"-";"-"
"102";"+";"-";"-";"noeud";"simple";"-";"-";"+";"+";"-";"+";"-";"-"
"103";"+";"-";"-";"note";"fausse";"-";"+";"+";"+";"-";"+";"-";"-"
"104";"+";"-";"-";"note";"piquée";"-";"-";"+";"+";"-";"+";"-";"-"
"105";"+";"-";"-";"note";"tenue";"-";"-";"+";"+";"-";"+";"-";"-"
"106";"+";"-";"-";"numération";"sanguine";"-";"-";"+";"+";"-";"+";"-";"+"
"107";"+";"-";"-";"oeuvre";"bonne";"-";"+";"+";"+";"-";"-";"+";"-"
"108";"+";"-";"-";"oeuvres";"bonnes";"-";"+";"-";"-";"-";"+";"-";"+"
"109";"+";"-";"-";"opération";"bonne";"-";"+";"+";"+";"-";"+";"-";"-"
"110";"+";"-";"-";"opération";"commerciale";"-";"-";"+";"+";"-";"+";"+";"-"
"111";"+";"-";"-";"opération";"financière";"-";"-";"+";"+";"-";"+";"-";"+"
"112";"+";"-";"-";"opération";"mauvaise";"-";"+";"+";"+";"-";"+";"+";"-"
"113";"+";"-";"-";"opération";"publicitaire";"-";"-";"+";"+";"-";"+";"+";"-"
"114";"+";"-";"-";"pari";"simple";"-";"-";"+";"+";"-";"+";"-";"-"
"115";"+";"-";"-";"pas";"faux";"-";"+";"+";"+";"-";"+";"+";"-"
"116";"+";"-";"-";"pas";"glissé";"-";"-";"+";"+";"-";"+";"-";"-"
"117";"+";"-";"-";"pas";"mauvais";"-";"+";"+";"+";"-";"+";"-";"-"
"118";"+";"-";"-";"pas";"premier";"le";"+";"+";"+";"-";"-";"-";"-"
"119";"+";"-";"-";"péché";"mortel";"-";"-";"+";"+";"-";"+";"+";"-"
"120";"+";"-";"-";"péché";"véniel";"-";"-";"+";"+";"-";"+";"+";"-"
"121";"+";"-";"-";"peinture";"murale";"-";"-";"+";"+";"+";"+";"-";"-"
"122";"+";"-";"-";"perte";"sèche";"-";"-";"+";"+";"-";"+";"-";"-"
"123";"+";"-";"-";"phrase";"interrogative";"-";"-";"+";"+";"-";"+";"-";"-"
"124";"+";"-";"-";"phrase";"négative";"-";"-";"+";"+";"-";"+";"-";"-"
"125";"+";"-";"-";"phrase";"nominale";"-";"-";"+";"+";"-";"+";"-";"-"
"126";"+";"-";"-";"phrases";"belles";"-";"+";"-";"-";"-";"+";"-";"-"
"127";"+";"-";"-";"phrases";"toutes faites";"-";"-";"+";"+";"-";"+";"-";"-"
"128";"+";"-";"-";"plan";"comptable";"-";"-";"+";"+";"-";"+";"-";"-"
"129";"+";"-";"-";"politique";"nationale";"-";"-";"+";"+";"-";"-";"-";"-"
"130";"+";"-";"-";"préparation";"militaire";"Poss0";"-";"+";"+";"-";"-";"-";"-"
"131";"+";"-";"-";"prise";"bonne";"-";"+";"+";"+";"-";"+";"-";"-"
"132";"+";"-";"-";"promenade";"botanique";"-";"-";"+";"+";"-";"+";"-";"-"
"133";"+";"-";"-";"promenade";"digestive";"-";"-";"+";"+";"-";"+";"-";"-"
"134";"+";"-";"-";"ramassage";"scolaire";"le";"-";"-";"+";"+";"-";"-";"-"
