"<ID>";"<ENT>N";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"N0hum faire Det N à N1hum sur ce point";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"adieu";"Poss0";"-";"+";"-";"-";"-";"-";"~"
"2";"affront";"<E>";"+";"+";"-";"+";"+";"-";"~"
"3";"algarade";"-";"+";"+";"-";"+";"-";"+";"~"
"4";"allégeance";"<E>";"-";"+";"-";"-";"-";"-";"~"
"5";"allocution";"-";"+";"+";"-";"+";"-";"+";"~"
"6";"amabilité";"-";"+";"+";"-";"+";"+";"-";"Max (fait+dit) des amabilités à Léa"
"7";"amitié";"-";"+";"+";"-";"-";"+";"-";"~"
"8";"astuce";"-";"+";"+";"-";"+";"-";"+";"~"
"9";"aubade";"-";"+";"+";"-";"+";"-";"-";"Max a donné une aubade à Marie"
"10";"aumône";"la";"+";"+";"-";"+";"+";"-";"~"
"11";"avances";"-";"-";"-";"-";"+";"-";"-";"~"
"12";"avanies";"-";"-";"-";"-";"+";"-";"-";"~"
"13";"bail";"-";"+";"+";"-";"-";"-";"-";"~"
"14";"baisemain";"le";"+";"+";"-";"+";"-";"-";"Luc fait le baisemain à Marie"
"15";"baiser";"-";"+";"+";"-";"+";"-";"-";"Ève a (fait+donné) un baiser à Luc"
"16";"ban";"-";"+";"+";"-";"-";"-";"-";"On a fait un ban au vainqueur"
"17";"bis";"-";"+";"+";"-";"+";"-";"-";"~"
"18";"bise";"la";"+";"+";"-";"-";"-";"-";"~"
"19";"blablabla";"-";"+";"+";"+";"+";"-";"+";"~"
"20";"blague";"-";"+";"+";"-";"+";"+";"-";"Max fait la blague à Luc"
"21";"boutade";"-";"+";"+";"-";"+";"-";"+";"~"
"22";"bravade";"-";"+";"+";"-";"+";"+";"-";"~"
