"<ID>";"<ENT>N";"<ENT>Adj";"autre Det";"Adj permut obl";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"N0 faire Det N à N1hum sur ce point"
"1";"accueil";"bon";"<E>";"+";"+";"+";"-";"-";"-";"-"
"2";"accueil";"frais";"-";"-";"+";"+";"-";"-";"-";"-"
"3";"accueil";"mauvais";"<E>";"+";"+";"+";"-";"-";"-";"-"
"4";"accueil";"réservé";"-";"-";"+";"+";"-";"-";"-";"+"
"5";"certificat";"médical";"-";"-";"+";"+";"-";"+";"-";"-"
"6";"coup";"bas";"-";"-";"+";"+";"-";"+";"+";"-"
"7";"coup";"fourré";"-";"-";"+";"+";"-";"+";"+";"-"
"8";"coup";"sale";"-";"+";"+";"+";"-";"+";"+";"-"
"9";"déclaration";"fausse";"-";"+";"+";"+";"-";"+";"-";"+"
"10";"discours";"beaux";"-";"+";"-";"-";"-";"+";"-";"-"
"11";"discours";"électoral";"-";"-";"+";"+";"-";"+";"-";"+"
"12";"excuses";"plates";"-";"+";"-";"-";"-";"+";"-";"+"
"13";"funérailles";"nationales";"-";"-";"-";"-";"-";"+";"-";"-"
"14";"guerre";"froide";"la";"-";"+";"+";"-";"-";"-";"+"
"15";"guerre";"ouverte";"-";"-";"+";"+";"-";"-";"-";"-"
"16";"guerre";"petite";"la";"+";"+";"-";"-";"-";"-";"-"
"17";"guerre";"psychologique";"la";"-";"+";"+";"-";"-";"-";"-"
"18";"guerre";"sainte";"la";"-";"+";"-";"-";"-";"-";"-"
"19";"joie";"fausse";"-";"+";"+";"+";"-";"+";"+";"-"
"20";"legs";"universel";"-";"-";"+";"+";"-";"+";"-";"-"
"21";"lettre";"ouverte";"-";"-";"+";"+";"-";"+";"-";"-"
"22";"mensonge";"pieux";"-";"+";"+";"+";"-";"+";"-";"-"
"23";"obsèques";"nationales";"-";"-";"-";"-";"-";"+";"-";"-"
"24";"plaisanterie";"leste";"-";"-";"+";"+";"-";"+";"-";"-"
"25";"plaisanterie";"mauvaise";"-";"+";"+";"+";"-";"+";"+";"-"
"26";"procès";"mauvais";"-";"+";"+";"+";"-";"-";"-";"-"
"27";"promesse";"fausse";"-";"+";"+";"+";"-";"+";"-";"-"
"28";"propositions";"malhonnêtes";"-";"-";"+";"+";"-";"+";"-";"-"
"29";"querelle";"mauvaise";"-";"+";"+";"+";"-";"+";"+";"+"
"30";"réception";"bonne";"-";"+";"+";"+";"-";"-";"-";"-"
"31";"réception";"mauvaise";"-";"+";"+";"+";"-";"-";"-";"-"
"32";"réponse";"négative";"-";"-";"+";"+";"-";"+";"-";"-"
"33";"salut";"militaire";"le";"-";"+";"+";"-";"-";"-";"-"
"34";"serment";"faux";"-";"+";"+";"+";"-";"-";"-";"-"
"35";"supplice";"chinois";"-";"-";"+";"+";"-";"+";"+";"-"
"36";"tour";"mauvais";"-";"+";"+";"+";"-";"+";"+";"-"
"37";"tour";"méchant";"-";"+";"+";"+";"-";"+";"+";"-"
"38";"tour";"pendable";"-";"-";"+";"+";"-";"+";"+";"-"
"39";"tour";"sale";"-";"+";"+";"+";"-";"+";"+";"-"
"40";"transplantation";"cardiaque";"-";"-";"+";"+";"-";"+";"-";"-"
"41";"violence";"douce";"-";"+";"+";"+";"-";"+";"-";"-"
"42";"voeux";"bons";"Poss0";"+";"-";"-";"-";"+";"-";"-"
"43";"yeux";"doux";"les";"-";"-";"-";"-";"+";"-";"-"
"44";"yeux";"gros";"les";"+";"-";"-";"-";"+";"-";"-"
"45";"yeux";"tendres";"-";"-";"-";"-";"-";"+";"-";"-"

