"<ID>";"<ENT>N";"<ENT>Prép";"<ENT>Detc";"<ENT>Nc";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"N0hum faire Det N à N1hum sur ce point"
"1";"actions";"de";"<E>";"grâces";"-";"-";"-";"-";"+";"-";"-"
"2";"appel";"de";"<E>";"fonds";"-";"+";"+";"-";"+";"-";"-"
"3";"appel";"de";"<E>";"offre";"-";"+";"+";"-";"+";"+";"-"
"4";"appel";"de";"<E>";"phares";"-";"+";"+";"-";"+";"-";"-"
"5";"appel";"de";"le";"pied";"-";"+";"+";"-";"+";"-";"-"
"6";"avance";"sur";"<E>";"titres";"-";"+";"+";"-";"+";"-";"-"
"7";"baroud";"de";"<E>";"honneur";"-";"+";"+";"-";"+";"-";"-"
"8";"bouche";"à";"<E>";"bouche";"-";"+";"+";"+";"-";"-";"-"
"9";"bourrage";"de";"<E>";"crâne";"-";"-";"+";"+";"-";"-";"-"
"10";"bout";"de";"<E>";"conduite";"-";"+";"+";"-";"-";"-";"-"
"11";"bras";"de";"<E>";"honneur";"-";"+";"+";"-";"+";"-";"-"
"12";"certificat";"de";"<E>";"moralité";"-";"+";"+";"-";"+";"-";"-"
"13";"clin";"de";"<E>";"oeil";"-";"+";"+";"-";"+";"-";"+"
"14";"conférence";"de";"<E>";"presse";"-";"+";"+";"-";"+";"-";"-"
"15";"coup";"de";"<E>";"bluff";"-";"+";"+";"-";"+";"+";"-"
"16";"coup";"en";"<E>";"douce";"-";"+";"+";"-";"-";"-";"-"
"17";"coup";"de";"le";"lapin";"le";"-";"+";"-";"-";"-";"-"
"18";"coup";"de";"la";"panne";"le";"-";"+";"-";"-";"-";"-"
"19";"coup";"de";"le";"Père François";"le";"-";"+";"-";"-";"-";"-"
"20";"coup";"de";"le";"presse-citron";"le";"-";"+";"-";"-";"-";"-"
"21";"coup";"en";"<E>";"vache";"-";"+";"+";"-";"+";"+";"-"
"22";"cours";"de";"<E>";"rattrapage";"-";"+";"+";"-";"+";"-";"-"
"23";"croc";"en";"<E>";"jambes";"-";"+";"+";"-";"+";"-";"-"
"24";"déclaration";"de";"<E>";"amour";"-";"+";"+";"-";"+";"-";"-"
"25";"déclaration";"de";"<E>";"guerre";"-";"+";"+";"-";"+";"-";"-"
