"<ID>";"Det =: le";"N0 faire un N";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: un";"<ENT>N";"N1 =: Nhum";"N1 =: N-hum";"N1 avoir un N";"N0 faire un N à N1";"Exemple Autre1"
"1";"+";"+";"+";"-";"+";"+";"abrégé";"-";"+";"-";"+";"~"
"2";"+";"+";"+";"+";"+";"+";"agrandissement";"+";"+";"-";"+";"~"
"3";"+";"+";"+";"-";"+";"+";"anagramme";"-";"+";"+";"+";"~"
"4";"+";"-";"+";"-";"-";"-";"anatomie";"+";"-";"-";"-";"Max fait l'anatomie de ce discours"
"5";"-";"-";"-";"-";"+";"-";"annales";"-";"+";"-";"-";"~"
"6";"-";"+";"+";"-";"+";"+";"anthologie";"-";"+";"-";"-";"~"
"7";"+";"+";"+";"-";"+";"+";"apologie";"+";"+";"-";"+";"~"
"8";"+";"+";"+";"-";"+";"+";"approximation";"-";"+";"-";"+";"~"
"9";"+";"+";"+";"-";"+";"+";"arbre généalogique";"+";"-";"+";"+";"~"
"10";"+";"+";"+";"+";"-";"-";"archéologie";"-";"+";"+";"+";"Max fait une archéologie des constructions industrielles"
"11";"+";"-";"+";"-";"-";"+";"assaut";"-";"+";"-";"-";"~"
"12";"+";"+";"+";"-";"+";"+";"atlas";"-";"+";"-";"+";"~"
"13";"+";"+";"+";"-";"+";"+";"avant-projet";"-";"+";"-";"+";"~"
"14";"+";"+";"+";"-";"+";"+";"banc d'essai";"+";"+";"-";"-";"~"
"15";"+";"+";"+";"-";"+";"+";"barème";"-";"+";"+";"+";"~"
"16";"+";"+";"+";"+";"+";"+";"bibliographie";"-";"+";"+";"+";"Max fait la bibliographie de ce sujet"
"17";"+";"+";"+";"-";"+";"+";"bilan";"-";"+";"+";"-";"~"
"18";"+";"+";"+";"-";"+";"+";"bilan de santé";"+";"-";"+";"+";"~"
"19";"+";"+";"+";"+";"+";"+";"biographie";"+";"-";"+";"+";"Max a (fait+écrit) la biographie de Luc"
"20";"+";"+";"+";"-";"+";"+";"biopsie";"-";"+";"-";"+";"~"
"21";"+";"-";"+";"-";"-";"+";"blason";"+";"-";"+";"+";"~"
"22";"+";"-";"+";"-";"-";"+";"blocus";"-";"+";"-";"-";"~"
"23";"+";"+";"+";"-";"+";"+";"brouillon";"-";"+";"-";"+";"~"
"24";"+";"+";"+";"+";"+";"+";"budget";"-";"+";"+";"+";"Le gouvernement a (fait+donné) le budget de l'Etat"
"25";"+";"+";"+";"-";"+";"+";"bulletin";"-";"+";"-";"+";"~"
"26";"+";"+";"+";"-";"-";"+";"cadastre";"-";"+";"+";"+";"Max fait le cadastre de la commune"
"27";"+";"+";"+";"-";"+";"+";"calendrier";"-";"+";"+";"+";"Max fait le calendrier des opérations"
"28";"+";"-";"-";"-";"-";"+";"canevas";"-";"+";"-";"+";"Max a fait le canevas de son roman"
"29";"+";"+";"+";"-";"+";"+";"carte";"-";"+";"-";"+";"~"
"30";"+";"+";"+";"+";"-";"-";"cartographie";"-";"+";"-";"-";"~"
"31";"+";"+";"+";"-";"+";"+";"catalogue";"+";"+";"-";"+";"~"
"32";"+";"+";"+";"-";"+";"+";"chronique";"-";"+";"-";"+";"Le journaliste a fait une chronique des événements"
"33";"+";"+";"+";"+";"+";"+";"chronologie";"-";"+";"+";"+";"Luc a fait une chronologie de la révolution"
"34";"+";"-";"+";"-";"-";"+";"circuit";"-";"+";"-";"-";"Max a fait le circuit des châteaux"
"35";"+";"+";"+";"-";"+";"+";"cliché";"+";"+";"-";"+";"~"
"36";"+";"+";"+";"+";"+";"+";"combinatoire";"-";"+";"+";"-";"~"
"37";"+";"-";"-";"+";"-";"-";"commerce";"-";"+";"-";"-";"Max fait (le commerce de la soie+du commerce) avec (l'Orient+Luc)"
"38";"+";"+";"+";"+";"+";"+";"compte-rendu";"-";"+";"-";"-";"~"
"39";"-";"+";"+";"+";"+";"-";"condensé";"-";"+";"-";"-";"~"
"40";"+";"+";"+";"-";"+";"+";"constat";"-";"+";"-";"-";"~"
"41";"+";"-";"+";"+";"-";"-";"contrebande";"-";"+";"-";"-";"~"
"42";"+";"+";"+";"-";"+";"+";"contre-épreuve";"-";"+";"-";"-";"~"
"43";"+";"+";"+";"+";"+";"+";"copie";"-";"+";"-";"+";"~"
"44";"+";"+";"+";"-";"+";"+";"copie conforme";"-";"+";"-";"+";"~"
"45";"+";"+";"+";"-";"+";"+";"coupe";"-";"+";"-";"+";"Luc a fait une coupe de ce bateau"
"46";"+";"+";"+";"-";"+";"+";"courbe";"-";"+";"+";"+";"L'élève a (fait+établi) la courbe des naissances"
"47";"+";"+";"+";"+";"+";"+";"critique";"+";"+";"-";"+";"~"
"48";"-";"+";"+";"-";"+";"+";"décoction";"-";"+";"-";"-";"~"
"49";"+";"-";"-";"+";"-";"+";"décor";"-";"+";"-";"+";"~"
"50";"+";"-";"+";"-";"-";"-";"détail";"-";"+";"-";"-";"Luc fait le détail de son plan à Marie"
"51";"+";"+";"+";"-";"+";"+";"devis";"-";"+";"-";"-";"Max fait le devis des travaux"
"52";"+";"+";"+";"-";"+";"+";"diagramme";"-";"+";"-";"-";"Max a fait le diagramme des importations"
"53";"+";"+";"+";"+";"+";"+";"dictionnaire";"-";"+";"-";"-";"Guy fait un dictionnaire de français"
"54";"+";"+";"+";"+";"+";"+";"digest";"-";"+";"-";"-";"Max a fait un digest de ce livre"
"55";"+";"+";"+";"+";"+";"+";"discographie";"+";"+";"+";"+";"Le radiologue fait la discographie du patient"
"56";"+";"+";"+";"-";"+";"+";"double";"-";"+";"-";"-";"Max fait un double de ce document"
"57";"+";"+";"+";"-";"+";"+";"duplicata";"-";"+";"-";"-";"Max fait un duplicata de ce document"
"58";"+";"+";"+";"-";"+";"+";"échelle";"-";"+";"+";"-";"Max (fait+établit) l'échelle des couleurs"
"59";"-";"+";"+";"-";"+";"+";"éclaté";"-";"+";"-";"-";"~"
"60";"+";"+";"+";"-";"+";"+";"effigie";"+";"-";"-";"-";"Max a fait l'effigie du roi"
"61";"+";"-";"+";"-";"-";"+";"ellipse";"-";"+";"-";"-";"Max a fait l'ellipse (de E dans la phrase+d'une proposition dans son discours)"
"62";"+";"+";"+";"-";"-";"+";"éloge";"+";"+";"-";"-";"Max fait l'éloge de (Léa+la pauvreté)"
"63";"+";"+";"+";"-";"-";"+";"éloge+éloge funèbre";"+";"-";"-";"+";"Max a prononcé l'éloge du mort"
"64";"+";"-";"-";"-";"-";"+";"emplette";"-";"+";"-";"-";"Léa a fait l'emplette de cet appareil"
"65";"+";"+";"+";"+";"-";"+";"encyclopédie";"-";"+";"-";"-";"Max (fait+écrit) une encyclopédie des vins"
"66";"+";"+";"+";"-";"+";"+";"enregistrement";"+";"+";"+";"-";"~"
"67";"+";"+";"+";"+";"-";"+";"épopée";"-";"+";"-";"-";"~"
"68";"-";"+";"+";"-";"-";"-";"état";"-";"+";"-";"+";"Max fait l'état de ses biens"
"69";"-";"+";"+";"+";"+";"+";"étude de marché";"-";"+";"-";"-";"~"
"70";"+";"+";"+";"+";"+";"+";"étymologie";"-";"+";"+";"+";"~"
"71";"+";"+";"+";"+";"+";"+";"exégèse";"-";"+";"-";"-";"Max fait (une exégèse+l'exégèse) de ce texte"
"72";"+";"+";"+";"+";"+";"+";"fac similé";"-";"+";"-";"-";"~"
"73";"+";"+";"+";"-";"+";"+";"facture";"-";"+";"-";"-";"Max fait une facture de cet achat"
"74";"+";"+";"+";"-";"+";"+";"fiche signalétique";"+";"-";"-";"-";"~"
"75";"+";"+";"+";"-";"-";"-";"film";"-";"+";"-";"-";"Max a fait un film des événements"
"76";"+";"+";"+";"+";"-";"-";"fresque";"-";"+";"-";"-";"~"
"77";"+";"-";"-";"-";"-";"-";"funérailles";"+";"-";"+";"+";"~"
"78";"+";"-";"+";"+";"-";"+";"généalogie";"+";"-";"+";"+";"~"
"79";"+";"-";"+";"-";"-";"+";"génocide";"+";"-";"-";"-";"~"
"80";"+";"+";"+";"+";"-";"+";"géographie";"-";"+";"+";"-";"~"
"81";"+";"+";"+";"-";"-";"+";"glossaire";"-";"+";"-";"-";"~"
"82";"+";"+";"+";"+";"+";"+";"grammaire";"-";"+";"+";"-";"~"
"83";"-";"+";"+";"-";"+";"+";"graphe";"-";"+";"-";"-";"~"
"84";"+";"+";"+";"+";"+";"+";"graphique";"-";"+";"-";"-";"~"
"85";"+";"+";"+";"-";"+";"+";"grève";"-";"+";"-";"-";"~"
"86";"+";"+";"+";"-";"+";"+";"grille";"-";"+";"+";"-";"~"
"87";"+";"+";"+";"+";"+";"+";"gros plan";"+";"+";"-";"-";"~"
"88";"+";"+";"+";"-";"+";"+";"guide";"-";"+";"-";"-";"~"
"89";"+";"+";"+";"+";"+";"+";"hagiographie";"+";"-";"-";"+";"~"
"90";"+";"+";"+";"-";"+";"+";"hiérarchie";"-";"+";"+";"-";"~"
"91";"+";"+";"+";"+";"+";"-";"histoire";"+";"+";"+";"-";"~"
"92";"+";"+";"+";"-";"+";"+";"historique";"-";"+";"+";"-";"~"
"93";"+";"+";"+";"-";"+";"+";"horoscope";"+";"-";"+";"+";"~"
"94";"+";"-";"-";"-";"-";"+";"hypothèse";"-";"+";"-";"-";"~"
"95";"+";"+";"+";"+";"+";"+";"iconographie";"-";"+";"+";"-";"~"
"96";"+";"-";"-";"-";"-";"+";"impasse";"+";"+";"-";"+";"~"
"97";"+";"+";"+";"-";"+";"+";"index";"-";"+";"-";"-";"~"
"98";"+";"+";"+";"-";"+";"+";"indicatif";"-";"+";"+";"+";"~"
"99";"-";"+";"+";"-";"+";"+";"instantané";"+";"+";"-";"-";"~"
"100";"+";"+";"+";"-";"+";"+";"intégrale";"-";"+";"-";"-";"~"
"101";"+";"-";"-";"-";"-";"+";"intrigue";"-";"+";"+";"+";"~"
"102";"+";"-";"+";"-";"-";"+";"itinéraire";"-";"+";"+";"-";"~"
"103";"+";"+";"+";"-";"-";"+";"journal";"-";"+";"-";"-";"~"
"104";"+";"+";"+";"-";"-";"+";"journal de bord";"-";"+";"-";"-";"~"
"105";"+";"+";"+";"+";"+";"+";"lexique";"+";"+";"-";"-";"~"
"106";"+";"-";"+";"-";"-";"+";"libellé";"-";"+";"+";"+";"~"
"107";"+";"+";"+";"-";"+";"+";"liste";"+";"+";"-";"-";"~"
"108";"+";"+";"+";"-";"+";"+";"liste noire";"+";"-";"-";"-";"~"
"109";"+";"+";"+";"-";"+";"+";"liste nominale";"+";"-";"-";"-";"~"
"110";"+";"-";"+";"-";"-";"+";"livre";"-";"+";"-";"-";"~"
"111";"-";"+";"+";"-";"+";"+";"manuel";"-";"+";"-";"-";"~"
"112";"+";"+";"+";"-";"-";"+";"manuscrit";"-";"+";"-";"-";"~"
"113";"+";"+";"+";"-";"+";"+";"maquette";"-";"+";"-";"-";"~"
"114";"+";"+";"+";"-";"+";"+";"martyrologe";"+";"-";"-";"-";"~"
"115";"+";"+";"+";"-";"+";"+";"matrice";"-";"+";"-";"-";"~"
"116";"+";"+";"+";"-";"-";"+";"menu";"-";"+";"+";"-";"~"
"117";"+";"+";"+";"-";"+";"+";"modèle";"-";"+";"+";"-";"~"
"118";"+";"+";"+";"+";"+";"+";"modèle réduit";"-";"+";"-";"-";"~"
"119";"+";"+";"+";"-";"+";"+";"monographie";"-";"+";"-";"-";"~"
"120";"+";"+";"+";"-";"+";"+";"moyenne";"-";"+";"+";"-";"~"
"121";"+";"+";"+";"+";"+";"+";"nécrologie";"+";"-";"-";"-";"~"
"122";"+";"+";"+";"+";"+";"+";"nomenclature";"+";"+";"+";"-";"~"
"123";"-";"+";"+";"-";"+";"-";"nouvelle mouture";"-";"+";"-";"-";"~"
"124";"+";"-";"+";"-";"+";"+";"oraison funèbre";"+";"-";"-";"+";"~"
"125";"+";"+";"+";"-";"+";"+";"ordre du jour";"-";"+";"+";"-";"~"
"126";"+";"+";"+";"-";"+";"+";"organigramme";"+";"+";"+";"-";"~"
"127";"+";"+";"+";"-";"+";"+";"palmarès";"-";"+";"-";"+";"~"
"128";"+";"+";"+";"-";"+";"+";"panégyrique";"+";"-";"-";"+";"~"
