"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"<ENT>N";"<ENT>Prép";"<ENT>Detc";"<ENT>Nc";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"de Nhum = à Nhum";"Exemple Autre1"
"1";"+";"-";"-";"accroc";"à";"le";"contrat";"-";"+";"+";"-";"+";"-";"-";"~"
"2";"+";"-";"-";"accroc";"à";"le";"règlement";"-";"+";"+";"-";"+";"+";"-";"~"
"3";"+";"-";"-";"acte";"de";"<E>";"baptême";"-";"+";"+";"-";"+";"-";"+";"~"
"4";"+";"-";"-";"acte";"de";"<E>";"décès";"-";"+";"+";"-";"+";"-";"+";"~"
"5";"+";"-";"-";"acte";"de";"<E>";"foi";"-";"+";"+";"-";"+";"-";"-";"~"
"6";"+";"-";"-";"acte";"de";"<E>";"mariage";"-";"+";"+";"-";"+";"-";"+";"~"
"7";"+";"-";"-";"acte";"de";"<E>";"naissance";"-";"+";"+";"-";"+";"-";"+";"~"
"8";"+";"-";"-";"acte";"contre";"<E>";"nature";"-";"+";"+";"-";"+";"+";"-";"~"
"9";"+";"-";"-";"affaire";"en";"<E>";"or";"-";"+";"+";"-";"+";"+";"-";"~"
"10";"+";"-";"-";"appel";"à";"<E>";"minima";"<E>";"+";"+";"-";"+";"-";"-";"~"
"11";"+";"-";"-";"association";"de";"<E>";"idées";"-";"+";"+";"+";"+";"-";"-";"~"
"12";"+";"-";"-";"attentat";"a";"les";"moeurs";"-";"+";"+";"-";"+";"-";"-";"~"
"13";"+";"+";"-";"bond";"en";"<E>";"avant";"-";"+";"+";"-";"+";"-";"-";"~"
"14";"+";"-";"-";"bout";"de";"<E>";"essai";"-";"+";"+";"-";"+";"-";"-";"~"
"15";"+";"-";"-";"captation";"de";"<E>";"héritage";"-";"+";"+";"+";"+";"-";"-";"~"
"16";"+";"-";"-";"carnet";"de";"<E>";"route";"-";"+";"+";"-";"-";"-";"-";"~"
"17";"+";"-";"-";"chasse";"à";"le";"mari";"la";"-";"+";"-";"-";"-";"-";"Max a fait la chasse à l'homme"
"18";"+";"-";"-";"chasse";"à";"les";"sorcières";"la";"-";"+";"+";"-";"-";"-";"~"
"19";"+";"-";"-";"châteaux";"en";"<E>";"Espagne";"-";"-";"-";"-";"+";"-";"-";"~"
"20";"+";"-";"-";"combat";"de";"<E>";"arrière-garde";"-";"+";"+";"+";"+";"-";"-";"~"
"21";"+";"-";"-";"combat";"de";"<E>";"rues";"-";"+";"+";"+";"+";"-";"-";"~"
"22";"+";"-";"-";"complexe";"de";"<E>";"infériorité";"-";"+";"+";"-";"-";"-";"-";"~"
"23";"+";"-";"-";"complexe";"de";"<E>";"supériorité";"-";"+";"+";"-";"-";"-";"-";"~"
"24";"+";"-";"-";"compte";"de";"<E>";"gestion";"-";"+";"+";"-";"-";"-";"-";"~"
"25";"+";"-";"-";"compte";"de";"<E>";"profits et pertes";"-";"+";"+";"-";"-";"-";"-";"~"
"26";"+";"-";"-";"compte";"à";"<E>";"rebours";"le";"+";"+";"-";"-";"-";"-";"~"
"27";"+";"-";"-";"comptes";"de";"<E>";"apothicaire";"-";"-";"-";"-";"+";"-";"-";"~"
"28";"+";"-";"-";"constat";"de";"<E>";"échec";"-";"+";"+";"-";"-";"-";"-";"~"
"29";"+";"-";"-";"contrôle";"de";"<E>";"routine";"-";"+";"+";"+";"+";"+";"-";"~"
"30";"+";"-";"-";"coq";"à";"le";"âne";"-";"+";"+";"+";"+";"-";"-";"~"
"31";"+";"-";"-";"coup";"de";"<E>";"folie";"-";"+";"+";"-";"-";"+";"-";"~"
"32";"+";"-";"-";"coup";"de";"<E>";"éclat";"-";"+";"+";"-";"+";"+";"-";"~"
"33";"+";"-";"-";"coup";"de";"<E>";"essai";"-";"+";"+";"-";"+";"-";"-";"~"
"34";"+";"-";"-";"coup";"de";"<E>";"maître";"-";"+";"+";"-";"-";"+";"-";"~"
"35";"+";"-";"-";"coup";"de";"<E>";"poker";"-";"+";"+";"-";"+";"+";"-";"~"
"36";"+";"-";"-";"coup";"de";"<E>";"pub";"-";"+";"+";"-";"+";"+";"-";"~"
"37";"+";"-";"-";"coup";"pour";"<E>";"rien";"-";"+";"+";"-";"+";"-";"-";"~"
"38";"+";"-";"-";"coup";"de";"<E>";"tête";"-";"-";"-";"-";"+";"+";"-";"Max fait un coup de tête"
"39";"+";"-";"-";"courbe";"de";"<E>";"niveau";"-";"+";"+";"-";"+";"-";"+";"~"
"40";"+";"-";"-";"cours";"ex";"<E>";"cathedra";"-";"+";"+";"-";"+";"-";"-";"~"
