"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>N";"<ENT>Adj";"Prép1";"Adj permut obl";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 faire Det N";"GN =: le N entre N0 et N1";"il y avoir Det N W";"Exemple Autre1"
"1";"+";"-";"action";"directe";"contre";"-";"<E>";"-";"+";"+";"-";"+";"+";"-";"-";"+";"~"
"2";"+";"-";"attaque";"frontale";"contre";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"3";"+";"-";"atterrissage";"forcé";"Loc";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"4";"-";"+";"ballet";"diplomatique";"avec";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"~"
"5";"-";"+";"ballet";"nautique";"Loc";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"6";"-";"+";"bataille";"navale";"avec";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"~"
"7";"+";"-";"camp";"volant";"Loc";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"8";"+";"-";"combat";"loyal";"avec";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"~"
"9";"-";"+";"combat";"naval";"avec";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"~"
"10";"+";"-";"combat";"singulier";"avec";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"~"
"11";"+";"-";"cordon";"sanitaire";"autour";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"12";"+";"-";"coup";"monté";"contre";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"13";"+";"-";"coupe";"claire";"Loc";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
"14";"+";"-";"coupe";"sombre";"Loc";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"Luc a fait une coupe sombre dans son manuscrit"
"15";"+";"+";"couple";"beau";"avec";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~"
"16";"-";"+";"couple";"modèle";"avec";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~"
"17";"-";"+";"défense";"passive";"contre";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"~"
"18";"-";"+";"duel";"oratoire";"avec";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"~"
"19";"+";"-";"échange";"libre";"avec";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"~"
"20";"-";"+";"échanges";"commerciaux";"avec";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"~"
"21";"-";"+";"enquête";"administrative";"sur";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~"
