"<ID>";"faire = accorder";"faire = adresser";"faire = apporter";"faire = effectuer";"faire = lancer";"faire = octroyer";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"autre Det";"<ENT>N";"<OPT>V";"Prép1 =: à";"Prép1 =: de";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se faire Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = essuyer";"recevoir = obtenir";"Exemple Base1";"Exemple Autre1"
"1";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"acclamations";"acclamer";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~"
"2";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"adjonction";"adjoindre";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"3";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"admonestation";"admonester";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"~"
"4";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"ajout";"ajouter";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"5";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"animation";"animer";"-";"+";"-";"+";"-";"-";"+";"-";"-";"~";"~"
"6";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"application";"appliquer";"-";"+";"-";"+";"-";"+";"-";"-";"+";"~";"~"
"7";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"appréciation";"apprécier";"+";"-";"+";"+";"-";"+";"+";"-";"+";"~";"~"
"8";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"assaisonnement";"assaisonner";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~"
"9";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"avance";"avancer";"+";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"10";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"aveu";"avouer";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~"
"11";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"balafre";"balafrer";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"~"
"12";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"blessure";"blesser";"+";"-";"+";"+";"+";"+";"+";"-";"-";"~";"~"
