"<ID>";"faire = accorder";"faire = adresser";"faire = avoir";"faire = effectuer";"faire = lancer";"faire = octroyer";"Det =: un";"Det =: des";"autre Det";"<ENT>N";"Det figé";"Prép1 =: à";"Prép1 =: de";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se faire Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = faire l'objet de"
"1";"-";"-";"-";"-";"-";"-";"+";"-";"-";"accueil frais";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"2";"-";"-";"-";"-";"-";"-";"+";"-";"-";"accueil réservé";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-"
"3";"-";"-";"-";"+";"-";"-";"+";"-";"-";"annotation critique";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+"
"4";"-";"+";"-";"+";"+";"-";"+";"-";"-";"appel au secours";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"5";"-";"+";"-";"-";"+";"-";"+";"-";"-";"appel aux armes";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"6";"-";"-";"-";"-";"+";"-";"+";"-";"-";"appel de fonds";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+"
"7";"-";"-";"-";"+";"+";"-";"+";"-";"-";"appel de phares";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"8";"-";"+";"-";"+";"+";"-";"+";"-";"-";"appel d'offre";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"9";"-";"-";"-";"-";"-";"-";"+";"-";"-";"appel du pied";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+"
"10";"-";"+";"-";"-";"-";"-";"+";"-";"-";"appel téléphonique";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-"
"11";"-";"-";"-";"-";"-";"-";"+";"-";"-";"attestation écrite";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-"
"12";"-";"-";"-";"-";"-";"-";"+";"-";"-";"attestation publique";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-"
"13";"-";"-";"-";"-";"-";"-";"+";"-";"-";"attestation verbale";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-"
"14";"+";"-";"-";"-";"-";"+";"+";"-";"-";"avance sur recettes";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"15";"+";"-";"-";"-";"-";"+";"+";"-";"-";"avance sur titre";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"16";"-";"+";"-";"-";"-";"-";"+";"-";"-";"billet doux";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"17";"-";"-";"-";"-";"-";"-";"+";"-";"-";"blessure d'amour propre";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-"
"18";"-";"-";"-";"-";"-";"-";"+";"-";"-";"blessure morale";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-"
"19";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"bon accueil";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-"
"20";"-";"+";"-";"-";"-";"-";"-";"-";"Poss0";"bons voeux";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"21";"-";"-";"-";"-";"-";"-";"+";"-";"-";"cadeau d'anniversaire";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-"
"22";"-";"-";"-";"-";"-";"-";"+";"-";"-";"cadeau de mariage";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-"
"23";"-";"-";"-";"-";"-";"-";"+";"-";"-";"cadeau de Noël";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-"
"24";"-";"-";"-";"-";"-";"-";"+";"-";"-";"certificat de bonne conduite";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"25";"-";"-";"-";"-";"-";"-";"+";"-";"-";"certificat de complaisance";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"26";"+";"-";"-";"-";"-";"-";"+";"-";"-";"certificat de conformité";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-"
"27";"-";"-";"-";"-";"-";"-";"+";"-";"-";"certificat de moralité";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"28";"+";"-";"-";"-";"-";"-";"+";"-";"-";"certificat de travail";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"29";"-";"-";"-";"-";"-";"-";"+";"-";"-";"certificat médical";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"30";"+";"-";"-";"-";"-";"-";"+";"-";"-";"citation à l'ordre du jour";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"31";"+";"-";"-";"-";"-";"-";"+";"-";"-";"citation à l'ordre du régiment";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"32";"+";"-";"-";"-";"-";"-";"+";"-";"-";"citation militaire";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"33";"-";"+";"-";"-";"+";"-";"+";"-";"-";"clin d'oeil";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"34";"-";"-";"-";"+";"-";"-";"+";"-";"-";"commentaire littéraire";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+"
"35";"-";"-";"-";"+";"-";"-";"+";"-";"-";"complément d'enquête";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+"
"36";"-";"-";"-";"+";"-";"-";"+";"-";"-";"compte rendu";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+"
"37";"+";"-";"-";"-";"-";"+";"-";"+";"-";"conditions de paiement";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"38";"-";"+";"-";"-";"+";"-";"+";"-";"-";"contre-proposition";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-"
"39";"-";"-";"-";"-";"-";"-";"+";"-";"-";"coup bas";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-"
"40";"-";"-";"-";"-";"-";"-";"+";"-";"-";"coup en douce";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-"
"41";"-";"-";"-";"-";"-";"-";"+";"-";"-";"coup en vache";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-"
"42";"-";"+";"-";"-";"-";"-";"+";"-";"-";"courrier spécial";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"43";"-";"+";"-";"-";"-";"-";"+";"-";"-";"déclaration d'amour";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"44";"-";"+";"-";"-";"+";"-";"+";"-";"-";"déclaration de guerre";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+"
"45";"-";"+";"-";"+";"-";"-";"+";"-";"-";"déclaration de perte";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+"
"46";"-";"+";"-";"-";"-";"-";"+";"-";"-";"déclaration de sympathie";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"47";"-";"+";"-";"+";"-";"-";"+";"-";"-";"déclaration de vol";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+"
"48";"-";"+";"-";"-";"-";"-";"+";"-";"-";"déclaration d'intention";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"49";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"demi-tarif";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"50";"-";"+";"-";"-";"-";"-";"+";"-";"-";"démonstration de N(sentiment)";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+"
"51";"+";"-";"-";"-";"-";"+";"+";"-";"-";"détaxe postale";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+"
"52";"-";"-";"-";"+";"-";"-";"+";"-";"-";"édition pirate";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+"
"53";"-";"-";"-";"+";"-";"-";"+";"-";"-";"édition savante";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+"
"54";"-";"-";"-";"+";"-";"-";"+";"-";"-";"édition scolaire";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+"
"55";"-";"-";"-";"-";"-";"-";"-";"-";"le";"éloge funèbre";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+"
"56";"+";"-";"-";"-";"-";"-";"+";"-";"-";"enterrement civil";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+"
"57";"+";"-";"-";"-";"-";"-";"+";"-";"-";"enterrement de première classe";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+"
"58";"+";"-";"-";"-";"-";"-";"+";"-";"-";"enterrement religieux";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+"
"59";"+";"-";"-";"-";"-";"+";"-";"+";"-";"facilités commerciales";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"60";"+";"-";"-";"-";"-";"+";"-";"+";"-";"facilités de paiement";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"61";"+";"-";"-";"-";"-";"+";"-";"+";"-";"facilités financières";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"62";"-";"-";"-";"-";"-";"-";"+";"-";"-";"fausses promesses";"de";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"63";"-";"+";"-";"-";"-";"-";"+";"-";"-";"faux serment";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"64";"+";"-";"-";"-";"-";"-";"-";"+";"-";"funérailles nationales";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"65";"-";"+";"-";"-";"-";"-";"+";"-";"-";"geste d'approbation";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-"
"66";"-";"+";"-";"-";"-";"-";"+";"-";"-";"geste de bonne volonté";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"67";"-";"+";"-";"-";"-";"-";"+";"-";"-";"geste de dénégation";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"68";"+";"-";"-";"-";"-";"-";"-";"-";"-";"honneurs militaires";"les";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"69";"-";"-";"-";"+";"-";"-";"-";"-";"-";"illustration sonore";"la";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+"
"70";"-";"-";"-";"+";"-";"-";"+";"-";"-";"injection cardiaque";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"71";"-";"-";"-";"+";"-";"-";"+";"-";"-";"injection hypodermique";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"72";"-";"-";"-";"+";"-";"-";"+";"-";"-";"injection intraveineuse";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"73";"-";"-";"-";"+";"-";"-";"+";"-";"-";"injection sous-cutanée";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"74";"-";"-";"-";"+";"-";"-";"+";"-";"-";"interprétation allégorique";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+"
"75";"-";"-";"-";"-";"-";"-";"+";"-";"-";"legs universel";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"76";"-";"+";"-";"-";"-";"-";"+";"-";"-";"lettre anonyme";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"77";"-";"+";"-";"-";"-";"-";"+";"-";"-";"lettre circulaire";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-"
"78";"-";"+";"-";"-";"-";"-";"+";"-";"-";"lettre d'accusation";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+"
"79";"-";"+";"-";"-";"-";"-";"+";"-";"-";"lettre d'adieu";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-"
"80";"-";"+";"-";"-";"-";"-";"+";"-";"-";"lettre d'amour";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-"
"81";"-";"+";"-";"-";"-";"-";"+";"-";"-";"lettre de change";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"82";"-";"+";"-";"-";"-";"-";"+";"-";"-";"lettre de rupture";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-"
"83";"-";"+";"-";"-";"-";"-";"+";"-";"-";"lettre d'excuses";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-"
"84";"-";"+";"-";"-";"-";"-";"+";"-";"-";"lettre d'invitation";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-"
"85";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"mauvais accueil";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-"
"86";"-";"-";"-";"-";"-";"-";"+";"-";"-";"mauvais coup";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-"
"87";"-";"+";"-";"-";"+";"-";"-";"+";"-";"menaces de mort";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+"
"88";"-";"+";"-";"-";"-";"-";"+";"-";"-";"mise en demeure";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+"
"89";"-";"+";"-";"-";"-";"-";"+";"-";"-";"note de service";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"90";"-";"+";"-";"-";"-";"-";"+";"-";"-";"note diplomatique";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"91";"-";"+";"-";"-";"-";"-";"+";"-";"-";"note officielle";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"92";"-";"+";"-";"-";"-";"-";"+";"-";"-";"note verbale";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"93";"-";"+";"-";"-";"+";"-";"+";"-";"-";"objection de principe";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-"
"94";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"obligation morale";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-"
"95";"+";"-";"-";"-";"-";"-";"-";"+";"-";"obsèques civiles";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
