"<ID>";"<ENT>N";"faire = commettre";"faire = effectuer";"faire = pratiquer";"faire = procéder à";"faire = réaliser";"Det =: un";"Det =: des";"Prép1 =: à";"Prép1 =: de";"Prép1 =: contre";"Prép1 =: sur";"N1 =: Nhum";"N1 =: N-hum";"GN =: le N de N0 Prép N1";"subir = endurer";"subir = éprouver";"subir = essuyer";"subir = être en butte à";"subir = (être+faire) l'objet de"
"1";"aménagement intérieur";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"2";"aménagement régional";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"3";"aménagement rural";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"4";"aménagement urbain";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"5";"analyse biologique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"6";"analyse clinique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"7";"analyse distributionnelle";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"8";"analyse économique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"9";"analyse fonctionnelle";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"10";"analyse mathématique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"11";"analyse médicale";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+"
"12";"analyse microscopique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"13";"analyse minérale";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"14";"analyse phonique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"15";"analyse politique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"16";"analyse psychologique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+"
"17";"analyse qualitative";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"18";"analyse quantitative";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"19";"analyse sanguine";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+"
"20";"analyse sémique";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
"21";"analyse spectrale";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+"
