"<ID>";"<ENT>V";"suffixe -n";"Prép1 =: contre";"Prép1 =: après";"Prép1 =: devant";"N1 se V devant N0";"N0 V devant N1";"classe du verbe";"Exemple Autre1";"Exemple Autre2"
"1";"abasourdir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"2";"abattre";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"3";"abrutir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"4";"accabler";"ment";"-";"-";"+";"+";"-";"13";"~";"~"
"5";"acclamer";"ation";"-";"-";"+";"-";"-";"12";"~";"~"
"6";"admirer";"ation";"-";"-";"+";"-";"-";"12";"~";"~"
"7";"adorer";"ation";"-";"-";"+";"-";"-";"12";"~";"~"
"8";"aduler";"ation";"-";"-";"+";"-";"-";"12";"~";"~"
"9";"affaiblir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"10";"affectionner";"-";"-";"-";"+";"-";"-";"12";"~";"~"
"11";"affliger";"ction";"-";"-";"+";"+";"-";"4";"~";"~"
"12";"affoler";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"13";"agiter";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"14";"ahurir";"ment";"-";"-";"+";"c+";"-";"4";"~";"~"
"15";"aigrir";"eur";"+";"+";"+";"+";"-";"4";"~";"~"
"16";"alanguir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"17";"alarmer";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"18";"alerter";"-";"-";"-";"+";"+";"-";"13";"~";"~"
"19";"aliéner";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"20";"amoindrir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"21";"amollir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"22";"amuser";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"23";"anéantir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"24";"angoisser";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"25";"animer";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"26";"apaiser";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"27";"apitoyer";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"28";"applaudir";"ment";"-";"-";"+";"-";"-";"12";"~";"~"
"29";"approuver";"ation";"-";"-";"+";"-";"-";"12";"~";"~"
"30";"asservir";"ment";"-";"-";"+";"+";"-";"11";"~";"~"
"31";"s'atermoyer";"ment";"-";"+";"+";"-";"+";"31H";"~";"~"
"32";"attendre";"te";"-";"+";"+";"-";"+";"6";"~";"~"
"33";"attendrir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"34";"attrister";"esse";"-";"-";"+";"+";"-";"4";"~";"~"
"35";"aveugler";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"36";"bouillir";"tion";"-";"+";"-";"-";"+";"8";"~";"~"
"37";"bouleverser";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"38";"chagriner";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"39";"commotionner";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"40";"conjecturer";"-";"-";"+";"+";"-";"-";"6";"~";"~"
"41";"consterner";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"42";"contempler";"ation";"-";"-";"+";"-";"-";"6";"~";"~"
"43";"contenter";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"44";"contester";"ation";"+";"+";"+";"-";"+";"6";"~";"~"
"45";"contrarier";"été";"+";"-";"+";"+";"-";"4";"~";"~"
"46";"courroucer";"-";"+";"+";"+";"+";"-";"4";"~";"~"
"47";"craindre";"te";"-";"-";"+";"-";"+";"6";"~";"~"
"48";"critiquer";"-";"-";"+";"+";"-";"-";"12";"~";"~"
"49";"décevoir";"tion";"-";"-";"+";"+";"-";"4";"~";"~"
"50";"déchirer";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"51";"décomposer";"ition";"-";"-";"+";"+";"-";"4";"~";"~"
"52";"décourager";"ment";"-";"-";"+";"+";"-";"13";"~";"~"
"53";"dégoûter";"-";"-";"-";"+";"-";"-";"13";"~";"~"
"54";"délabrer";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"55";"délecter";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"56";"délirer";"-";"+";"+";"+";"-";"+";"6";"~";"~"
"57";"démissionner";"-";"-";"-";"+";"-";"+";"35R";"~";"~"
"58";"démoraliser";"ation";"-";"-";"+";"-";"+";"4";"~";"~"
"59";"dénigrer";"ment";"-";"-";"-";"-";"-";"12";"~";"~"
"60";"dépiter";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"61";"déprimer";"sion";"-";"-";"+";"-";"-";"4";"~";"~"
"62";"dérégler";"ment";"-";"-";"+";"-";"-";"4";"~";"~"
"63";"désabuser";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"64";"désappointer";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"65";"désapprouver";"ation";"-";"+";"-";"-";"-";"12";"~";"~"
"66";"désenchanter";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"67";"déséquilibrer";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"68";"désespérer";"oir";"-";"-";"+";"+";"+";"8";"~";"~"
"69";"désillusionner";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"70";"désoler";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"71";"désorganiser";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"72";"détendre";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"73";"divaguer";"ation";"+";"+";"+";"-";"+";"6";"~";"~"
"74";"douter";"-";"-";"-";"-";"-";"+";"8";"~";"~"
"75";"ébahir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"76";"éblouir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"77";"effarer";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"78";"effaroucher";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"79";"effondrer";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"80";"égarer";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"81";"émerveiller";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"82";"émouvoir";"tion";"-";"-";"+";"+";"-";"4";"~";"~"
"83";"enchanter";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"84";"enivrer";"esse";"-";"-";"+";"+";"-";"4";"~";"~"
"85";"enivrer";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"86";"enthousiasmer";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"87";"envouter";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"88";"épouvanter";"-";"-";"-";"+";"+";"-";"4";"Max éprouve de l'épouvante devant ce spectacle";"~"
"89";"étonner";"ment";"-";"-";"+";"+";"-";"4";"Max a de l'étonnement devant ce spectacle";"~"
"90";"éveiller";"-";"-";"-";"+";"+";"-";"11";"~";"~"
"91";"exalter";"ation";"-";"-";"+";"+";"-";"4";"~";"Max est en pleine exaltation"
"92";"exaspérer";"ation";"-";"-";"+";"+";"-";"4";"Max (a+éprouve) une certaine exaspération (E+devant ce spectacle)";"~"
"93";"extasier";"-";"-";"-";"+";"+";"-";"4.";"Max (a+éprouve) une certaine extase devant ce tableau";"~"
"94";"exulter";"ation";"-";"-";"+";"-";"+";"8";"~";"~"
"95";"faiblir";"esse";"-";"-";"+";"-";"+";"8";"~";"~"
"96";"fasciner";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"97";"flotter";"ment";"-";"-";"+";"-";"+";"35L";"(Max+l'organisation) a eu un flottement";"~"
"98";"fulminer";"ation";"+";"+";"+";"-";"+";"6";"~";"~"
"99";"gémir";"ment";"+";"+";"+";"-";"+";"9";"~";"~"
"100";"gêner";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"101";"glapir";"ment";"+";"+";"+";"-";"+";"9";"~";"~"
"102";"grogner";"ment";"+";"+";"+";"-";"+";"9";"~";"~"
"103";"halluciner";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"104";"hésiter";"ation";"-";"-";"+";"-";"+";"1";"~";"~"
"105";"humilier";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"106";"hurler";"ment";"+";"+";"-";"-";"+";"9";"~";"~"
"107";"hypnotiser";"isme";"-";"-";"+";"+";"-";"4";"~";"~"
"108";"idolâtrer";"ie";"-";"+";"-";"-";"-";"12";"~";"~"
"109";"ignorer";"ance";"-";"+";"-";"-";"-";"6";"~";"~"
"110";"illusionner";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"111";"indigner";"ation";"+";"+";"+";"+";"-";"4";"~";"~"
"112";"inhiber";"ition";"-";"-";"+";"+";"-";"4";"~";"~"
"113";"inquiéter";"ude";"-";"-";"+";"+";"-";"4";"~";"~"
"114";"intimider";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"115";"ironiser";"-";"-";"+";"-";"-";"+";"15";"~";"~"
"116";"irriter";"ation";"+";"+";"+";"+";"-";"4";"~";"~"
"117";"jalouser";"ie";"-";"+";"+";"-";"-";"12";"~";"~"
"118";"mécontenter";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"119";"méditer";"ation";"-";"-";"+";"-";"+";"6";"~";"~"
"120";"se méfier";"ance";"+";"-";"+";"-";"+";"8";"~";"~"
"121";"mépriser";"-";"-";"-";"+";"-";"^";"12";"~";"~"
"122";"névroser";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"123";"obnubiler";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"124";"obséder";"sion";"-";"-";"+";"+";"-";"4";"~";"~"
"125";"observer";"ation";"-";"-";"+";"-";"-";"6";"~";"~"
"126";"palpiter";"ation";"-";"+";"+";"-";"+";"31R";"~";"~"
"127";"se pâmer";"oison";"-";"-";"+";"+";"-";"8";"~";"~"
"128";"paniquer";"-";"-";"-";"+";"+";"+";"4";"~";"~"
"129";"paralyser";"ie";"-";"-";"+";"+";"-";"4";"~";"~"
"130";"peiner";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"131";"perturber";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"132";"se plaindre";"te";"-";"-";"+";"-";"+";"15";"~";"~"
"133";"pleurer";"-";"-";"+";"+";"-";"+";"9";"~";"~"
"134";"préoccuper";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"135";"prostrer";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"136";"rager";"-";"+";"+";"+";"-";"+";"8";"~";"~"
"137";"rassasier";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"138";"ravir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"139";"rebeller";"ion";"+";"+";"+";"+";"-";"4";"~";"~"
"140";"récriminer";"ation";"+";"+";"+";"-";"+";"6";"~";"~"
"141";"regretter";"-";"-";"-";"+";"-";"+";"6";"~";"~"
"142";"se repentir";"-";"-";"-";"+";"-";"+";"8";"~";"~"
"143";"réprouver";"ation";"+";"-";"+";"-";"-";"12";"~";"~"
"144";"respecter";"-";"-";"-";"+";"-";"-";"12";"~";"~"
"145";"révolter";"-";"+";"+";"+";"+";"-";"4";"~";"~"
"146";"saisir";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"147";"sangloter";"-";"-";"+";"+";"-";"+";"9";"~";"~"
"148";"satisfaire";"ction";"-";"-";"+";"+";"-";"4";"~";"~"
"149";"soulever";"ment";"-";"-";"+";"+";"-";"4";"~";"~"
"150";"stupéfier";"ction";"-";"-";"+";"+";"-";"4";"~";"~"
"151";"stupéfier";"eur";"-";"-";"+";"+";"-";"4";"~";"~"
"152";"supputer";"ation";"-";"-";"+";"-";"+";"6";"~";"~"
"153";"surexciter";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"154";"surprendre";"ise";"-";"-";"+";"+";"-";"4";"~";"~"
"155";"survolter";"age";"-";"-";"+";"+";"-";"4";"~";"~"
"156";"torturer";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"157";"tourmenter";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"158";"tranquilliser";"ité";"-";"-";"+";"+";"-";"4";"~";"~"
"159";"transfigurer";"ation";"-";"-";"+";"+";"-";"4";"~";"~"
"160";"transporter";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"161";"trembler";"ment";"-";"-";"+";"-";"+";"8";"~";"~"
"162";"trembloter";"ment";"-";"-";"+";"-";"+";"8";"~";"~"
"163";"troubler";"-";"-";"-";"+";"+";"-";"4";"~";"~"
"164";"vénérer";"ation";"-";"-";"+";"-";"-";"12";"~";"~"
"165";"vitupérer";"ation";"+";"+";"+";"-";"-";"12";"~";"~"

