"<ID>";"<ENT>V";"suffixe -n";"Prép1 =: avec";"Prép1 =: contre";"Prép1 =: à";"N0 se V avec N1";"N0 V N1 avec N2";"N0 V (E+de) avec N1";"classe du verbe";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"1";"s'accointer";"ance";"+";"-";"-";"+";"+";"-";"35S";"~";"~";"~"
"2";"accorder";"-";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"3";"accoupler";"ment";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"4";"additionner";"-";"+";"-";"+";"+";"+";"-";"36S";"~";"~";"~"
"5";"adhérer";"sion";"+";"-";"+";"-";"-";"+";"7";"~";"~";"~"
"6";"adhérer";"ence";"+";"-";"+";"-";"-";"+";"35ST";"~";"~";"~"
"7";"adjoindre";"ction";"+";"-";"+";"+";"+";"-";"10";"~";"~";"~"
"8";"affilier";"ation";"+";"-";"+";"+";"+";"-";"36R";"~";"~";"~"
"9";"affronter";"ment";"+";"+";"-";"+";"-";"-";"36S";"~";"~";"~"
"10";"agglomérer";"ation";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"11";"agglomérer";"at";"+";"-";"+";"+";"+";"-";"36S";"~";"~";"~"
"12";"ajuster";"ment";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"13";"aligner";"ment";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"14";"allier";"age";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"15";"allier";"ance";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"16";"s'arranger";"ment";"+";"-";"-";"+";"+";"-";"16";"~";"~";"~"
"17";"articuler";"ation";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"18";"assembler";"-";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"19";"assimiler";"ation";"+";"-";"+";"+";"+";"-";"36S";"~";"~";"~"
"20";"associer";"ation";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"21";"assortir";"ment";"+";"-";"+";"+";"+";"-";"36S";"~";"~";"~"
"22";"attacher";"ment";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"23";"badiner";"age";"+";"-";"-";"-";"-";"+";"35R";"~";"~";"~"
"24";"bagarrer";"-";"+";"+";"-";"+";"-";"-";"35S";"~";"~";"~"
"25";"baratiner";"-";"+";"-";"-";"-";"-";"+";"32H";"~";"~";"~"
"26";"batailler";"-";"+";"+";"-";"+";"-";"+";"35S";"~";"~";"~"
"27";"bavarder";"age";"+";"-";"-";"-";"-";"+";"15";"~";"~";"~"
"28";"bifurquer";"ation";"+";"-";"-";"-";"-";"+";"35ST";"~";"~";"~"
"29";"brouiller";"rie";"+";"+";"-";"+";"+";"-";"36S";"~";"~";"~"
"30";"brouiller";"-";"+";"+";"-";"+";"+";"-";"36S";"~";"~";"~"
"31";"cadrer";"age";"+";"-";"-";"-";"+";"+";"35S";"~";"~";"~"
"32";"causer";"rie";"+";"-";"-";"-";"-";"+";"15";"~";"~";"Il y a eu une causerie à bâtons rompus entre Max et moi"
"33";"chamailler";"rie";"+";"-";"-";"+";"-";"-";"32H";"~";"~";"~"
"34";"chicaner";"-";"+";"+";"-";"+";"-";"-";"13";"~";"~";"~"
"35";"coexister";"ence";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"36";"cohabiter";"ation";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"37";"coïncider";"ence";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"38";"collaborer";"ation";"+";"-";"-";"-";"-";"+";"14";"~";"~";"~"
"39";"coller";"-";"-";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"40";"combattre";"-";"+";"+";"-";"-";"-";"+";"35S";"~";"~";"~"
"41";"combiner";"aison";"+";"-";"-";"+";"+";"-";"10";"~";"~";"~"
"42";"combiner";"-";"+";"-";"-";"+";"+";"-";"10";"~";"~";"~"
"43";"commercer";"-";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"44";"comparer";"aison";"+";"-";"+";"+";"+";"-";"36S";"~";"~";"~"
"45";"comprendre";"sion";"+";"-";"-";"+";"-";"-";"12";"~";"~";"~"
"46";"se concerter";"ation";"+";"-";"-";"+";"-";"-";"36S";"~";"~";"~"
"47";"se concerter";"-";"-";"-";"-";"+";"-";"-";"36S";"~";"~";"~"
"48";"concilier";"ation";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"49";"concorder";"ance";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"50";"concurrencer";"-";"+";"-";"-";"+";"-";"-";"4";"~";"~";"~"
"51";"confronter";"ation";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"52";"conjuguer";"aison";"+";"-";"-";"+";"+";"-";"36R";"~";"~";"~"
"53";"contacter";"-";"+";"-";"-";"-";"-";"+";"32H";"~";"~";"~"
"54";"contester";"ation";"+";"+";"-";"-";"-";"+";"9";"~";"~";"~"
"55";"continuer";"ité";"+";"-";"+";"+";"+";"+";"38R";"~";"~";"~"
"56";"contraster";"-";"+";"-";"-";"+";"+";"+";"35S";"~";"~";"~"
"57";"contredire";"ction";"+";"+";"+";"+";"-";"-";"6";"~";"~";"~"
"58";"controverser";"-";"+";"+";"-";"-";"-";"+";"32R";"~";"~";"~"
"59";"converger";"ence";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"60";"converser";"ation";"+";"-";"-";"-";"-";"+";"15";"~";"~";"~"
"61";"coopérer";"ation";"+";"-";"-";"-";"-";"+";"14";"~";"~";"~"
"62";"coordonner";"ation";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"63";"copiner";"rie";"+";"-";"-";"-";"-";"-";"35S";"~";"~";"~"
"64";"copiner";"age";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"65";"coproduire";"ction";"+";"-";"-";"-";"+";"+";"-";"~";"~";"~"
"66";"corréler";"ation";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"67";"correspondre";"ance";"+";"-";"+";"+";"-";"+";"35S";"~";"~";"~"
"68";"corroborer";"ation";"+";"-";"+";"+";"-";"-";"6";"~";"~";"~"
"69";"coupler";"age";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"70";"cousiner";"age";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"71";"croiser";"ment";"+";"-";"-";"+";"+";"+";"36SL";"~";"~";"~"
"72";"cumuler";"-";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"73";"débattre";"-";"+";"-";"-";"+";"-";"-";"15";"~";"~";"~"
"74";"décaler";"age";"+";"-";"-";"+";"+";"-";"38";"~";"~";"~"
"75";"défier";"-";"+";"-";"+";"+";"-";"-";"13";"~";"~";"~"
"76";"se défier";"ance";"+";"-";"-";"+";"-";"-";"8";"~";"~";"~"
"77";"délibérer";"ation";"+";"-";"-";"-";"-";"+";"15";"~";"~";"~"
"78";"démarquer";"ation";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"79";"détacher";"ment";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"80";"dialoguer";"-";"+";"-";"-";"-";"-";"+";"15";"~";"~";"~"
"81";"différer";"ent";"+";"-";"-";"-";"+";"+";"16";"~";"~";"~"
"82";"discuter";"sion";"+";"-";"-";"-";"-";"+";"15";"~";"~";"~"
"83";"disjoindre";"ction";"+";"-";"-";"-";"+";"-";"36S";"~";"~";"~"
"84";"disputer";"-";"+";"-";"-";"+";"-";"-";"32H";"~";"~";"~"
"85";"dissocier";"ation";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"86";"dissoner";"ance";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"87";"distordre";"sion";"+";"-";"-";"+";"+";"-";"32C";"~";"~";"~"
"88";"diverger";"ence";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"89";"diviser";"sion";"+";"-";"-";"+";"+";"-";"38R";"~";"~";"~"
"90";"divorcer";"-";"+";"-";"-";"-";"+";"+";"35S";"~";"~";"~"
"91";"écarter";"ment";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"92";"écarter";"-";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"93";"échanger";"-";"+";"-";"-";"+";"+";"-";"38R";"~";"~";"~"
"94";"échelonner";"ment";"+";"-";"-";"+";"+";"-";"32PL";"~";"~";"~"
"95";"égaliser";"té";"+";"-";"-";"+";"+";"-";"32RA";"~";"~";"~"
"96";"emboîter";"ment";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"97";"embrancher";"ment";"+";"-";"-";"+";"+";"-";"38LD";"~";"~";"~"
"98";"émulsionner";"-";"+";"-";"-";"-";"-";"+";"32CV";"~";"~";"~"
"99";"enchevêtrer";"ment";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"100";"engueuler";"ade";"+";"+";"-";"+";"-";"-";"13";"~";"~";"~"
"101";"s'entendre";"-";"+";"-";"-";"+";"-";"-";"35S";"~";"~";"~"
"102";"entrecroiser";"ment";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"103";"s'entretenir";"-";"+";"-";"-";"+";"-";"-";"15";"~";"~";"~"
"104";"équilibrer";"-";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"105";"équivaloir";"ence";"+";"-";"-";"+";"-";"-";"14";"~";"Cette solution a une certaine équivalence avec cette autre";"~"
"106";"espacer";"ment";"+";"-";"-";"+";"+";"-";"36SL";"Les mots ont un espacement suffisant";"~";"Il y a un espacement suffisant entre les mots"
"107";"fédérer";"ation";"+";"-";"-";"+";"+";"+";"36S";"~";"~";"~"
"108";"fiancer";"aille";"+";"-";"-";"+";"+";"-";"36S";"~";"Max a eu de longues fiançailles avec Marie";"~"
"109";"flirter";"-";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"110";"fondre";"usion";"+";"-";"-";"+";"+";"+";"35R";"~";"~";"~"
"111";"fraterniser";"té";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"112";"fraterniser";"ation";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"113";"grouper";"ment";"+";"-";"-";"+";"+";"-";"32PL";"~";"~";"~"
"114";"harmoniser";"ation";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"115";"harmoniser";"-";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"116";"heurter";"-";"+";"+";"-";"-";"+";"-";"36SL";"~";"~";"~"
"117";"identifier";"ation";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"118";"imbriquer";"ation";"+";"-";"+";"+";"+";"-";"36SL";"~";"~";"~"
"119";"impliquer";"ation";"+";"-";"+";"-";"+";"-";"10";"~";"~";"~"
"120";"incorporer";"ation";"+";"-";"+";"+";"+";"-";"10";"~";"~";"~"
"121";"interférer";"ence";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"122";"intervertir";"sion";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"123";"inverser";"sion";"+";"-";"-";"+";"+";"-";"32RA";"~";"~";"~"
"124";"joindre";"-";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"125";"joindre";"ction";"+";"-";"+";"+";"+";"-";"36S";"~";"~";"~"
"126";"jouer";"-";"+";"-";"-";"-";"-";"+";"36R";"~";"~";"~"
